part,information,link
R612268A,"OE Manufacturer:
                                                        

                                                            Bosch",https://www.oreillyauto.com/detail/c/ultima/alternators---starters/starter/dad3c6651e74/ultima-starter-remanufactured/ost0/r612268a?pos=0
R612268A,"Mounting Bolts Included:
                                                        

                                                            No",https://www.oreillyauto.com/detail/c/ultima/alternators---starters/starter/dad3c6651e74/ultima-starter-remanufactured/ost0/r612268a?pos=0
R612268A,"Number Of Pinion Teeth:
                                                        

                                                            9",https://www.oreillyauto.com/detail/c/ultima/alternators---starters/starter/dad3c6651e74/ultima-starter-remanufactured/ost0/r612268a?pos=0
R612268A,"Starter Drive Included:
                                                        

                                                            Yes",https://www.oreillyauto.com/detail/c/ultima/alternators---starters/starter/dad3c6651e74/ultima-starter-remanufactured/ost0/r612268a?pos=0
R612268A,"Overcrank Protection:
                                                        

                                                            No",https://www.oreillyauto.com/detail/c/ultima/alternators---starters/starter/dad3c6651e74/ultima-starter-remanufactured/ost0/r612268a?pos=0
71-25-18301,"Warranty: 

1 Year Limited Warranty",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712518301?pos=1
71-25-18301,"Unit of Measure: 

                                                            Each",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712518301?pos=1
71-25-18301,"UPC: 

                                                            #
                                                            
                                                                661432255668",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712518301?pos=1
71-25-18301,"Rotation Direction:
                                                        

                                                            Counter-Clockwise",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712518301?pos=1
71-25-18301,"Design:
                                                        

                                                            Permanent Magnet Direct Drive",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712518301?pos=1
71-25-18301,"Series:
                                                        

                                                            S106",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712518301?pos=1
71-25-18301,"New Or Remanufactured:
                                                        

                                                            New",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712518301?pos=1
71-25-18301,"kW Rating (kW):
                                                        

                                                            0.4kW",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712518301?pos=1
71-25-18301,"Voltage (V):
                                                        

                                                            12 Volt",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712518301?pos=1
71-25-18301,"OE Manufacturer:
                                                        

                                                            Hitachi",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712518301?pos=1
71-25-18301,"Number Of Pinion Teeth:
                                                        

                                                            10",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712518301?pos=1
91-29-5396,"Warranty: 

1 Year Limited Warranty",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-remanufactured/wil0/91295396?pos=0
91-29-5396,"Unit of Measure: 

                                                            Each",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-remanufactured/wil0/91295396?pos=0
91-29-5396,"UPC: 

                                                            #
                                                            
                                                                661432224916",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-remanufactured/wil0/91295396?pos=0
91-29-5396,"Rotation Direction:
                                                        

                                                            Counter-Clockwise",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-remanufactured/wil0/91295396?pos=0
91-29-5396,"Design:
                                                        

                                                            Gear Reduction",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-remanufactured/wil0/91295396?pos=0
91-29-5396,"New Or Remanufactured:
                                                        

                                                            Remanufactured",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-remanufactured/wil0/91295396?pos=0
91-29-5396,"kW Rating (kW):
                                                        

                                                            0.5kW",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-remanufactured/wil0/91295396?pos=0
91-29-5396,"Voltage (V):
                                                        

                                                            12 Volt",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-remanufactured/wil0/91295396?pos=0
91-29-5396,"OE Manufacturer:
                                                        

                                                            Denso",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-remanufactured/wil0/91295396?pos=0
91-29-5396,"Number Of Pinion Teeth:
                                                        

                                                            14",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-remanufactured/wil0/91295396?pos=0
91-29-5396N,"Warranty: 

1 Year Limited Warranty",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/91295396n?pos=1
91-29-5396N,"Unit of Measure: 

                                                            Each",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/91295396n?pos=1
91-29-5396N,"UPC: 

                                                            #
                                                            
                                                                661432237909",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/91295396n?pos=1
91-29-5396N,"Rotation Direction:
                                                        

                                                            Counter-Clockwise",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/91295396n?pos=1
91-29-5396N,"Design:
                                                        

                                                            Offset Gear Reduction",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/91295396n?pos=1
91-29-5396N,"New Or Remanufactured:
                                                        

                                                            New",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/91295396n?pos=1
91-29-5396N,"kW Rating (kW):
                                                        

                                                            0.5kW",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/91295396n?pos=1
91-29-5396N,"Voltage (V):
                                                        

                                                            12 Volt",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/91295396n?pos=1
91-29-5396N,"OE Manufacturer:
                                                        

                                                            Denso",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/91295396n?pos=1
91-29-5396N,"Number Of Pinion Teeth:
                                                        

                                                            14",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/91295396n?pos=1
71-29-18871,"Warranty: 

1 Year Limited Warranty",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712918871?pos=2
71-29-18871,"Unit of Measure: 

                                                            Each",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712918871?pos=2
71-29-18871,"UPC: 

                                                            #
                                                            
                                                                661432257648",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712918871?pos=2
71-29-18871,"Rotation Direction:
                                                        

                                                            Clockwise",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712918871?pos=2
71-29-18871,"Design:
                                                        

                                                            Direct Drive",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712918871?pos=2
71-29-18871,"Mounting Shims Included:
                                                        

                                                            No",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712918871?pos=2
71-29-18871,"New Or Remanufactured:
                                                        

                                                            New",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712918871?pos=2
71-29-18871,"Nose Cone Type:
                                                        

                                                            Closed",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712918871?pos=2
71-29-18871,"Solenoid Attached:
                                                        

                                                            Yes",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712918871?pos=2
71-29-18871,"kW Rating (kW):
                                                        

                                                            0.5kW",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712918871?pos=2
71-29-18871,"Voltage (V):
                                                        

                                                            12 Volt",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712918871?pos=2
71-29-18871,"OE Manufacturer:
                                                        

                                                            Denso",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712918871?pos=2
71-29-18871,"Mounting Bolts Included:
                                                        

                                                            No",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712918871?pos=2
71-29-18871,"Number Of Pinion Teeth:
                                                        

                                                            9",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712918871?pos=2
71-29-18871,"Starter Drive Included:
                                                        

                                                            Yes",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712918871?pos=2
71-29-18871,"Overcrank Protection:
                                                        

                                                            No",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712918871?pos=2
91-29-5190,"Warranty: 

1 Year Limited Warranty",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-remanufactured/wil0/91295190?pos=3
91-29-5190,"Unit of Measure: 

                                                            Each",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-remanufactured/wil0/91295190?pos=3
91-29-5190,"UPC: 

                                                            #
                                                            
                                                                661432222554",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-remanufactured/wil0/91295190?pos=3
91-29-5190,"Rotation Direction:
                                                        

                                                            Clockwise",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-remanufactured/wil0/91295190?pos=3
91-29-5190,"Design:
                                                        

                                                            Direct Drive",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-remanufactured/wil0/91295190?pos=3
91-29-5190,"New Or Remanufactured:
                                                        

                                                            Remanufactured",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-remanufactured/wil0/91295190?pos=3
91-29-5190,"kW Rating (kW):
                                                        

                                                            0.5kW",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-remanufactured/wil0/91295190?pos=3
91-29-5190,"Voltage (V):
                                                        

                                                            12 Volt",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-remanufactured/wil0/91295190?pos=3
91-29-5190,"OE Manufacturer:
                                                        

                                                            Denso",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-remanufactured/wil0/91295190?pos=3
91-29-5190,"Number Of Pinion Teeth:
                                                        

                                                            9",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-remanufactured/wil0/91295190?pos=3
91-29-5190N,"Warranty: 

1 Year Limited Warranty",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/91295190n?pos=4
91-29-5190N,"Unit of Measure: 

                                                            Each",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/91295190n?pos=4
91-29-5190N,"UPC: 

                                                            #
                                                            
                                                                661432233413",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/91295190n?pos=4
91-29-5190N,"Rotation Direction:
                                                        

                                                            Clockwise",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/91295190n?pos=4
91-29-5190N,"Design:
                                                        

                                                            Direct Drive",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/91295190n?pos=4
91-29-5190N,"New Or Remanufactured:
                                                        

                                                            New",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/91295190n?pos=4
91-29-5190N,"kW Rating (kW):
                                                        

                                                            0.5kW",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/91295190n?pos=4
91-29-5190N,"Voltage (V):
                                                        

                                                            12 Volt",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/91295190n?pos=4
91-29-5190N,"OE Manufacturer:
                                                        

                                                            Denso",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/91295190n?pos=4
91-29-5190N,"Number Of Pinion Teeth:
                                                        

                                                            9",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/91295190n?pos=4
71-25-18305,"Warranty: 

18 Month Limited Warranty",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712518305?pos=0
71-25-18305,"Unit of Measure: 

                                                            Each",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712518305?pos=0
71-25-18305,"UPC: 

                                                            #
                                                            
                                                                661432255675",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712518305?pos=0
71-25-18305,"Rotation Direction:
                                                        

                                                            Counter-Clockwise",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712518305?pos=0
71-25-18305,"Design:
                                                        

                                                            Direct Drive",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712518305?pos=0
71-25-18305,"Series:
                                                        

                                                            S108",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712518305?pos=0
71-25-18305,"Mounting Shims Included:
                                                        

                                                            No",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712518305?pos=0
71-25-18305,"New Or Remanufactured:
                                                        

                                                            New",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712518305?pos=0
71-25-18305,"Nose Cone Type:
                                                        

                                                            Open",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712518305?pos=0
71-25-18305,"Solenoid Attached:
                                                        

                                                            No",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712518305?pos=0
71-25-18305,"kW Rating (kW):
                                                        

                                                            0.6kW",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712518305?pos=0
71-25-18305,"Voltage (V):
                                                        

                                                            12 Volt",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712518305?pos=0
71-25-18305,"OE Manufacturer:
                                                        

                                                            Hitachi",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712518305?pos=0
71-25-18305,"Mounting Bolts Included:
                                                        

                                                            No",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712518305?pos=0
71-25-18305,"Number Of Pinion Teeth:
                                                        

                                                            9",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712518305?pos=0
71-25-18305,"Starter Drive Included:
                                                        

                                                            No",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712518305?pos=0
71-25-18305,"Overcrank Protection:
                                                        

                                                            No",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712518305?pos=0
71-29-17605,"Warranty: 

18 Month Limited Warranty",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712917605?pos=1
71-29-17605,"Unit of Measure: 

                                                            Each",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712917605?pos=1
71-29-17605,"UPC: 

                                                            #
                                                            
                                                                661432257112",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712917605?pos=1
71-29-17605,"Rotation Direction:
                                                        

                                                            Counter-Clockwise",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712917605?pos=1
71-29-17605,"Design:
                                                        

                                                            Direct Drive",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712917605?pos=1
71-29-17605,"Mounting Shims Included:
                                                        

                                                            No",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712917605?pos=1
71-29-17605,"New Or Remanufactured:
                                                        

                                                            New",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712917605?pos=1
71-29-17605,"Nose Cone Type:
                                                        

                                                            Open",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712917605?pos=1
71-29-17605,"Solenoid Attached:
                                                        

                                                            No",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712917605?pos=1
71-29-17605,"kW Rating (kW):
                                                        

                                                            0.6kW",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712917605?pos=1
71-29-17605,"Voltage (V):
                                                        

                                                            12 Volt",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712917605?pos=1
71-29-17605,"OE Manufacturer:
                                                        

                                                            Denso",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712917605?pos=1
71-29-17605,"Mounting Bolts Included:
                                                        

                                                            No",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712917605?pos=1
71-29-17605,"Number Of Pinion Teeth:
                                                        

                                                            9",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712917605?pos=1
71-29-17605,"Starter Drive Included:
                                                        

                                                            Yes",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712917605?pos=1
71-29-17605,"Overcrank Protection:
                                                        

                                                            No",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712917605?pos=1
71-29-18009,"Warranty: 

1 Year Limited Warranty",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712918009?pos=2
71-29-18009,"Unit of Measure: 

                                                            Each",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712918009?pos=2
71-29-18009,"UPC: 

                                                            #
                                                            
                                                                661432257174",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712918009?pos=2
71-29-18009,"Rotation Direction:
                                                        

                                                            Counter-Clockwise",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712918009?pos=2
71-29-18009,"Design:
                                                        

                                                            Direct Drive",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712918009?pos=2
71-29-18009,"New Or Remanufactured:
                                                        

                                                            New",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712918009?pos=2
71-29-18009,"kW Rating (kW):
                                                        

                                                            0.6kW",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712918009?pos=2
71-29-18009,"Voltage (V):
                                                        

                                                            12 Volt",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712918009?pos=2
71-29-18009,"OE Manufacturer:
                                                        

                                                            Denso",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712918009?pos=2
71-29-18009,"Number Of Pinion Teeth:
                                                        

                                                            9",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712918009?pos=2
71-29-18415,"Warranty: 

18 Month Limited Warranty",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712918415?pos=3
71-29-18415,"Unit of Measure: 

                                                            Each",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712918415?pos=3
71-29-18415,"UPC: 

                                                            #
                                                            
                                                                661432257389",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712918415?pos=3
71-29-18415,"Rotation Direction:
                                                        

                                                            Counter-Clockwise",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712918415?pos=3
71-29-18415,"Design:
                                                        

                                                            Direct Drive",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712918415?pos=3
71-29-18415,"Mounting Shims Included:
                                                        

                                                            No",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712918415?pos=3
71-29-18415,"New Or Remanufactured:
                                                        

                                                            New",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712918415?pos=3
71-29-18415,"Nose Cone Type:
                                                        

                                                            Open",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712918415?pos=3
71-29-18415,"Solenoid Attached:
                                                        

                                                            No",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712918415?pos=3
71-29-18415,"kW Rating (kW):
                                                        

                                                            0.6kW",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712918415?pos=3
71-29-18415,"Voltage (V):
                                                        

                                                            12 Volt",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712918415?pos=3
71-29-18415,"OE Manufacturer:
                                                        

                                                            Denso",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712918415?pos=3
71-29-18415,"Mounting Bolts Included:
                                                        

                                                            No",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712918415?pos=3
71-29-18415,"Number Of Pinion Teeth:
                                                        

                                                            9",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712918415?pos=3
71-29-18415,"Starter Drive Included:
                                                        

                                                            Yes",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712918415?pos=3
71-29-18415,"Overcrank Protection:
                                                        

                                                            No",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712918415?pos=3
71-29-18416,"Warranty: 

18 Month Limited Warranty",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712918416?pos=4
71-29-18416,"Unit of Measure: 

                                                            Each",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712918416?pos=4
71-29-18416,"UPC: 

                                                            #
                                                            
                                                                661432257396",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712918416?pos=4
71-29-18416,"Rotation Direction:
                                                        

                                                            Counter-Clockwise",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712918416?pos=4
71-29-18416,"Design:
                                                        

                                                            Direct Drive",https://www.oreillyauto.com/detail/c/wilson/alternators---starters/starter/dad3c6651e74/wilson-starter-new/wil0/712918416?pos=4
