名称,介绍,详情
卡特彼勒 新经典CAT?320 GX 液压挖掘机,国四CAT ? 320 GX 比国三320 GX动作更快，产量提高显著；无需使用尿素溶液，可靠的尾气后处理装置，生命周期内无需维护，而且无需专门停车再生，从而增加了作业时间，整机配置简洁可靠，是一款高性价比的新经典20级吨挖掘机，对台班客户收益更好。,"
整机工作质量(kg):
19800
额定斗容(m3):
0.93
额定功率(KW/rpm):
110
发动机型号:
Cat?C4.4
"
卡特彼勒 CAT?M315 GC 轮式挖掘机,CAT ? M315 GC设计适用于日常施工作业，布局、系统、零件跟新一代小挖通用，性能提高，日常作业运营成本降低，带来更好的收益。,"
整机工作质量(kg):
13990
铲斗容量(m3):
0.65 （0.2 m3挖沟斗）
额定功率(Kw/rpm):
110
发动机型号:
Cat? C4.4
"
山东临工 L918HL 国四装载机,L918HL装载机四阶段发动机，配备涡轮增压器，动力强劲，效率高，配P、S、E多态开关，客户可根据工况合理选择，能够合理的提高效率、降低油耗。,"
整机工作质量(kg):
5700
额定斗容(m3):
0.9
额定载重量(kg):
1800
发动机型号:

"
晋工 JGM771FT32KV 叉装车,"轮式叉装机是晋工机械针对石材荒料开采、加工的作业状况，自主研制的符合石材荒料铲、装运及堆料等的石材矿山机械设备。
适应现代开采工艺，可以轻松的撬、铲荒料，降低人力成本及强度。","
整机工作质量(kg):
32400
额定载重量(kg):
32000
发动机型号:
潍柴（国三）
额定功率(Kw/rpm):
178
"
山猫 沃福S18 滑移装载机,沃福（Earthforce）S18滑移装载机山猫沃福S18拥有出色的性能，凭借紧凑的机身尺寸和强劲的动力性能轻松解决狭小空间内的作业难题。,"
行走方式:
轮胎式
额定载重量:
0.8-1吨
动力方式:

品牌:
山猫
"
柳工 766A 挖掘装载机,CLG766A挖掘装载机极佳的日常保养和维修简易机构节省宝贵时间，专为轻松快速维护保养而设计，打开上掀式发动机罩，可快速接触发动机，冷却液、制动液、机油尺和空滤等，保养成本低，为您节省时间和金钱。,"
额定功率:
100马力以上
操作重量:
8000公斤以下
品牌:
柳工
类别:
挖掘装载机
"
柳工 LD17CG4 推土机,LD17CG4推土机搭载康明斯L9国四发动机；高压共轨、精确燃烧控制，高效节油7%-20%，承载能力高，使用寿命长；搭载非道路移动机械专属后处理系统。,"
功率:
120-220
行走:
履带式
用途:
标准型
动力方式:

"
内蒙古北方重工 多功能 铲运机,内蒙古北方重工 多功能 铲运机是内蒙古北方重工生产制造的行走为铲运机。,"
行走:

卸土:

斗容:

动力方式:

"
徐工 XDM80 三桥刚性矿车,XDM80轻型矿车是世界上首款采用刚性自卸车的优势技术的轻型机械传动自卸车，基于刚性自卸车优势技术、引入宽体车的成本设计理念：采用全油气悬架系统，前桥采用麦弗逊独立悬架，改善车架受力，提高车架寿命；采用全焊接钢性车架，关键焊缝全熔透焊接，属于经典矿车技术设计理念先进，可靠性高。,"
行走方式:
轮胎式
动力方式:
LNG
品牌:
徐工
类别:
自卸车
"
徐工 XDR100 双桥刚性矿车,XDR100 双桥刚性矿车配置机械传动自卸车牵引力控制系统（TCS）：避免单侧轮打滑，改善车辆机动性能，有效延长轮胎的使用寿命。,"
行走方式:
轮胎
车架形式:
刚性
动力方式:

品牌:
徐工
"
三一重工 SMHW36V 抓钢（料）机,抓钢(料)机是一种多用途高效物料处理设备，被广泛用于各大钢厂、港口、堆场、企业仓储中心等场所，完成废钢、散杂货的装卸、堆垛作业，还可进行物料抓取、吊装、切割等作业。,"
动力方式:

品牌:
三一重工
类别:
多用途挖掘机
型号:
SMHW36V
"
卡特彼勒 CAT?305.5 液压挖掘机,Cat? 305.5采用Cat流量共享液压技术，拥有高效的能量转换。305.5客户口碑好，具有小油耗，大收益，皮实耐用的优点，305.5使用侧置臂设计，可以轻松看到铲斗，施工安全，轻松。全新305.5加大了油箱，帮助客户减少加油次数。,"
整机工作质量(kg):
5611
额定斗容(m3):
0.22
额定功率(KW/rpm):
34.1
发动机型号:
Cat? C2.2
"
徐工 XE60WGH 轮式挖掘机,"XE60WGH轮式挖掘机采用定制洋马低速大扭矩发动机，也液压系统精准匹配，操作精准性高，动作协调性好，燃油箱容积提升10%,续航时间更长。","
整机工作质量(kg):
5950
铲斗容量(m3):
0.23
额定功率(Kw/rpm):
49.9/2400
发动机型号:

"
柳工 816H 国四装载机,816H是柳工全新开发的小型装载机，机动灵活、一机多用、操作简易、安全舒适、维护便利是其主要特点，该机型适合狭小场地作业，广泛应用于市政工程、农牧场、房屋建筑等场所。,"
整机工作质量(kg):
5180
额定斗容(m3):
0.8
额定载重量(kg):
1600
发动机型号:

"
山东临工 LFT22F 叉装车,山东临工 LFT22F 叉装车是山东临工生产制造的吨位为18~28吨叉装车，LFT22F的整机工作质量(kg)为25870。,"
整机工作质量(kg):
25870
额定载重量(kg):
22000
发动机型号:

额定功率(Kw/rpm):
178
"
柳工 365BG4 滑移装载机,"365BG4滑移装载机绿色节能，低碳环保,操纵舒适，空间大、视野广,高可靠性，低油耗、低噪声,多属具应用，满足不同工况需求。","
行走方式:
轮胎式
额定载重量:
0.8吨以下
动力方式:

品牌:
柳工
"
厦工 XG765E 挖掘装载机,XG765E挖掘装载机发动机功率高，扭矩储备大，可同时满足液压、传动和空调系统的需要。转弯半径小，转向灵活，反映速度快。装载单手柄，操作方便，操纵力轻。高压液压系统可提供强大动力和快速准确的反应，工作装置具有强劲的提升力，回转力和铲斗挖掘力。便于操纵的挖掘动臂锁定机构和挖掘装置过中点的特殊设计，使设备运输更安全，行驶更平衡。,"
额定功率:
100马力以下
操作重量:
8000公斤以下
品牌:
厦工
类别:
挖掘装载机
"
小松 D475A-5E0 推土机,D475A-5E0履带式推土机强力发动机提供充足的动力，根据机器负荷自动切换最佳速度，提高整体工作效率的模式选择功能（电子复合控制系统）。,"
功率:
220-320
行走:
履带式
用途:
标准型
动力方式:

"
蓝田 LTD100 电动铲运机,LTD100电动铲运机交流电动机驱动，比同功率的柴油机动力更平稳强劲；真正意义上实现了尾气零排放、无污染；电力缆自动收放，省时省力更安全；工作时使用电力，节约能源，大大降低了采矿成本；座椅采用侧坐方式，视线清楚，工作方便；工程桥、轮边减速铲掘力更大；纯进口液压元器件，可靠寿命长。液控变量泵----变量马达----传动齿轮箱----前后桥---四个胶轮传动；采用了回转轴承链接后车架摆动。使用专用电缆，工作系统采用先导液控操作，是铲运机操作更加简单、高效、低故障率。紧急停车制动采用了摩擦片制动器，弹簧制动，液压力解除制动，突然断电立即制动，安全可靠。。,"
行走:

卸土:

斗容:
3立方以下
动力方式:
电动
"
同力重工 TL980 非公路宽体自卸车,TL980非公路宽体自卸车采用8x4驱动形式，适用于坡度平缓、运距较长、物料较轻工况的大型露天矿山场地运输，具有速度快、货箱容积大、运输效率高等优势。,"
行走方式:
轮胎式
动力方式:
LNG
品牌:
同力重工
类别:
自卸车
"
临工重机 RTH106 矿用卡车,RTH106矿用卡车采用双回路气压鼓式制动，系统成熟可靠，宽高比例1:1，整机稳定性更好。,"
行走方式:
轮胎
车架形式:

动力方式:

品牌:
临工重机
"
迪万伦 DX380MH 多用途挖掘机,迪万伦物料机根据不同的作业工况，配备不同的类型的大小臂及多样化的属具，高效率实现物料的转运、装卸。,"
动力方式:

品牌:
迪万伦
类别:
多用途挖掘机
型号:
DX380MH
"
迪万伦 DX60E 国四挖掘机,"DX60E延续原有性能基础上采用LS(负载敏感)液压系统，优化底盘结构设计，强化底盘结构下部体，延长装备使用寿命，为客
户保障附加值。","
整机工作质量(kg):
5450
额定斗容(m3):
0.21
额定功率(KW/rpm):
36.4/3000
发动机型号:
迪万伦 DW02
"
迪万伦 DX60W ECO 国四轮式挖掘机,DX60W ECO轮式挖掘机机动灵活接活小能手，移动方便，不惧转场，自由出入施工场地，承接项目灵活，可配带多重属具，一机多用。,"
整机工作质量(kg):
5500
铲斗容量(m3):
0.18
额定功率(Kw/rpm):
36.2/2200
发动机型号:
洋马 4TNV94L国Ⅳ
"
厦工 XG958-EV 电动装载机,?XG958N-EV装载机是厦工一款载重量5。5吨的长轴矩纯电动机型。整机重量18.5吨。卸载高度3米45，标准机型行业最高，2米25的轮距，工作四平八稳。,"
整机工作质量(kg):
18500
额定斗容(m3):
3.0 (2.2-4.5)
额定载重量(kg):
5500
发动机型号:

"
徐工 XC6-3006K 伸缩臂叉装机,XC6伸缩臂叉装机，是国内操控智能化程度高，安全高效的伸缩臂叉装机产品。电控静压传动系统、无级变速驱动技术，操作更加平稳可靠；智能独立散热系统，节能高效。,"
整机工作质量(kg):
7250
额定载重量(kg):
3000
发动机型号:

额定功率(Kw/rpm):
90
"
柳工 375BG4 滑移装载机,柳工滑移装载机采用整体式车架， 小巧灵活、 可实现原地360°转向， 特别适合在狭小的空间作业。,"
行走方式:
轮胎式
额定载重量:
0.8-1吨
动力方式:

品牌:
柳工
"
全工 WZ30-18 挖掘装载机,"采用名牌液压件，双泵合流，动力强劲,挖掘、装载实现液压动力互供.","
额定功率:
100马力以下
操作重量:
8000公斤以下
品牌:
全工
类别:
挖掘装载机
"
山工机械 818F（非道路国四） 推土机,818F（非道路国四）推土机满足国四排放的发动机，功率提升 6%，动力更强劲，经济模式下，动力提升 18%，改善作业效率。,"
功率:
120-220
行走:
履带式
用途:

动力方式:

"
恒特 DMA-2 挖树机 移树机 挖掘机钻机,DMA-2挖树机移树机帝盟挖树机，挖树效率比人工高20-30倍，平均3-5分钟能完成一棵8-15公分树木的移动；研制的铲刀锋利耐损，可对树根进行最小创面切割，避免了因人工刀砍、斧剁，而造成的伤根多、苗木成活率低等现象。公司独家研制的土球专用包装袋保湿透气性好，而且成活率比人工提高了25%以上。DM-A挖树机凭借较高的机械灵活性，能在33米的树林中自由穿梭，工作十分方便。,"
行走:
拖式
卸土:
半强制卸土
斗容:
30立方以上
动力方式:

"
雷萨重机 BJ3319DMPKC-AE 自卸车,"BJ3319DMPKC-AE自卸车高效进化,依托前瞻思维与科技创新，满足客户在法规标准、可靠、安全方面的需求，具有高效、环保、安全等特点。","
行走方式:
轮胎式
动力方式:

品牌:
雷萨重机
类别:
自卸车
"
三一重工 SKT90E 纯电动宽体自卸车,SKT90E纯电动宽体车是一种非公路型、短距离物料运输自卸车，适用露天矿山开采以及石料、冶金、水利、水泥、建筑等行业的物料运输，其工作特点为零排放、高安全性、高经济性、高能量回收、高动力性能、高出勤率、低运营费、低维护费。此款纯电动宽体车主推市场为载下坡或平坡工况，充分发挥纯电动矿车的优势，保障客户利益的最大化。,"
行走方式:
轮胎
车架形式:

动力方式:
电动
品牌:
三一重工
"
劲工 JG80L 铁路捣固机,劲工 JG80L 铁路捣固机是劲工生产制造的动力方式为铁路捣固机。,"
动力方式:

品牌:
劲工
类别:
多用途挖掘机
型号:
JG80L
"
小松 PC130-11M0 挖掘机,小松 PC130-11M0 挖掘机是小松生产制造的吨位(t)为中挖(13-30吨)中型挖掘机，PC130-11M0的整机工作质量(kg)为13100。,"
整机工作质量(kg):
13100
额定斗容(m3):
0.53~0.64
额定功率(KW/rpm):
72.6/2050
发动机型号:
小松SAA4D95LE-7-D
"
晋工 JGM912EV 纯电轮式挖掘机,JGM912EV 纯电轮式挖掘机结构简单，采用双电机方案，整车控制可靠性高，动力强劲，油泵电机采用75kw永磁电机，响应速度快，工作扭矩大，续航能力强，整车采用140kwh磷酸铁锂动力电池，可续航6-8h，优于行业配置，经济性好，对比同级别燃油版轮挖，运行成本可降低60%以上，每年节省费用约10万元，适应性强，在不同工况、不同环境温度下，均可正常稳定工作。,"
整机工作质量(kg):

铲斗容量(m3):

额定功率(Kw/rpm):
75
发动机型号:

"
山推 LH70-G 静压装载机,"LH70-G静液压装载机，是山推全新打造的一款静压传动高端装载机。整机额定载重6.8吨，符合非道路国四排放标准,该产品采用山东重工集团旗下潍柴动力+林德液压黄金动力总成，发动机曲线专为静液压产品进行特殊设定，工作液压采用定变量合流负载敏感系统，转向液压采用优先流量放大系统，先导手柄集行走控制和工作系统控制功能于一起，行走和液压自动功率分配技术和负载自适应技术，使整机具有更宽泛的作业高效区、更高的传动效率、更小的液压系统损耗以及更轻便的操作驾驶体验，整机相比同吨位液力传动装载机节油20%以上，整机适用于煤炭、砂石料等散料工况，是煤场、港口、码头、商砼站等用户的创富利器。","
整机工作质量(kg):
23000
额定斗容(m3):
3.5-6
额定载重量(kg):
6800
发动机型号:
WP10HG240E473
"
特雷克斯吉尼 GTH?-5519 紧凑型粗糙地面叉装机,无论任务大小，Genie? GTH?-5519 小型伸缩式叉装机都是理想选择。它易于操作和运输，便于维修，能够满足大多数建筑、砖石、景观和农业应用的需求。,"
整机工作质量(kg):

额定载重量(kg):

发动机型号:

额定功率(Kw/rpm):

"
徐工 XC7-SR04 国四滑移装载机,XC7-SR04国四滑移装载机配置知名品牌发动机，动力强劲，噪音低，可靠性高，满足国四排放标准要求，绿色环保。,"
行走方式:
轮胎式
额定载重量:
0.8吨以下
动力方式:

品牌:
徐工
"
卡特彼勒 CAT?432F 侧移挖掘装载机,新一代的 F 系列反铲装载机秉承了 Cat 品牌的设计传统和创新。 第六代的 F 系列承载着我们 25 年以上的丰富经验，并树立了新的标杆。请立即咨询离您最近的 Cat 代理商，了解 Caterpillar 的新一代反铲装载机。,"
额定功率:
100马力以下
操作重量:
8000公斤以下
品牌:
卡特彼勒
类别:
挖掘装载机
"
宣工 T140-3C 推土机,T140-3C推土机半刚性悬挂、机械传动、湿式助力操纵主离合器，常啮合、结合套换挡变速箱、双杆机械操纵。发动机采用潍柴WP10G型，动力强劲、油耗低、配件齐全。同时有空调、三齿松土器、U型铲刀（用于推煤作业，容量4m33供用户选购。是交通、沙漠、油田、电力、矿山等土石方施工的理想机械。,"
功率:
120以下
行走:
履带式
用途:
标准型
动力方式:

"
泰安现代 XDCY-2(电) 铲运机,泰安现代 XDCY-2(电) 铲运机是泰安现代生产制造的行走为铲运机。,"
行走:

卸土:

斗容:
3立方以下
动力方式:
电动
"
华菱汽车 HN3310B36D8BEV 282kWh换电版M5新能源自卸车,华菱汽车 HN3310B36D8BEV 282kWh换电版M5新能源自卸车是华菱汽车生产制造的行走方式为轮胎式282kWh换电版M5新能源自卸车。,"
行走方式:
轮胎式
动力方式:
电动
品牌:
华菱汽车
类别:
自卸车
"
宇通矿卡 YTK135ET 电动矿用卡车,宇通矿卡 YTK135ET 电动矿用卡车是宇通矿卡生产制造的行走方式为轮胎电动矿用卡车。,"
行走方式:
轮胎
车架形式:
刚性
动力方式:
电动
品牌:
宇通矿卡
"
徐工 XMH50K 抓料机,一机多用可选配贝壳抓斗、原木抓斗、梅花抓斗、半扣式抓具、吊钩等多种属具，并可选配属具快换装置，根据工作需求快速切换作业装置，真正实现一机多能。,"
动力方式:

品牌:
徐工
类别:
多用途挖掘机
型号:
XMH50K
"
徐工 XE26U 国四微型挖掘机,采用满足国四排放的机械式喷油发动机，动力强劲，节能环保，可靠性高，性能卓越。,"
整机工作质量(kg):
2780
额定斗容(m3):
0.06
额定功率(KW/rpm):
15.4/2400
发动机型号:

"
劲工 JS150S 轮式挖掘机,劲工 JS150S 轮式挖掘机是劲工生产制造的用途为通用型轮式挖掘机，JS150S的整机工作质量(kg)为12500。,"
整机工作质量(kg):
12500
铲斗容量(m3):
0.4-0.5
额定功率(Kw/rpm):
93/2200
发动机型号:
康明斯Cummins(国Ⅲ )
"
三一重工 SW956K-S 国四轮式装载机,"SW956K-S国四轮式装载机搭载潍柴发动机，功率170kW,动力强劲,稳定可靠,经济省油，保养便利。","
整机工作质量(kg):
17000
额定斗容(m3):
3.0-4.0（3.0）
额定载重量(kg):
5500
发动机型号:
WP10HG230E474A
"
厦工 XG9280Y 叉装机,厦工 XG9280Y 叉装机是厦工生产制造的吨位为30~35吨叉装机，XG9280Y的整机工作质量(kg)为30000。,"
整机工作质量(kg):
30000
额定载重量(kg):
28000
发动机型号:

额定功率(Kw/rpm):
175
"
凯斯 TV380 履带式滑移装载机,TV380履带式滑移装载机特性垂直举升（TV）专为载运工作而设计。重载驱动链条为铲斗提供非凡的牵引力，更快、更容易的装载卡车。新的20-25加仑油箱提供了更好的燃油效率。加大25%，经改善的驾驶室提供更多的空间，更好的可视性、舒适性以保证操作效果。一系列的升级包括可选加热空气悬挂座椅，空调，可移动的滑门和侧窗。创新性的超窄线宽侧屏设计和更大的玻璃窗给你更宽阔的视野。,"
行走方式:
履带式
额定载重量:
0.8吨以下
动力方式:

品牌:
凯斯
"
国机重工常林 630A 挖掘装载机,630A挖掘装载机采用潍柴WP4.1G100E311涡轮增压发动机，满足国三排放，动力强劲，配置CARRARO桥箱，传动高效。,"
额定功率:
100马力以下
操作重量:
8000公斤以下
品牌:
国机重工常林
类别:
挖掘装载机
"
卡特彼勒 CAT?D10T2 推土机,多年来，D10 推土机用实际的表现证明了自己是一款生产率高、功能齐全的机器。它十分灵活，可用于各种重型建筑工地，而且足够坚固，能够经受矿场的考验。D10T2 秉承了 D10T 的优良传统，性能卓越、使用寿命长、操作简单，依托遍布全球的 Cat 代理商网络所提供的世界一流服务，能够让 Cat 客户高枕无忧。,"
功率:
320以上
行走:
履带式
用途:
标准型
动力方式:

"
临工重机 UL70E 电动铲运机,UL70E电动铲运机设计用于井下矿岩的铲装、运输和卸载作业，能够适应井下严苛的工作环境并具有操作和维护简单，可靠性高等特点，额定铲运能力为7吨，适用于宽度为3.4m左右的井下巷道。,"
行走:

卸土:

斗容:
3-15立方
动力方式:
电动
"
徐工 XDA30 铰接式自卸车,XDA30铰接式自卸车为矿山专用发动机，技术成熟，动力强劲，满足高效作业要求，燃油消耗低。采用泵控液压系统和负载敏感转向系统，提升了系统的稳定性和故障排查的便捷性，更加节能。,"
行走方式:
轮胎式
动力方式:

品牌:
徐工
类别:
自卸车
"
卡特彼勒 CAT?785D 矿用卡车,"30 多年前，Caterpillar 推出 Cat? 785 机型，首次进入采矿业,自此，该机型便一直在世界各地的作业现场展现其出色性能。785D 秉承了这一优良传统,该卡车专为出众性能、舒适操作和经久耐用而设计。785D 专为高生产力的采矿应用而开发，物料运输量大，从而减少每吨成本。机器结构坚固，保养步骤简单，在降低运营成本的同时，确保高可靠性与较长的使用寿命。","
行走方式:
轮胎
车架形式:
刚性
动力方式:

品牌:
卡特彼勒
"
三一重工 SY85C （国四）轨道机,"SY85C国四轨道机搭载三一自主研发应急邻车驱动系统，当发动机故障停车时，可使用邻车驱动专用管路快速与邻车相连，借助邻车动力，驱动故障车辆,保障作业线路畅通。","
动力方式:

品牌:
三一重工
类别:
多用途挖掘机
型号:
SY85C
"
沃尔沃 EC500 ELECTRIC 挖掘机,沃尔沃EC500 插电式挖掘机通过电缆连接持续供电，是更加可持续作业的完美选择，同时可以提高静态应用的生产率、并降低运行成本。它无需加油，也无需充电，与柴油挖掘机相比，操作员舒适度更高，维护保养成本更低，作业循环时间更短。这款履带式挖掘机旨在大幅提升您的盈利能力。,"
整机工作质量(kg):
49006
额定斗容(m3):
3.03
额定功率(KW/rpm):
250/1500
发动机型号:

"
沃尔沃 EW205 CN4 全新国四系列轮式挖掘机,沃尔沃EW205轮式挖掘机能够帮助您提升效率。得益于沃尔沃独特的ECO模式和符合国四标准的强劲沃尔沃发动机等先进技术，无论是在公路还是非公路条件，这款机器均具有更高的效率表现。,"
整机工作质量(kg):
19990 - 21180Kg
铲斗容量(m3):
0.48 - 1.1m3
额定功率(Kw/rpm):
129/2000kW/rpm
发动机型号:

"
徐工 XC968-EV 电动中型装载机,XC968-EV是徐工第三代纯电动装载机的代表之作，采用“三电机”技术方案，即整机无变速箱。利用徐工核心自主的功率智能匹配优化技术，对整车电机功率、转速、转矩等进行集成化智能控制，结合智能热管理系统、能量回收、三级故障安全保护等功能设计，实现整机的智能、高效、安全作业。满足-40℃~50℃的环境使用要求，在钢厂、电厂、焦化厂、煤化工、煤场、砂石料、隧道等工况中得到广泛应用。,"
整机工作质量(kg):
19100
额定斗容(m3):
2.5~5.5
额定载重量(kg):
6000
发动机型号:

"
龙工 CDM855W 石料叉装机,CDM855W石料叉装机专为石材作业研发的Z型反转六连杆机构，专业灵活高强度货叉，具有强劲的崛起及提升能力，适应于各种石料叉装作业。视野宽阔的双摇臂结构，让叉装作业更高效，更安全，更方便。潍柴斯太尔“蓝挚代”发动机，动力与液压系统更完美匹配，通过作业时间的优化，既兼顾作业的高效率，又彰显操作的安全性。,"
整机工作质量(kg):
22000
额定载重量(kg):
21900
发动机型号:

额定功率(Kw/rpm):
162
"
山河智能 SWL2820 轮式滑移装载机,SWL2820 轮式滑移装载机产品适用于城市基础设施、建筑工地、厂房车间、仓库、码头、轮船甲板，甚至船舱内等场地狭窄、作业内容频繁变换的场合。,"
行走方式:
轮胎式
额定载重量:
0.8吨以下
动力方式:

品牌:
山河智能
"
徐工 XC8-C2570B 国四挖掘装载机,XC8-C2570B是徐工新推出的一款挖掘装载机。它是在现有产品成熟配套和技术性能的基础上，进行发动机排放升级、结构件轻量化和工作装置参数优化等提档升级，进一步提升产品舒适性、安全性、维修性、可靠性、保障性和经济性。,"
额定功率:
100马力以下
操作重量:
8000公斤以下
品牌:
徐工
类别:
挖掘装载机
"
徐工 DL350 推土机,"DL350轮式推土机是徐工利用国际化研发平台，全力打造的具有国际先进水平的最新一代产品，填补国内轮式推土机空白,该机结构坚固、动力强劲、稳定可靠、安全舒适、节能高效，是港口和大型矿山的生产设备。","
功率:
220-320
行走:
轮胎式
用途:
标准型
动力方式:

"
泰安现代 XDCY-15 铲运机,泰安现代 XDCY-15 铲运机是泰安现代生产制造的行走为铲运机。,"
行走:

卸土:

斗容:
3立方以下
动力方式:

"
同力重工 TLD110B 矿用自卸车,TLD110B非公路矿用自卸车，是同力重工精心研发的国内首款双桥驱动矿用自卸车，主要应用于各大型露天矿山的开采运输，能够满足露天矿山设备大型化的发展需求。该产品设计承载70T，填补了国内矿用车承载重量60T～90T级之间的市场空白。,"
行走方式:
轮胎式
动力方式:

品牌:
同力重工
类别:
自卸车
"
沃尔沃 A60H 铰接式卡车,自推出世界上第一辆量产铰接式卡车Gravel Charlie以来，沃尔沃在产品可持续性能的开创性技术方面一直处于前列，A60H大型铰接式卡车的推出，标志着我们在业内迈出了新的一步。这款机器的保养间隔长、循环时间快，操作员体验更好，每吨的运输成本更低。,"
行走方式:
轮胎
车架形式:
铰接式
动力方式:

品牌:
沃尔沃
"
迪万伦 DX215CD 汽车拆解机,"汽车拆解机广泛应用于再生资源回收及报废汽车拆解行业，前端配置360旋转液压剪，可提供强大的剪切抓取力和出色的旋转精度，适用于结构件剪切、部品剥离、精细分类等作业。底盘上配备双向或四向压架，可稳固夹紧拆解对象。全新的EPOS&FEH系统，动作响应迅速，高效节能,另外亦可改装电动汽车拆解机，零排放、更环保，环保企业搭配绿色能源汽车拆解机成为行业新亮点。","
动力方式:

品牌:
迪万伦
类别:
多用途挖掘机
型号:
DX215CD
"
山东临工 E6155H 国四小型液压挖掘机,山东临工 E6155H 国四小型液压挖掘机是山东临工生产制造的吨位(t)为中挖(13-30吨)中型国四小型液压挖掘机，E6155H的整机工作质量(kg)为13600。,"
整机工作质量(kg):
13600
额定斗容(m3):
0.5～0.8
额定功率(KW/rpm):
89 kW
发动机型号:

"
现代重工 R150WVS 轮式挖掘机,R150WVS轮式挖掘机采用新型Tier3发动机，更环保、动力更强、速度更快，油耗更低。,"
整机工作质量(kg):
13700
铲斗容量(m3):
0.58
额定功率(Kw/rpm):
108  / 2,200
发动机型号:
现代HE6.7型
"
迪万伦 DL565 国四装载机,"DL565-10装载机基于良好市场表现的DL503装备进行升级，更加高效可靠，它将灵活性与稳定性完美融合,额定载荷5吨，倾翻载荷高达11.4吨，适合港口、煤矿、露天矿、砂石场、钢铁企业等各种复合工况，是当之无愧的实力战将。","
整机工作质量(kg):

额定斗容(m3):
2.7
额定载重量(kg):
5800
发动机型号:

"
厦金 XJ968-25卷钢 堆垛机,XJ968-25卷钢堆垛机产品自重30吨，比其它品牌重约3—5.5吨。,"
整机工作质量(kg):
30000
额定载重量(kg):
25000
发动机型号:

额定功率(Kw/rpm):

"
