名称,介绍,详情
美通筑机 橡胶改性二合一沥青设备 ,美通筑机橡胶改性二合一沥青设备具有先进的计量控制系统，沥青计量采用流量计计量，变频泵速控制；橡胶屑/改性剂添加采用失重秤计量，螺旋变调速供料。,"
品牌:
美通筑机
类别:
沥青生产设备
型号:
橡胶改性二合一沥青设备
报价:
暂无
"
郴筑 CZL5240GLY型 液态沥青运输车,CZL5240GLY型液态沥青运输车CZL5240GLY液态沥青运输车采用斯太尔ZZ1256M4346F（欧II型）底盘。用于运输修建黑色路面所需的液态沥青和渣油或其他需保温运输的粘性沥青油，除保温性能外，并有加热设备，能使沥青在低温、长距离运输途中始终呈热能液体。,"
品牌:
郴筑
类别:
沥青运输设备
型号:
CZL5240GLY型
报价:
暂无
"
无锡雪桃 沥青搅拌罐 ,无锡雪桃 沥青搅拌罐 是无锡雪桃生产制造的。,"
品牌:
无锡雪桃
类别:
沥青储存罐
型号:
沥青搅拌罐
报价:
暂无
"
浙江筑马机械 LRS6 沥青乳化设备,浙江筑马机械 LRS6 沥青乳化设备是浙江筑马机械生产制造的沥青乳化设备。,"
品牌:
浙江筑马机械
类别:
沥青乳化设备
型号:
LRS6
报价:
暂无
"
鑫衢 JM系列 橡胶粉改性沥青设备,橡胶粉改性沥青设备简介：JM系列胶体磨仿美国道维施设备又称作研磨泵、均化器、剪切磨等是我公司在综合国内外同类产品先进技术的基础上，开发研制的最新产品。,"
品牌:
鑫衢
类别:
沥青改性设备
型号:
JM系列
报价:
暂无
"
无锡恒达 QX系列导热油 沥青加热设备,无锡恒达 QX系列导热油 沥青加热设备是无锡恒达生产制造的沥青加热设备。,"
品牌:
无锡恒达
类别:
沥青加热设备
型号:
QX系列导热油
报价:
暂无
"
恒云科技 DJT-40 沥青脱桶设备,恒云科技 DJT-40 沥青脱桶设备是恒云科技生产制造的沥青脱桶设备。,"
品牌:
恒云科技
类别:
沥青脱桶设备
型号:
DJT-40
报价:
暂无
"
山河 GR系列 热油沥青加热灌,GR系列热油沥青加热灌加热速度快、加温效果好，沥青无损害、节能环保同伴和设备配套，不仅能提供高温沥青，还可提供高温导热油，填补了国内介质加热沥青中、小型设备的空白率先用超导热管加热沥青，升温速度快热管的传热效率为纯铜的1500多倍。热管--导热油的完美组合，均匀恒温差加热，沥青无损坏。燃烬式反烧炉，燃烧更充分，节约能源，环保达标。,"
品牌:
山河
类别:
沥青导热油设备
型号:
GR系列
报价:
暂无
"
高远圣工 GYXL3515型 橡胶沥青生产设备,　GYXL3515型橡胶沥青生产设备是我公司精心研制的新一代橡胶沥青生产设备。,"
品牌:
高远圣工
类别:
沥青生产设备
型号:
GYXL3515型
报价:
暂无
"
森远 AD5140TLB型 沥青混合料保温运输车,"AD5140TLB型沥青混合料保温运输车性能特点：料仓采用红外线热辐射加热、混合料受热均匀，螺旋输送器设计先进，可确保混合料输送干净。仓体采用双层保温结构，保温效果好，保温时间可长达48小时。先进可靠的火焰监测系统，可确保夜间加热的安全性。保温料仓温度具有自动监控,自动保温性能，使沥青料保持适宜的工作温度。","
品牌:
森远
类别:
沥青运输设备
型号:
AD5140TLB型
报价:
暂无
"
辽筑 大型 沥青存储罐(集中式加热节约能耗)200立~5000立,辽筑 大型 沥青存储罐(集中式加热节约能耗)200立~5000立是辽筑生产制造的沥青存储罐(集中式加热节约能耗)200立~5000立。,"
品牌:
辽筑
类别:
沥青储存罐
型号:
大型
报价:
暂无
"
欧亚机械 EP 6000/EP 8000型 沥青乳化设备,EP6000/EP8000型从18世纪中期，欧洲开始公路养护，在公路养护所有的材料中，效果最好的是乳化沥青。按照国际标准，优质的乳化沥青是指沥青含量在65%以上的沥青，它的优点：65%以上的乳化沥青黏度高，避免洒到地面的乳化沥青流失。可以做单层表面处层，因为破乳剩下的沥青，能够充分的黏结单层的碎石。,"
品牌:
欧亚机械
类别:
沥青乳化设备
型号:
EP 6000/EP 8000型
报价:
暂无
"
大连凯联 -美国VSS  聚合物改性沥青站 ,VSS改性沥青设备的设计目的是：快速而经济地生产各种聚合物改性沥青。该系列设备可以一次性生产15%浓度的EVA、EMA、SBS、SBR、PE和橡胶屑的各种改性沥青。VSS根据客户的不同要求可以提供不同的产量，规格分别为PMA-15型：15吨/小时；PMA-30型：30吨/小时；PMA-50型：50吨/小时等。,"
品牌:
大连凯联
类别:
沥青改性设备
型号:
-美国VSS  聚合物改性沥青站
报价:
暂无
"
泉筑 YK 快热节能沥青罐,泉筑 YK 快热节能沥青罐是泉筑生产制造的快热节能沥青罐。,"
品牌:
泉筑
类别:
沥青加热设备
型号:
YK
报价:
暂无
"
无锡恒达 沥青脱桶设备 ,沥青脱桶设备QX/TD系列的桶装沥青脱桶装置，具有结构先进、操作方便、脱桶融化快的特点，箱内上部有两道沥青桶通道，四周设导热油加热翅片管，液压推进器逐个将桶送进，沥青受热融化脱桶。下部导热油加热系统继续加热融化沥青，然后由泵抽出使用。,"
品牌:
无锡恒达
类别:
沥青脱桶设备
型号:
沥青脱桶设备
报价:
暂无
"
沧田重工 专业型燃煤气 沥青导热油设备,沧田重工 专业型燃煤气 沥青导热油设备是沧田重工生产制造的沥青导热油设备。,"
品牌:
沧田重工
类别:
沥青导热油设备
型号:
专业型燃煤气
报价:
暂无
"
VSS 橡胶 沥青设备,美国VSS 公司的姐妹公司 ISS 公司——国际封层公司，作为 ASTMD8-88 规范中湿式处理工艺的持有者，最早在美国进行橡胶沥青的施工应用，并有着30多年橡胶沥青路面设计和施工经验。,"
品牌:
VSS
类别:
沥青生产设备
型号:
橡胶
报价:
暂无
"
浙江筑马机械 ZM-40YSG 沥青储存运输罐,ZM-40YSG沥青储存运输罐ZM系列沥青储存运输罐是我公司根据公路施工中沥青运输，储存量大的要求，并借鉴同类产品的基础上自行研制开发的产品。罐体采用独特的保温结构和高效保温材料，并配有导双大功率燃烧器，能对各种沥青进行长距离，大容量的运输工作；并针对特殊沥青（如橡胶沥青）的储存于运输，在罐内增加搅拌轴。,"
品牌:
浙江筑马机械
类别:
沥青运输设备
型号:
ZM-40YSG
报价:
暂无
"
闽科 LQG-20型 沥青储存罐,LQG-20型沥青储存罐它既可专门作为沥青库完成沥青的储存和周转，也可作为改性沥青、乳化沥青乃至沥青混合料生产基地该设备特别适合县级公路段站、机械化大道班、及工程队的公路施工养护及与沥青混合料拌和机配套使用。产品分为拖式用汽车或工程机械拖行、固定式可方便起吊。,"
品牌:
闽科
类别:
沥青储存罐
型号:
LQG-20型
报价:
暂无
"
无锡泰特 LRS-6 乳化沥青设备,无锡泰特 LRS-6 乳化沥青设备是无锡泰特生产制造的乳化沥青设备。,"
品牌:
无锡泰特
类别:
沥青乳化设备
型号:
LRS-6
报价:
暂无
"
美通重机 MTG40 改性沥青设备,"采用主流成熟的高速剪切胶体磨法，改性剂采用螺旋变频调速上料，称重传感器计量;沥青采用泵计量与称重传感器两种计量方式;沥青升温采用大容量热交换器,能适应不同地域的环境温度,集装箱式结构设计,安装移动更为方便;电气元件选用西门子、施耐德品牌,提高了设备的可靠性。","
品牌:
美通重机
类别:
沥青改性设备
型号:
MTG40
报价:
暂无
"
天骏机械 50T 直热式沥青加温罐,定型产品有：GS-10T30T50T60T100T200T500T1000T2000T等，可与15T20T60T80T100T120T150T各种吨位的拌和楼直接配套。采用多套加热器与沥青储存罐，可组成各种规模的快装沥青库，满足你对各种产品的需求。,"
品牌:
天骏机械
类别:
沥青加热设备
型号:
50T
报价:
暂无
"
达刚控股 DT6 导热油沥青脱桶设备,我公司研制生产的导热油沥青脱桶设备用于桶装沥青的脱桶与升温，并具有脱水与自动清渣功能。该项技术已达到国际领先水平，获省科委科技一等奖，国家级新产品证书，并被列入国家火炬计划。,"
品牌:
达刚控股
类别:
沥青脱桶设备
型号:
DT6
报价:
暂无
"
源流长 导热油 沥青加热设备,工作原理：以导热油炉为热源体，导热油为加热介质，通过热油循环泵强制循环把沥青加热到使用温度。整体加热型：适用于大型沥青中转库整体与局部复合型：中小型沥青库及沥青拌合站的配套使用。设备特点：运行稳定、安全、故障率低，使用寿命一长。局部加热取油、避免沥青重复加热造成的老化现象，保证沥青质量，节约能源。,"
品牌:
源流长
类别:
沥青导热油设备
型号:
导热油
报价:
暂无
"
新筑智装 AR25A 橡胶沥青设备,AR25A橡胶沥青设备沥青和橡胶屑经过精确计f后进入混合搅拌装置、采用拥有自主的连续搅拌和悬浮物下拉技术，使混合料充分均匀混合。搅拌器液压驱动，转速电液比例自动调节。由称最料斗、称量螺旋和上料螺旋组成。上料螺旋器液压驱动，称量螺旋电比例调节，根据橡胶沥青配比自动精确控制配料。,"
品牌:
新筑智装
类别:
沥青生产设备
型号:
AR25A
报价:
暂无
"
欧亚机械 沥青运输车 沥青运输设备,沥青运输车适用于沥青库和拌和站之间液态沥青的运输，具有导热油加热，自动点火配置，选配沥青泵，可实现沥青的自吸和压力排放。,"
品牌:
欧亚机械
类别:
沥青运输设备
型号:
沥青运输车
报价:
暂无
"
边宁荷夫 沥青储存罐 ,边宁荷夫 沥青储存罐 是边宁荷夫生产制造的。,"
品牌:
边宁荷夫
类别:
沥青储存罐
型号:
沥青储存罐
报价:
暂无
"
飞腾 GLR-6 乳化改性沥青设备,GLR-6乳化改性沥青设备LR-6型乳化沥青设备，是经过我厂多年的研发并结合用户反馈意见，经多次改进而成的一种新型的乳化沥青生产机组，适用于普通乳化沥青生产。直热与导热油双加温沥青储存罐》，由此罐供出的高温导热油加温生产用水以及沥青管线伴热。设备的特点：整体型结构，移动、安装方便。含量设定比例带宽，可在10%-70%范围内随时调整。配比控制精确，成品含量误差小于1%。,"
品牌:
飞腾
类别:
沥青乳化设备
型号:
GLR-6
报价:
暂无
"
玛连尼 ModiFALT 高聚合物改性沥青设备,玛连尼的ModiFALT搅拌设备是用来生产高聚合物的改性沥青，高速剪切的设计使他的生产能力能达到40吨/小时，双称重搅拌罐能在保证产品性能的前提下提供灵活的搅拌工艺；集装箱式设计能提供高的灵活性。,"
品牌:
玛连尼
类别:
沥青改性设备
型号:
ModiFALT
报价:
暂无
"
鑫衢 燃烧器沥青加热罐 ,鑫衢 燃烧器沥青加热罐 是鑫衢生产制造的。,"
品牌:
鑫衢
类别:
沥青加热设备
型号:
燃烧器沥青加热罐
报价:
暂无
"
美通筑机 DJT4 沥青脱桶装置,DJT4沥青脱桶装置具有节约能源，沥青不挂桶，自动清渣，脱水性好，安全可靠的特点。,"
品牌:
美通筑机
类别:
沥青脱桶设备
型号:
DJT4
报价:
暂无
"
广通 DLG-50型 导热油式沥青高温罐,广通 DLG-50型 导热油式沥青高温罐是广通生产制造的导热油式沥青高温罐。,"
品牌:
广通
类别:
沥青导热油设备
型号:
DLG-50型
报价:
暂无
"
飞腾 YSXL-35 燃油、导热油双加温橡胶沥青储存罐,YSXL-35燃油、导热油双加温橡胶沥青储存罐设备相当于将导热油锅炉与生产设备完美的结合为一体。不仅节约了导热油炉运输成本，还节省导热油炉占用场地。设备以两台柴油燃烧器为热源，内置式的燃烧炉体热传递更直接，高温尾气再次利用，大幅减少热损失，通过多排烟管及导热油加热盘管使物料快速升温，热利用率非常高。横向鼠笼式搅拌器设计，搅拌强力无死角，使物料充分均混，提高互溶反应速率，即转动平稳，又拆装维修方便，变频调节搅拌转速。,"
品牌:
飞腾
类别:
沥青生产设备
型号:
YSXL-35
报价:
暂无
"
陕汽 沥青运输车 ,沥青运输车沥青运输车用于液态沥青的长、中、短途运输。采用自动点火柴油燃烧器加热、保温。具有沥青自流卸出、泵压卸出、泵吸装罐、原地输送等功能。该车保温性好，运载量大，适应性强。,"
品牌:
陕汽
类别:
沥青运输设备
型号:
沥青运输车
报价:
暂无
"
