名称,介绍,详情
邦立 CED1250-7正铲 电动液压挖掘机,CED1250-7正铲电动液压挖掘机CED1250-7电动型液压挖掘机适用于电力完善的矿山的剥离和开采工作，具有以下先进特点主要原件液压系统均采用国际知名品牌可分解H型下车结构稳定，抗扭性高，使得整机工作更加稳定可靠因为采用电力作为动力，在运营成本上相比于同型号的柴油型挖掘机可以节省近一半的运营成本。在电力设施完善的矿山，CED1250-7电动型液压挖掘机可无差别替代现有柴油型挖掘机。,"
整机工作质量(kg):
121000
额定斗容(m³):
5.5-8.0
额定功率(KW/rpm):
450/1485
发动机型号:
YJK4004-4
"
山特重工 HXB-30 电动防爆挖掘机,HXB-30电动防爆挖掘机该机适用于煤矿、金属矿、非金属矿、竖井、斜井及平巷掘进中的装岩、清底以及冻土层的挖掘作业。该机具有以下特点：与传统的人工清底相比，使用该机在大大节约人工成本的同时提高了作业效率，改善了工作环境。操作者处于驾驶室保护下作业，有利于安全生产。与传统的柴油动力小型挖掘机相比，由于采用电动液压系统，因而具有节约能源、噪音低、无尾气污染、效率高的特点，更适用于井下使用。,"
整机工作质量(kg):
3000-5500
额定斗容(m³):
0.2-0.4
额定功率(KW/rpm):
22/37
发动机型号:

"
永工 YG75-6D 教学用电动挖掘机,永工 YG75-6D 教学用电动挖掘机是永工生产制造的吨位(t)为小挖(5-13吨)小型教学用电动挖掘机，YG75-6D的整机工作质量(kg)为7000。,"
整机工作质量(kg):
7000
额定斗容(m³):

额定功率(KW/rpm):
92/2200
发动机型号:

"
欣安远 AQZGZ500 固定式电动液压全回转抓钢抓料机,AQZGZ500固定式电动液压全回转抓钢抓料机AQZG500固定电动液压全回转抓钢抓料机动力源采用异步交流电机，安全环保，较传统柴油机作业节省60%能耗；作业效率是人工的8-10倍；可有效解决企业人力资源紧张、管理成本高、人员流动性大的难题；与传统的挖掘机改装的抓料机相比投入少，后期维护费更低、性价比更优越；360°液压全回转结构、可控升降式驾驶室，驾驶员视野广，作业范围大；。,"
整机工作质量(kg):
4600
额定斗容(m³):

额定功率(KW/rpm):

发动机型号:

"
恒远 15电动挖掘机 ,15电动挖掘机全进口液压系统可以有效分配和利用流量，能完美依据驾驶员意图实现精准操作，改善和提升挖掘机性能；标配变量柱塞泵可智能改变系统压力，保持高挖掘力，提高快速作业能力、提高工作效率；挖掘机内置压力补偿装置，当挖掘机复合动作时各执行单元互不干扰，缩短操作时间、提高工作效率；废气零排放，低噪音，低震动，绿色环保，220V和380V电源都可以使用，更好的适应中国电力现状；。,"
整机工作质量(kg):

额定斗容(m³):

额定功率(KW/rpm):

发动机型号:

"
徐工 XE35E 电动挖掘机,XE35E是徐工集团全新开发的新一代纯电动挖掘机。,"
整机工作质量(kg):
3500
额定斗容(m³):

额定功率(KW/rpm):

发动机型号:

"
山东临工 E6225H EV 电动挖掘机,E6225H EV挖掘机是山东临工最新研发的纯电动挖掘机，可实现作业过程零排放，满足国家绿色施工要求，具有动力强劲、输出稳定、工作效率高、振动噪音小、工作续航久、充电速度快、电池全生命周期无需维护保养等特点。,"
整机工作质量(kg):
24700
额定斗容(m³):
1.0
额定功率(KW/rpm):
145
发动机型号:

"
沃尔沃 ECR25 Electric 电动挖掘机,"沃尔沃ECR25 Electric电动挖掘机是一款真正的革新性机器。这款机器是全新电动小型挖掘机系列中的产品，采用成熟的概念制造，同时新增了蓄电池电力，可提供小型机器套件中您所需的全部性能,沃尔沃建筑设备公司正迈向更加光明、更加可持续的未来，现在您也可以加入其中。","
整机工作质量(kg):
2680 - 2780Kg
额定斗容(m³):

额定功率(KW/rpm):
18 kW
发动机型号:

"
柳工 906FE 电动挖掘机,906F-E电动挖掘机，是柳工最新F系列开发平台基础之上，推出的新一代电动挖掘机，整机采用负载敏感液压系统，联合国际著名三电供应商调校匹配，在保持卓越操控性、多样化功能设置的前提下，更加的节能环保、安静舒适，为用户降低运营成本和提高特殊施工环境适应性。,"
整机工作质量(kg):
6160
额定斗容(m³):
0.21
额定功率(KW/rpm):
50
发动机型号:

"
雷沃重工 FR18F-E 电动挖掘机,雷沃重工 FR18F-E 电动挖掘机是雷沃重工生产制造的吨位(t)为微挖(5吨以下)微型电动挖掘机，FR18F-E的整机工作质量(kg)为1810。,"
整机工作质量(kg):
1810
额定斗容(m³):
0.04
额定功率(KW/rpm):
12
发动机型号:

"
邦立 CED1000-7反铲 电动液压挖掘机,CED1000-7反铲电动液压挖掘机CED1000-7电动型液压挖掘机适用于电力完善的矿山的剥离和开采工作，具有以下先进特点主要原件液压系统均采用国际知名品牌可分解H型下车结构稳定，抗扭性高，使得整机工作更加稳定可靠因为采用电力作为动力，在运营成本上相比于同型号的柴油型挖掘机可以节省近一半的运营成本。在电力设施完善的矿山，CED1000-7电动型液压挖掘机可无差别替代现有柴油型挖掘机。,"
整机工作质量(kg):
100000
额定斗容(m³):
4.0-6.5
额定功率(KW/rpm):
450/1485
发动机型号:
YJK4003-4
"
山特重工 HXB-55/HXB-30 电动防爆挖掘机,HXB-55/HXB-30电动防爆挖掘机该机适用于煤矿、金属矿、非金属矿、竖井、斜井及平巷掘进中的装岩、清底以及冻土层的挖掘作业。该机具有以下特点：与传统的人工清底相比，使用该机在大大节约人工成本的同时提高了作业效率，改善了工作环境。操作者处于驾驶室保护下作业，有利于安全生产。与传统的柴油动力小型挖掘机相比，由于采用电动液压系统，因而具有节约能源、噪音低、无尾气污染、效率高的特点，更适用于井下使用。,"
整机工作质量(kg):
3000-5500
额定斗容(m³):
0.2-0.4
额定功率(KW/rpm):

发动机型号:

"
欣安远 AQLZG500 履带式电动液压全回转抓钢抓料机,AQLZG500履带式电动液压全回转抓钢抓料机AQLZG500履带式电动液压全回转抓钢抓料机系列履带式电动液压全回转抓钢抓料机是为废钢回收企业研发的一种特种专用机械，主要用于解决废钢回收过程中装卸料、薄板料破碎机输送带上料、压块机上料及压块的吊装堆放等作业。通过配备不同的抓具可用于橡胶回收、废纸回收、塑料回收等物资回收利用行业和木材加工、码头散料装卸、矿山破碎机料口次破碎等行业。,"
整机工作质量(kg):
7500
额定斗容(m³):

额定功率(KW/rpm):

发动机型号:

"
沃尔沃 ECR18 Electric 电动挖掘机,ECR18 Electric是沃尔沃电动系列的新产品，可帮助您以更加可持续、更高效、更静音的方式工作。这款1.8吨级挖掘机结合传统ECR18和ECR25 Electric的所有成熟经验，具有更高的稳健性和易操作性。,"
整机工作质量(kg):
1790 - 1870Kg
额定斗容(m³):

额定功率(KW/rpm):
18 kW
发动机型号:

"
柳工 922FE拖电 电动挖掘机,柳工922FE拖电挖掘机，是在柳工全新922FE纯电版挖掘机开发平台的基础上，推出的新一代拖电版挖掘机，整机采用全电控液压系统+永磁同步电机+车载整流系统，在保持卓越操作性、多样化功能设置的前提下，更加的节能环保、安静舒适、为用户降低运营成本、提升施工出勤率，是小范围定点施工作业的抓钱利器。,"
整机工作质量(kg):
22000
额定斗容(m³):
1
额定功率(KW/rpm):
140
发动机型号:

"
邦立 CED1000-7正铲 电动液压挖掘机,CED1000-7正铲电动液压挖掘机CED1000-7电动型液压挖掘机适用于电力完善的矿山的剥离和开采工作，具有以下先进特点主要原件液压系统均采用国际知名品牌可分解H型下车结构稳定，抗扭性高，使得整机工作更加稳定可靠因为采用电力作为动力，在运营成本上相比于同型号的柴油型挖掘机可以节省近一半的运营成本。在电力设施完善的矿山，CED1000-7电动型液压挖掘机可无差别替代现有柴油型挖掘机。,"
整机工作质量(kg):
102000
额定斗容(m³):
5.0-7.0
额定功率(KW/rpm):
450/1485
发动机型号:
YJK4003-4
"
柳工 922FE 电动挖掘机,922FE电动挖掘机，是柳工在2019年北京展推出20吨级纯电挖掘机基础上，融合柳工全新一代F系列挖掘机开发平台，推出的新一代电动挖掘机，整机采用全电控液压系统，国际知名三电匹配调校，全新驾驶舱和独特维护设计等，在保持卓越操控性、多样化功能设置的前提下，更加的节能环保、安静舒适，为用户降低运营成本和提高特殊施工环境适应性，代表了目前行业电动挖掘机技术最高水平。,"
整机工作质量(kg):
24100
额定斗容(m³):
1.0
额定功率(KW/rpm):
140
发动机型号:

"
邦立 CED750-8正铲 电动液压挖掘机,CED750-8正铲电动液压挖掘机CED750-8电动型液压挖掘机适用于电力完善的矿山的剥离和开采工作，具有以下先进特点主要原件液压系统均采用国际知名品牌可分解H型下车结构稳定，抗扭性高，使得整机工作更加稳定可靠因为采用电力作为动力，在运营成本上相比于同型号的柴油型挖掘机可以节省近一半的运营成本。在电力设施完善的矿山，CED750-8电动型液压挖掘机可无差别替代现有柴油型挖掘机。,"
整机工作质量(kg):
75000
额定斗容(m³):
4.5
额定功率(KW/rpm):
280/1485
发动机型号:
YJK3555-4
"
柳工 960FE 双动力挖掘机,柳工960FE双动力挖掘机，是在柳工全新一代F系列挖掘机的基础上，专为中大型石方装车和破碎定制化开发的智能双动力挖掘机，整车可使用柴油机或者电机驱动，各种工况应付自如，实现转场灵活性和超低使用成本完美结合。双动力更灵活省钱，柴油机驱动和电机驱动模式一键切换，灵活性和低使用成本完美结合。,"
整机工作质量(kg):
55000
额定斗容(m³):
3.6
额定功率(KW/rpm):
电机310 kW/柴油机272 kW
发动机型号:

"
邦立 CED650-8反铲 电动液压挖掘机,CED650-8反铲电动液压挖掘机CED650-8电动型液压挖掘机适用于电力完善的矿山的剥离和开采工作，具有以下先进特点主要原件液压系统均采用国际知名品牌可分解H型下车结构稳定，抗扭性高，使得整机工作更加稳定可靠因为采用电力作为动力，在运营成本上相比于同型号的柴油型挖掘机可以节省近一半的运营成本。在电力设施完善的矿山，CED650-8电动型液压挖掘机可无差别替代现有柴油型挖掘机。,"
整机工作质量(kg):
67000
额定斗容(m³):
2.0-3.5
额定功率(KW/rpm):
315
发动机型号:

"
柳工 939FE 拖电 电动挖掘机,柳工939FE拖电版电动挖掘机是柳工首款39吨级纯电平台拖电产品，整机采用全电控液压系统，国际知名三电匹配调教，全新驾驶舱，全面防护设计等，满足矿山施工高强度、低排放、高舒适度的作业需求。 同时可实现拖电24h连续作业，最大化客户的投资收益。,"
整机工作质量(kg):
39000
额定斗容(m³):
2
额定功率(KW/rpm):
226
发动机型号:

"
邦立 CED650-8正铲 电动液压挖掘机,CED650-8正铲电动液压挖掘机CED650-8电动型液压挖掘机适用于电力完善的矿山的剥离和开采工作，具有以下先进特点主要原件液压系统均采用国际知名品牌可分解H型下车结构稳定，抗扭性高，使得整机工作更加稳定可靠因为采用电力作为动力，在运营成本上相比于同型号的柴油型挖掘机可以节省近一半的运营成本。在电力设施完善的矿山，CED650-8电动型液压挖掘机可无差别替代现有柴油型挖掘机。,"
整机工作质量(kg):
68000
额定斗容(m³):
2.5-4.0
额定功率(KW/rpm):
315
发动机型号:

"
柳工 924FE 电动挖掘机,924FE电动挖掘机，是柳工在新一代电动挖掘机技术平台之上，结合隧道施工中石方多、强度高、多样施工、环境危险、含氧量低、排放限制等特殊性，而专门推出的隧道专用电动挖掘机。整机采用全电控液压系统，国际知名三电匹配调校，全新驾驶舱、全面加强、全面防护设计等，满足隧道施工高强度、多操作、低排放、高舒适的作业需求。,"
整机工作质量(kg):
24900
额定斗容(m³):
1
额定功率(KW/rpm):
165
发动机型号:

"
邦立 CED460-6正铲 电动液压挖掘机,邦立 CED460-6正铲 电动液压挖掘机是邦立生产制造的吨位(t)为大挖(30-50吨)大型电动液压挖掘机，CED460-6正铲的整机工作质量(kg)为46000。,"
整机工作质量(kg):
46000
额定斗容(m³):
2.5
额定功率(KW/rpm):
200/1480
发动机型号:
Y315L2－4
"
柳工 924FTN-E 电动挖掘机,924FTN-E电动挖掘机，是柳工在新一代电动挖掘机技术平台之上，结合隧道施工中石方多、强度高、多样施工、环境危险、含氧量低、排放限制等特殊性，而专门推出的隧道专用电动挖掘机。整机采用全电控液压系统，国际知名三电匹配调校，全新驾驶舱、全面加强、全面防护设计等，满足隧道施工高强度、多操作、低排放、高舒适的作业需求。,"
整机工作质量(kg):
24900
额定斗容(m³):
1.0
额定功率(KW/rpm):
165
发动机型号:

"
邦立 CED460-8反铲 电动液压挖掘机,CED460-8反铲电动液压挖掘机CED460-8电动型液压挖掘机适用于电力完善的矿山的剥离和开采工作，具有以下先进特点主要原件液压系统均采用国际知名品牌可分解H型下车结构稳定，抗扭性高，使得整机工作更加稳定可靠因为采用电力作为动力，在运营成本上相比于同型号的柴油型挖掘机可以节省近一半的运营成本。在电力设施完善的矿山，CED460-8电动型液压挖掘机可无差别替代现有柴油型挖掘机。,"
整机工作质量(kg):
48000
额定斗容(m³):
2.5
额定功率(KW/rpm):
200
发动机型号:

"
邦立 CED460-5正铲 电动液压挖掘机,CED460-5正铲电动液压挖掘机CED460-8电动型液压挖掘机适用于电力完善的矿山的剥离和开采工作，具有以下先进特点主要原件液压系统均采用国际知名品牌可分解H型下车结构稳定，抗扭性高，使得整机工作更加稳定可靠因为采用电力作为动力，在运营成本上相比于同型号的柴油型挖掘机可以节省近一半的运营成本。在电力设施完善的矿山，CED460-8电动型液压挖掘机可无差别替代现有柴油型挖掘机。,"
整机工作质量(kg):
50000
额定斗容(m³):
2.5
额定功率(KW/rpm):
200
发动机型号:

"
三一重工 SMHC50V-D 电动抓钢（料）机,抓钢(料)机是一种多用途高效物料处理设备，被广泛用于各大钢厂、港口、堆场、企业仓储中心等场所，完成废钢、散杂货的装卸、堆垛作业，还可进行物料抓取、吊装、切割等作业。,"
动力方式:
电动
品牌:
三一重工
类别:
多用途挖掘机
型号:
SMHC50V-D
"
三一重工 SMHC50-D 电动抓钢（料）机,"SMHC50-D电动抓钢（料）机
配备川崎大排量主泵、高效率主阀和减速机，实现快速作业。","
动力方式:
电动
品牌:
三一重工
类别:
多用途挖掘机
型号:
SMHC50-D
"
柳工 943EMHE 多用途挖掘机,943EMHE是柳工自主开发的一款全新绿色产品，其采用380V的电源驱动，动力充沛，零排放，零污染。,"
动力方式:
电动
品牌:
柳工
类别:
多用途挖掘机
型号:
943EMHE
"
合肥湘元 XY365 柴电抓料（钢）机,XY365柴电抓料（钢）机集柴油机和电动机于一身的液压抓料（钢）机是一种广泛应用于钢铁厂、冶炼厂、港口、码头和废钢转运等行业的特种工程机械，具有以下特点：配备不同的抓具（如梅花抓斗、贝壳抓斗、圆木抓具、钢坯抓具、液压剪、液压钳等）能满足不同客户不同工况对废钢、矿石、煤炭、散化肥、黄沙装卸的需求。,"
动力方式:
电动
品牌:
合肥湘元
类别:
多用途挖掘机
型号:
XY365
"
柳工 973FMH 多用途挖掘机,采用两套动力系统，可油可电。在正常作业时，采用外接380V交流电的三相异步电机作为动力源进行作业，能耗低，降低使用成本，在转运或临时停电时，一键切换柴油发动机作为动力源进行工作，操作方便。,"
动力方式:
电动
品牌:
柳工
类别:
多用途挖掘机
型号:
973FMH
"
合肥湘元 XY305 柴电隧道牵引车,XY305柴电隧道牵引车柴电隧道牵引车，在地铁隧道中能为等诸多设备提供强大的承载力和牵引力。,"
动力方式:
电动
品牌:
合肥湘元
类别:
多用途挖掘机
型号:
XY305
"
合肥湘元 XY245 柴电液压挖掘机,XY245柴电液压挖掘机集柴油机和电动机于一身，可单独使用柴油机或电动机作为动力来源，各自带动一个液压泵来工作。,"
动力方式:
电动
品牌:
合肥湘元
类别:
多用途挖掘机
型号:
XY245
"
合肥湘元 XY215 电动多功能解体机,XY215电动多功能解体机该机械装备有一条夹臂和一个宽叉钳确保牢固夹持不同形状的物料，可用于破解和分离汽车引擎、家电、工业机械和类似设备，具有专业回收机器卓越性能：节能并环保：动力配置一台三相异步电动机，采用变频启动，快速高效，节能环保。,"
动力方式:
电动
品牌:
合肥湘元
类别:
多用途挖掘机
型号:
XY215
"
合肥湘元 XY135 电动液压挖掘机,"XY135电动液压挖掘机采用电动机替代柴油发动机，用380伏交流电作为能源，无尾气排放，噪音更低，绿色环保；电动机功率更小（相比柴油发动机），保养更简单，使用成本更低；变频控制、启动电流小、电动机转速不再恒定不便,作业效率基本能跟柴油机驱动相媲美；采用特殊设计的导电环也很好地避免了电缆可能遭受到的各种缠绕等问题,轻松实现机器360度回转作业。","
动力方式:
电动
品牌:
合肥湘元
类别:
多用途挖掘机
型号:
XY135
"
合肥湘元 XY35U 电动液压挖掘机,XY35U电动液压挖掘机采用电动机替代柴油发动机，用380伏交流电作为能源，无尾气排放，噪音更低，绿色环保；电动机功率更小（相比柴油发动机），保养更简单，使用成本更低；加上其无尾以及带拐臂设计，通过更换不同的属具使设备具有挖掘、破碎、推土、抓物、钻孔、清沟等多种功能，更加适合井下、隧道等相对密闭空间的特殊工作场所。,"
动力方式:
电动
品牌:
合肥湘元
类别:
多用途挖掘机
型号:
XY35U
"
山工机械 SEM658F 电驱 装载机,SEM658F 电驱装载机更可靠，皮实耐造，效率高，动力强劲，够舒适，多元驾趣，能省钱，智享未来。,"
整机工作质量(kg):
17600
额定斗容(m³):
2.6-5.0
额定载重量(kg):
5500
发动机型号:

"
山东临工 L956HEV 5吨电动装载机,L956HEV是山东临工打造的5T级纯电动装载机，选用行业优质三电资源，精心调校，性能匹配合理，整机操纵舒适，兼具传统装载机的稳定可靠和纯电动装载机的响应快速的特性，生产效率行业*，广泛应用于隧道、钢铁、电厂、煤炭、港口、物流等工况。,"
整机工作质量(kg):
18400
额定斗容(m³):
3.0（2.7～4.5）
额定载重量(kg):
5500
发动机型号:

"
柳工 820TE 电动装载机,"柳工电动装载机采用磷酸铁锂电池，安全可靠，终身免维护，噪音低、零排放，
具备卓越操控、高效施工及多工况适应等特点，节能环保、安全舒适，提供施工便利性的同时，为用户降低运营成本、维护成本，创造更多价值。","
整机工作质量(kg):
6400
额定斗容(m³):
1.2
额定载重量(kg):
2000
发动机型号:

"
山推 LE70-X3 纯电装载机,LE70-X3是山推研发的首款大马力纯电装载机，真正的做到了零排放、零污染，传动系统匹配高性能永磁同步电机和定轴式电控变速箱，传动高效可靠，整机外观时尚、大气，作业效率高，是煤炭、矿山等作业的施工利器。,"
整机工作质量(kg):
22300
额定斗容(m³):
4-5.5
额定载重量(kg):
6500
发动机型号:

"
三一重工 SW956E 电动装载机,"SW956E电动装载机行走系统采用大功率永磁同步电机,瞬时扭矩2400Nm,动力强劲、高效，整机采用智能控制系统，可根据负载、车速等条件自动调节动力输出，动力响应快，效率高。","
整机工作质量(kg):
18000
额定斗容(m³):
3.5
额定载重量(kg):
5500
发动机型号:

"
国机重工常林 950E 电动装载机,950E电动装载机选用高可靠性、性能卓越的驱动电机，技术成熟，动力储备大、经济性优，采用了柴油装载机的几乎整个液压系统，配件通用性高，便于维护保养，电器系统接插件防水、防尘、防松设计，接插可靠，元件防护等级均不低于IP67，安全等级高。,"
整机工作质量(kg):
5000
额定斗容(m³):
2.2
额定载重量(kg):
20400
发动机型号:

"
山东临工 L968HEV 6吨电动装载机,L968HEV节能高效，投资回报快，采用双路制动能量回收技术，*速充电，超长续航。,"
整机工作质量(kg):
22300
额定斗容(m³):
4.2(3.0～5.0)
额定载重量(kg):
6500
发动机型号:

"
柳工 856E 电动装载机,"柳工电动装载机采用磷酸铁锂电池，安全可靠，终身免维护，噪音低、零排放,具备卓越操控、高效施工及多工况适应等特点，节能环保、安全舒适，提供施工便利性的同时，为用户降低运营成本、维护成本，创造更多价值。","
整机工作质量(kg):
18035
额定斗容(m³):
3
额定载重量(kg):
5500
发动机型号:

"
山推 LE60-X3 纯电装载机,LE60-X3是山推全新推出的一款   5.8吨级纯电装载机，整机外观全新流线型设计、电控系统精准调校，名副其实的颜值与实力并存，整机作业时零排放零污染，主要用于电厂、煤矿、钢厂等作业工况，在追求绿色、高效的今天，为客户带来经济效益和环保效益的双叠加。,"
整机工作质量(kg):
18500(282kwh)/19400(350kwh)
额定斗容(m³):
5
额定载重量(kg):
5800
发动机型号:

"
徐工 XC975-EV 电动装载机,XC975-EV是徐工第三代纯电动装载机的代表之作，采用“三电机”技术方案，即整机无变速箱。利用徐工核心自主的功率智能匹配优化技术，对整车电机功率、转速、转矩等进行集成化智能控制，结合智能热管理系统、能量回收、三级故障安全保护等功能设计，实现整机的智能、高效、安全作业。,"
整机工作质量(kg):
23160
额定斗容(m³):
4.0~6.5
额定载重量(kg):
7000
发动机型号:

"
三一重工 SW966E 电动装载机,SW956E电动装载机高容量电池总成，布置合理，符合国标GB38031安全要求，碰撞、挤压特殊情况发生时，不出现壳体破裂、起火或爆炸，保证司乘人员人身安全。,"
整机工作质量(kg):
23200
额定斗容(m³):
4.5（2.7-6）
额定载重量(kg):
6800
发动机型号:

"
雷沃重工 FL968K-E 装载机,雷沃FL968K-E配置潍柴弗迪433刀片电池，它的核心是“高转速，集成化”相比竞品“更可靠、更安全、更节能”。一般工况充电一次可续航8-9小时。控制器一体化集成，可靠性大幅提升，更节能，更高效。,"
整机工作质量(kg):

额定斗容(m³):

额定载重量(kg):

发动机型号:

"
英轩重工 YX660EV-GT 电动装载机,YX660EV-GT是一款在YX660EV全新平台设计的高性能、智能化、长续航、重载电动机型，额定载重量5800kg，大开档铰接，3400mm超长轴距配置，广泛适用于港口、矿山、砂石料等重载工况，满足不同客户需求。,"
整机工作质量(kg):
19100
额定斗容(m³):
2.4-4.5
额定载重量(kg):
5800
发动机型号:

"
国机重工常林 955Ev 电动装载机,955Ev电动装载机选用高可靠性、性能卓越的驱动电机，技术成熟，动力储备大、经济性优，采用了柴油装载机的几乎整个液压系统，配件通用性高，便于维护保养，电器系统接插件防水、防尘、防松设计，接插可靠，元件防护等级均不低于IP67，安全等级高。,"
整机工作质量(kg):
18000
额定斗容(m³):
2.2-4.5
额定载重量(kg):
5000
发动机型号:

"
龙工 LG856H-E 电动装载机,龙工第三代电动轮式装载机：新外观、新优化、新技术。,"
整机工作质量(kg):
17800±300
额定斗容(m³):
2.7-5.0
额定载重量(kg):
5500
发动机型号:

"
博雷顿 BRT956EV 纯电动装载机,BRT956EV纯电动装载机有力量，动力系统采用车规级大功率永磁同步电机+定轴箱，充分发挥强劲动力。,"
整机工作质量(kg):
17000-18500
额定斗容(m³):
2.7-4.2
额定载重量(kg):
5000
发动机型号:

"
柳工 856HE MAX 电动装载机,柳工电动装载机采用磷酸铁锂电池，安全可靠，终身免维护，噪音低、零排放，具备卓越操控、高效施工及多工况适应等特点，节能环保、安全舒适，提供施工便利性的同时，为用户降低运营成本、维护成本，创造更多价值。,"
整机工作质量(kg):
19588
额定斗容(m³):
3.5
额定载重量(kg):
5800
发动机型号:

"
山推 LE59-X2 电动装载机,LE59-X2是山推全新开发的一款5.5吨纯电装载机，整机全新外观及涂装设计、采用全新驾驶室、机罩视觉冲击力更强，并且整机真正的做到了零排放、零污染，是煤炭、土方等作业的施工利器。,"
整机工作质量(kg):
18300/18000
额定斗容(m³):
4.8/3.3
额定载重量(kg):
5500
发动机型号:

"
徐工 XC9350 超大吨位电传动装载机,XC9350是徐工自主研发的国内大吨位四轮独立驱动电传动装载机，工作载荷接近40吨，整机关键技术自主研发，该机具有使用寿命长、维护成本低、可靠性高等特点，适用于大型露天矿开采、矿卡装卸、短距离运输等工况，是配套徐工110-200吨矿卡的较佳选择。,"
整机工作质量(kg):
150000
额定斗容(m³):
18
额定载重量(kg):
35000
发动机型号:

"
雷沃重工 FL960EV 装载机,雷沃重工 FL960EV 装载机是雷沃重工生产制造的吨位为装载机，FL960EV的整机工作质量(kg)为。,"
整机工作质量(kg):

额定斗容(m³):

额定载重量(kg):

发动机型号:

"
