名称,介绍,详情
盛华源 公路架桥机 ,盛华源 公路架桥机 是盛华源生产制造的。,"
品牌:
盛华源
类别:
架桥机
型号:
公路架桥机
报价:
暂无
"
徐工 TT450轮胎式 提梁机,TT450轮胎式提梁机TT450轮胎式提梁机提梁机将轮胎式液压悬挂驱动技术、大吨位液压起升控制技术及先导比例多路控制技术相结合，采用机电液一体化控制技术。柔性悬挂系统实现了在不同工况下提梁机行走系统自动找平的功能。提梁机共有64个轮胎，悬挂数量为32个，驱动轴/从动轴为8/24，可实现直行、斜行、原地转向等功能。采用四点起吊、三点平衡的作业方式，拥有全景驾驶室。,"
品牌:
徐工
类别:
提梁机
型号:
TT450轮胎式
报价:
暂无
"
徐工 TY900(17轴) 运梁车,TY90017轴运梁车“机-电-液-气”相结合的高技术产品。采用静液压闭环驱动、全液压悬挂系统、全液压独立转向以及整车液压升降自动调平。采用工业级微机来控制驱动、转向、升降和调平，同时能够实现直行、斜行、八字转向、半八字转向等多种运行模式。整机运行非常灵活，可实现无滑移或少滑移行驶，可以在较小的场地完成工作任务。,"
品牌:
徐工
类别:
运梁车
型号:
TY900(17轴)
报价:
暂无
"
泰安五岳 TAZ5283JQJA型 桥梁检测车,泰安五岳 TAZ5283JQJA型 桥梁检测车是泰安五岳生产制造的桥梁检测车。,"
品牌:
泰安五岳
类别:
检测车
型号:
TAZ5283JQJA型
报价:
暂无
"
华中建机 MGx系列箱型梁龙门吊 ,MGx系列箱型梁龙门吊MGx系列箱型梁龙门吊是我公司针对桥梁建设而设计的产品，其结构形式为全球首创，在产品设计中，针对桥梁建设具有批量小、单体重量大、电源紧张，场地移动频繁等特点，在设计上力求达到结构简单，拆装方便，操作容易，节能省电之目的。MGx系列箱形梁龙门吊的设计注重安全性，适合大吨位起吊和频繁作业使用，主要有以下特点：采用箱型梁作为主结构强度大；两端带有悬臂，作业空间大；。,"
品牌:
华中建机
类别:
桥梁式门式起重机
型号:
MGx系列箱型梁龙门吊
报价:
暂无
"
华中建机 HZQ系列 高速铁路架桥机,"HZQ系列高速铁路架桥机HZQ系列高速铁路架桥机高速铁路架桥机是经过长期的调研国内外各种各样的高速铁路架梁设备过程中,集合多年从事铁路、公路、桥梁施工设备研制专家的经验，在著名架桥机专家的指导下，吸取各家之所长而研制的一种双导梁架桥机。下导梁一跨支撑主梁轻,组装方便，架曲线桥尤为方便。前后立柱各50%承梁自重。三步架桥，程序简单：导梁让出桥位。架梁。主机过孔。","
品牌:
华中建机
类别:
架桥机
型号:
HZQ系列
报价:
暂无
"
徐工 TT700轮胎式 提梁机,TT700轮胎式提梁机TT700轮胎式提梁机提梁机将轮胎式液压悬挂驱动技术、大吨位液压起升控制技术及先导比例多路控制技术相结合，采用机电液一体化控制技术。柔性悬挂系统实现了在不同工况下提梁机行走系统自动找平的功能。提梁机共有64个轮胎，悬挂数量为32个，驱动轴/从动轴为8/24，可实现直行、斜行、原地转向等功能。采用四点起吊、三点平衡的作业方式，拥有全景驾驶室。,"
品牌:
徐工
类别:
提梁机
型号:
TT700轮胎式
报价:
暂无
"
大方 DCY900 轮胎式运梁车,DCY900轮胎式运梁车国家高新技术研究发展计划（863计划），课题编号：2003AA430180。产品（号ZL01240168ZI254675）业绩：中铁十五局集团有限公司中铁四局集团有限公司。,"
品牌:
大方
类别:
运梁车
型号:
DCY900
报价:
暂无
"
湖南飞涛 18米桥梁检测车 ,18米桥梁检测车主要特点机械及动力传动系统：解放J6型桥梁检测车专业底盘+进口本田备用汽油机动力履带驱动行走支撑方式关键结构件采用进口高强钢材，配合进口高强焊丝焊接通用结构件采用国产高强钢材，配合进口高强焊丝焊接桁架式结构，通道式平台齿轮-齿条传动式伸缩平台液压系统：操控方式多样化parker密封件和管接头。,"
品牌:
湖南飞涛
类别:
检测车
型号:
18米桥梁检测车
报价:
暂无
"
泰沃 MH 型电动葫芦门式起重机（不带外悬） ,MH型电动葫芦门式起重机（不带外悬）主要用于室外的货场、料场货、散货的装卸作业。它的金属结构像门形框架，承载主梁下安装两条支脚，可以直接在地面的轨道上行走，主梁两端可以具有外伸悬臂梁.MH型电动葫芦门式起重机与CDMD等型号的电动葫芦配套使用，是一种有轨运行的中小型起重机。其适用起重量1-30吨，适用跨度为8-30米，工作环境在广泛用于工厂、仓库、料场等不同场合吊运货物，。,"
品牌:
泰沃
类别:
桥梁式门式起重机
型号:
MH 型电动葫芦门式起重机（不带外悬）
报价:
暂无
"
徐工 TJ200G 架桥机,徐工 TJ200G 架桥机是徐工生产制造的架桥机。,"
品牌:
徐工
类别:
架桥机
型号:
TJ200G
报价:
暂无
"
徐工 TT900轮胎式 提梁机,TT900轮胎式提梁机TT900轮胎式提梁机提梁机将轮胎式液压悬挂驱动技术、大吨位液压起升控制技术及先导比例多路控制技术相结合，采用机电液一体化控制技术。柔性悬挂系统实现了在不同工况下提梁机行走系统自动找平的功能。提梁机共有64个轮胎，悬挂数量为32个，驱动轴/从动轴为8/24，可实现直行、斜行、原地转向等功能。采用四点起吊、三点平衡的作业方式，拥有全景驾驶室。,"
品牌:
徐工
类别:
提梁机
型号:
TT900轮胎式
报价:
暂无
"
中昇 ZST450 运梁车,中昇 ZST450 运梁车是中昇生产制造的运梁车。,"
品牌:
中昇
类别:
运梁车
型号:
ZST450
报价:
暂无
"
徐工 8米臂架式 桥梁作业车,8米臂架式桥梁作业车双动力系统液压系统部分进口进口原装遥控器比例式操作工作平台液压伺服调平桥下检修状态全程监控工作平台负载实时监控臂架式桥梁检测作业车特点控制阀进口电液比例控制阀，抗污染能力强，反应灵敏，比例性能卓越,"
品牌:
徐工
类别:
检测车
型号:
8米臂架式
报价:
暂无
"
华中建机 MGhz蜂窝梁双梁龙门吊 ,"MGhz蜂窝梁双梁龙门吊MGHZ龙门吊针对桥梁建设而设计的系列产品，龙门吊的主梁采用具有自主知识产权的""等腰三角形蜂窝梁""，该型主梁较桁架梁具有刚度大，挠度小，安全性高等优点，同时比箱梁自重轻，抗风性好，尤其适合90吨以下，使用在梁场、施工现场或者露天场地的龙门吊使用。国内首创等腰三角形蜂窝式主纵梁设计，具有自重轻，刚度大，挠度小，抗风能力强等特点。独特的钢销联接，不但牢固可靠，而且拼装时间短。","
品牌:
华中建机
类别:
桥梁式门式起重机
型号:
MGhz蜂窝梁双梁龙门吊
报价:
暂无
"
大方 DF40/100型 架桥机,大方 DF40/100型 架桥机是大方生产制造的架桥机。,"
品牌:
大方
类别:
架桥机
型号:
DF40/100型
报价:
暂无
"
同力重工 TLQ100 桥梁运输车,TLQ系列桥梁运输车是一款适用于公路、铁路、城际轻轨等桥梁架设和运输的专用工程设备，采用成熟的非公路用车制造技术，对桥梁运输施工工艺充分研究，在满足承载量的前提下，保证装卸便利、通用性强、驾驶方便安全。,"
品牌:
同力重工
类别:
运梁车
型号:
TLQ100
报价:
暂无
"
宇通重装 ZYM5180JQJ40D620HZ 经济款2桥20米 桥梁检测车,宇通桥梁检测车具备安全、可靠、轻量化等主要特点，致力于成为中国路、桥、隧检测、养护一揽子方案专业供应商。,"
品牌:
宇通重装
类别:
检测车
型号:
ZYM5180JQJ40D620HZ
报价:
暂无
"
泰沃 双梁半龙门起重机 ,双梁半龙门起重机双梁半门式起重机与葫芦小车配套使用，是一种有轨运行的小型起重机。适用起重量10-40吨，适用跨度为10-20米。工作环境-20C-+40C内。本产品为一般用途起重机，多用于露天场所及仓库的装卸。本产品有地面操控和室内操纵两种型式，用户可根据需要自由选择。,"
品牌:
泰沃
类别:
桥梁式门式起重机
型号:
双梁半龙门起重机
报价:
暂无
"
华中建机 HZQ系列 公路架桥机,HZQ系列公路架桥机该机属于国内首创蜂窝梁设计，强度高、挠度小、钢性好、安全系数数高。独特的钢销连接方式，大大缩短了组装时间，边梁采用侧负重横移，一次到位。,"
品牌:
华中建机
类别:
架桥机
型号:
HZQ系列
报价:
暂无
"
徐工 TY900(16轴) 运梁车,TY90016轴运梁车“机-电-液-气”相结合的高技术产品。采用静液压闭环驱动、全液压悬挂系统、全液压独立转向以及整车液压升降自动调平。采用工业级微机来控制驱动、转向、升降和调平，同时能够实现直行、斜行、八字转向、半八字转向等多种运行模式。整机运行非常灵活，可实现无滑移或少滑移行驶，可以在较小的场地完成工作任务。,"
品牌:
徐工
类别:
运梁车
型号:
TY900(16轴)
报价:
暂无
"
恒润高科 HHR5251JQJ16 桥梁检测车（解放）,"HHR5251JQJ16桥梁检测车（解放）公司采用先进的管理;拥有较强的技术力量,工艺装备完善,生产检验设备齐全,有足够的能力保证产品的生产一致性。","
品牌:
恒润高科
类别:
检测车
型号:
HHR5251JQJ16
报价:
暂无
"
华中建机 MUhz造船专用龙门吊 ,MUhz造船专用龙门吊MUHZ系列造船专用龙门吊是专门为造船而研制，具有以下特点：起吊小车采用上、下小车，满足物件的空中翻身，适合船厂造船用；控制系统采用集中控制，电气控制中设有过汽、过压保护，各动作位置均设有限位装置；工作级别高，运行速度快，效率高。,"
品牌:
华中建机
类别:
桥梁式门式起重机
型号:
MUhz造船专用龙门吊
报价:
暂无
"
徐工 TJ260G 架桥机,徐工 TJ260G 架桥机是徐工生产制造的架桥机。,"
品牌:
徐工
类别:
架桥机
型号:
TJ260G
报价:
暂无
"
大方 DZY300 型组合式全液压运梁车,大方 DZY300 型组合式全液压运梁车是大方生产制造的型组合式全液压运梁车。,"
品牌:
大方
类别:
运梁车
型号:
DZY300
报价:
暂无
"
徐工 9米臂架式 桥梁检测车,9米臂架式桥梁检测车双动力系统液压系统部分进口进口原装遥控器比例式操作工作平台液压伺服调平桥下检修状态全程监控工作平台负载实时监控臂架式桥梁检测作业车特点控制阀进口电液比例控制阀，抗污染能力强，反应灵敏，比例性能卓越,"
品牌:
徐工
类别:
检测车
型号:
9米臂架式
报价:
暂无
"
泰沃 BMH半龙门 ,BMH半龙门BMH电动葫芦半门式起重机与CD、MD、HC等型号的电动葫芦配套使用，是一种有轨运行的小型起重机。适用起重量2-10吨，适用跨度为10-20米。工作环境-20C-+40C内。本产品为一般用途起重机，多用于露天场所及仓库的装卸。,"
品牌:
泰沃
类别:
桥梁式门式起重机
型号:
BMH半龙门
报价:
暂无
"
大方 DF40/100Ⅲ型 架桥机,大方 DF40/100Ⅲ型 架桥机是大方生产制造的架桥机。,"
品牌:
大方
类别:
架桥机
型号:
DF40/100Ⅲ型
报价:
暂无
"
徐工 TY700 运梁车,TY700运梁车“机-电-液-气”相结合的高技术产品。采用静液压闭环驱动、全液压悬挂系统、全液压独立转向以及整车液压升降自动调平。采用工业级微机来控制驱动、转向、升降和调平，同时能够实现直行、斜行、八字转向、半八字转向等多种运行模式。整机运行非常灵活，可实现无滑移或少滑移行驶，可以在较小的场地完成工作任务。,"
品牌:
徐工
类别:
运梁车
型号:
TY700
报价:
暂无
"
宇通重装 YTZ5321JQJ12D626HZ 霸王款4桥26米桥梁检测车,宇通桥梁检测车具备安全、可靠、轻量化等主要特点，致力于成为中国路、桥、隧检测、养护一揽子方案专业供应商。,"
品牌:
宇通重装
类别:
检测车
型号:
YTZ5321JQJ12D626HZ
报价:
暂无
"
华中建机 MGhz系列超大型龙门吊 ,MGhz系列超大型龙门吊MGhz系列超大型龙门吊是华中建机为高铁建设专门研制的一种超大吨位的龙门吊，主要用于梁场中预制梁的起吊，最大起重量可达1200吨，是国内最大吨位的龙门吊。MGhz1200一套两台，用于青海跨海大桥2400吨预制梁的起吊。MGhz系列龙门吊结合了华中建机20年的机械设计经验，由专业技术人员设计制造，质量好，安全性高，所有电气设备均采用进口品牌，使龙门吊的操作使用更加安全。,"
品牌:
华中建机
类别:
桥梁式门式起重机
型号:
MGhz系列超大型龙门吊
报价:
暂无
"
华中建机 HZQ系列 运架一体架桥机,HZQ系列运架一体架桥机独特的蜂窝梁结构，具有挠度小，刚度大的特点。侧负重架设边梁一次到位，支腿不悬空，安全可靠。前后支腿略加改动，即可实现反向架梁。可点动架梁，架梁误差≤5mm。独特的销轴连接法，拼装快捷，牢固可靠。A字断面连续梁，重心低，绝对安全可靠，方便。,"
品牌:
华中建机
类别:
架桥机
型号:
HZQ系列
报价:
暂无
"
大方 DYY300 型运架一体机,大方 DYY300 型运架一体机是大方生产制造的型运架一体机。,"
品牌:
大方
类别:
运梁车
型号:
DYY300
报价:
暂无
"
