名称,介绍,详情
中联重科 CIFA Spritz CSS-3 喷射机械手,CIFASpritzCSS-3全球首创的双转台系统，一次定位喷射面积更广，侧向作业更简单，能更好捕捉隧道拱形轮廓，极大提高了工作适应性;全球独有的移动式臂座设计，可实现臂座沿底盘轴线7米滑移;独有的全钢板机身和封闭式驾驶室设计，环保、安全;独特的防偏磨技术，使切割环与眼镜板使用寿命提高2-3倍;全球唯一使用电能或柴油驱动的双驱动底盘，工况适应性好。,"
品牌:
中联重科
类别:
喷射机械手
型号:
CIFA Spritz CSS-3
报价:
暂无
"
仕高玛 MSO 小型双卧轴商品混凝土搅拌机,MSO小型双卧轴商品混凝土搅拌机配备多重轴端密封保护；配备手动润滑油泵；多管多路喷水系统，水份能均匀喷洒；可选配380VAC电动润滑油泵及搅拌机监控系统；有0m3/25m3/5m3等容量规格可选；小型设计，安装、维修方便，适用于中小型移动式搅拌站使用。,"
品牌:
仕高玛
类别:
混凝土搅拌机
型号:
MSO
报价:
暂无
"
星马汽车 AH9403GSNA 散装水泥半挂运输车,星马汽车 AH9403GSNA 散装水泥半挂运输车是星马汽车生产制造的散装水泥半挂运输车。,"
品牌:
星马汽车
类别:
散装水泥运输车
型号:
AH9403GSNA
报价:
暂无
"
中建机械 YCZ5314GFL 粉粒物料车,包括容积在36-74立方米之间的各种罐体，满足各种粉粒物料的运输要求。采用优质碳素钢板卷制焊接而成，罐体内部布置了导料板、流化系统等装置，确保卸料效率高，物料残余低。罐体容积合理，可以适用水泥、粉煤灰等物料，卸料操作简便，罐体重量轻，可使用户运输效益最大化。,"
品牌:
中建机械
类别:
粉粒物料车
型号:
YCZ5314GFL
报价:
暂无
"
中联重科 水泥沥青砂浆搅拌车 ,水泥沥青砂浆搅拌车水泥沥青砂浆搅拌车是高速铁路板式轨道施工的关键设备，主要是将沥青、水、细沙、水泥、添加剂等在一定条件下，计量并均匀搅拌成流动性较好的一种路基填充材料，即水泥沥青砂浆简称沥青砂浆。然后把沥青砂浆灌注到轨道板和底座之间，起到填充、支撑、承力和适当的缓冲功能，确保高速火車行使的舒适性和安全性，轨道板使用的耐久性和可维护性。,"
品牌:
中联重科
类别:
砂浆车
型号:
水泥沥青砂浆搅拌车
报价:
暂无
"
三一重工 SSJ505 筛砂机,SSJ505筛砂机丝丝分明的功用，高效耐用的性能，效率高，独特分料装置，充分利用筛网面积，提升筛分处理能力。,"
品牌:
三一重工
类别:
干混砂浆配套设备
型号:
SSJ505
报价:
暂无
"
山推建友 ZSG120-5T 制砂设备,自主研发、绿色环保、造价适中、场地布置灵活、成品砂粒度均匀、粒型完美，可满足广大客户需求  节能50%。,"
品牌:
山推建友
类别:
机制砂生产线
型号:
ZSG120-5T
报价:
暂无
"
中联重科 干混砂浆背罐车 ,干混砂浆背罐车干混砂浆背罐车主要是实现干混砂浆移动筒仓的转场运输。主要实现干混砂浆移动筒仓从干混砂浆生产厂家运送到工地或工地之间的运输，是干混砂浆运输中非常重要的一环。翻转回落冲击小，低振动，车辆行驶安全人性化设计，翻转架翻转角度大，可达到98°，远高于同行的95°，操作更便捷。,"
品牌:
中联重科
类别:
干混砂浆背罐车
型号:
干混砂浆背罐车
报价:
暂无
"
三一重工 sanyGJJG SSRE智能钢筋装备,sanyGJJGSSRE智能钢筋装备适用于钢筋网片、桁架加工设备，专业化、自动化，智能化、无人化。,"
品牌:
三一重工
类别:
混凝土预制件成套设备
型号:
sanyGJJG
报价:
暂无
"
南方路机 WCRE60 全自动废湿混凝土回收设备,WCRE60全自动废湿混凝土回收设备可将搅拌站每天产生废渣废水全部分解回收，回收后的砂石、浆水再应用于混凝土生产，达到循环应用，节省大量的原材料，也大限度的减少了开发天然资源。,"
品牌:
南方路机
类别:
混凝土附属设备
型号:
WCRE60
报价:
暂无
"
三一重工 SZS1000A 湿拌砂浆搅拌站,SZS1000A湿拌砂浆搅拌站生产高效1方搅拌主机，每小时实际产能可达32方，能够同时满足多台砂浆泵现场施工；运营便捷无基础和配料站简易基础供选择、模块化设计，整站面积仅为22m×14m，7天即可完成安装在线式互动电源和专业操作系统，运行更无忧采用全钢结构，集装箱层叠式主楼；嵌套式粉罐，转场更方便计量精确。,"
品牌:
三一重工
类别:
A8 砂浆大师成套设备
型号:
SZS1000A
报价:
暂无
"
中联重科 ZLJ5435THB（MK 28L） 搅拌臂架泵车,ZLJ5435THB（MK28L）所需操作人员和设备少，工地适应性强、转场方便、灵活;整机设计独特，保证整车稳定可靠;支腿操作简便快捷;搅拌筒结构形式优化，旋转稳定;布料杆和易损件的设计更可靠耐磨;采用CIFA特有的泵送自动补偿系统，使得泵送工作噪音更低，泵送更流畅，施工效率更高;独有的柔性支撑系统使输送管的更换更快捷、更容易、更安全。,"
品牌:
中联重科
类别:
搅拌泵车
型号:
ZLJ5435THB（MK 28L）
报价:
暂无
"
徐工 HPS30V 喷浆车,HPS30V喷浆车拥有超长的臂架结构技术，更精准的臂架操控技术，更实用的双动力技术，更高效的裙阀泵送系统，更稳定的换向缓冲技术，更可靠的全液压换向技术，超低压损的液压系统。,"
品牌:
徐工
类别:
喷浆车
型号:
HPS30V
报价:
暂无
"
徐工 YT22 干混移动筒仓,徐工 YT22 干混移动筒仓是徐工生产制造的干混移动筒仓。,"
品牌:
徐工
类别:
干混砂浆移动筒仓
型号:
YT22
报价:
暂无
"
三一重工 SY408C-6( Ⅳ ) C系列搅拌车,SY408C-6(Ⅳ)采用重卡设计理念，配置高强度连接螺栓，连接可靠耐用；搅拌筒采用高强度耐磨材料制作，车架采用高强度钢，承载能力更强，使用寿命长;整车采用无副车架结构，重心比普通车低100mm以上，行驶更稳定安全；前悬配置横向稳定杆，后悬采用独特的主副簧结构，防侧倾能力强;。,"
品牌:
三一重工
类别:
农村成套设备
型号:
SY408C-6( Ⅳ )
报价:
暂无
"
中联重科 ZLJ5440THBBE四桥56米 复合技术泵车,ZLJ5440THBBE四桥56米泵车是中联重科4.0产品之一。搭载高精高效、高压泵送系统，效率高、能耗低。配置全球领先的臂架主动减振技术，施工更安全。结构件及焊缝疲劳优化设计，延长使用寿命。全工况自适应泵送控制技术重点突破差料的可泵性，克服泵送系统的“挑食”通病。该款产品共产生62项，2017年，获得湖南省“产品创新奖”。,"
臂架长度:
56米以上
汽车底盘:
奔驰
驱动方式:

品牌:
中联重科
"
中联重科 HBT105.21.273RSD 拖泵,HBT102273RSD拖泵中国第一台机械式混凝土输送泵中国第一代成熟并具有完全自主知识产权的混凝土输送泵全新U系列混凝土输送泵液压系统更稳定更高效独特的双泵双回路液压系统效率高超：成熟的双泵双回路液压系统通过流体仿真设计，效率高，冲击小；稳定可靠：液压元件的使用寿命长，可靠性极强。主被动防御组合的液压油零乳化控制技术。,"
动力形式:

分配阀:
闸板阀
最大输送量:
100
品牌:
中联重科
"
三一重工 SY5125THB-9012III 车载式混凝土输送泵,SY5125THB-9012III车载式混凝土输送泵泵送最大理论排量90m3/h，最大输送压力12Mpa，泵送发动机功率165kW；电比例排量无级调节，满足各种工况需求；国内首创SYMC与SYLD专用智能控制系统，系统运行更加可靠；设计多重自动保护，文本显示故障信息，有效防止误操作产生意外；全液压换向开式系统，液压油清洁度高，油温低，换向冲击小；砼活塞自动退回，检测、更换更加方便、快捷；。,"
产量（方/小时）:
90方/小时
压力（Mpa）:
14Mpa
动力方式:

品牌:
三一重工
"
"中联重科 ""开拓者""系列搅拌站 ","""开拓者""系列搅拌站助力“美丽乡镇”建设，提高客户投资收益，通过深入分析调查和研究，针对城镇市场施工条件苛刻、道路狭窄的特殊工况，融合意大利CIFA先进的混凝土生产、运输和泵送技术，开发了一整套专门针对城镇市场的小型混凝土设备。","
站形式:

产量(方/小时):
60-100
品牌:
中联重科
类别:
混凝土搅拌站
"
