名称,介绍,详情
丰田 7FBR10-30 电瓶前移式（站驾）叉车,丰田 7FBR10-30 电瓶前移式（站驾）叉车是丰田生产制造的电瓶前移式（站驾）叉车。,"
品牌:
丰田
类别:
电动叉车
型号:
7FBR10-30
报价:
暂无
"
宝骊 S系列CPC(D)30 内燃平衡重式叉车,宝骊 S系列CPC(D)30 内燃平衡重式叉车是宝骊生产制造的内燃平衡重式叉车。,"
品牌:
宝骊
类别:
内燃叉车
型号:
S系列CPC(D)30
报价:
暂无
"
合力叉车 G系列1.4吨 蓄电池伸缩式前移叉车,"G系列1.4吨蓄电池伸缩式前移叉车可调整腰部及肘部支撑,驾驶舒适，转弯自动减速，操作安全，舒适安全，转弯半径小，转向方便，机动灵活。","
品牌:
合力叉车
类别:
其它种类叉车
型号:
G系列1.4吨
报价:
暂无
"
丰田 LWE140/160 电动托盘车,丰田 LWE140/160 电动托盘车是丰田生产制造的动力方式为电动电动托盘车。,"
动力方式:
电动
品牌:
丰田
类别:
搬运车
型号:
LWE140/160
"
海斯特 S1.5C 乘驾式堆垛机,S5C乘驾式堆垛机视线极佳的门架和符合人体工学的控制设计，有助于提高操作人员工作效率并减少疲劳感。采用Mosfet控制在提供卓越控制能力的同时，也使工作效率和效能达到最大化。带固定式稳定轮的五支点结构使堆垛机的稳定性能得到进一步增强。交流驱动电机在提供强劲的动力性能的同时也能够降低运营成本。程序诊断接口（DDI）允许使用者根据具体的使用要求选择相应的性能设置。,"
品牌:
海斯特
类别:
堆垛机
型号:
S1.5C
报价:
暂无
"
中通汽车 ZTQ9340GJY 加油半挂车,中通汽车 ZTQ9340GJY 加油半挂车是中通汽车生产制造的加油半挂车。,"
品牌:
中通汽车
类别:
半挂车
型号:
ZTQ9340GJY
报价:
暂无
"
龙工 LG16BE 蓄电池叉车,LG16BE蓄电池叉车先进的AC（交流）双驱动电机，能产生强大的牵引力和动力电机的释放制动、再生制动，使整车制动更平稳坡道防滑功能，在坡道可平稳自动滑行强劲的AC油泵电机提供更大的扭矩，使货叉起升和下降更加平稳起升速度可调操纵杆位置的设计更符合人机工程学原理，可减轻驾驶员的疲劳。,"
品牌:
龙工
类别:
电动叉车
型号:
LG16BE
报价:
暂无
"
丰田 8FGN15-30 内燃平衡重式叉车,丰田 8FGN15-30 内燃平衡重式叉车是丰田生产制造的内燃平衡重式叉车。,"
品牌:
丰田
类别:
内燃叉车
型号:
8FGN15-30
报价:
暂无
"
曼尼通 TMT 25 I 车载式伸缩臂叉装车,曼尼通 TMT 25 I 车载式伸缩臂叉装车是曼尼通生产制造的车载式伸缩臂叉装车。,"
品牌:
曼尼通
类别:
其它种类叉车
型号:
TMT 25 I
报价:
暂无
"
恒叉 EP225 电动托盘搬运车,恒叉 EP225 电动托盘搬运车是恒叉生产制造的动力方式为电动电动托盘搬运车。,"
动力方式:
电动
品牌:
恒叉
类别:
搬运车
型号:
EP225
"
中方机械 ZFDG1.8A系列 全电动堆垛车,ZFDG8A系列全电动堆垛车清洁环保--具有现代工业产品设计感和流畅感的独特外观造型--高效节能的电液控制系统，无污染--采用再生制动，减少机械磨损--液压产品低噪音化舒适性--轻松自如的操纵，能使司机达到最佳舒适状态--速度模式选择功能先进性--采用国际同行业最新技术水平的全交流AC驱动控制系统--引进世界先进的电控系统，自主定制参数，实现功能优化。,"
品牌:
中方机械
类别:
堆垛机
型号:
ZFDG1.8A系列
报价:
暂无
"
楚飞 易燃液体（28立方） 半挂车,楚飞 易燃液体（28立方） 半挂车是楚飞生产制造的半挂车。,"
品牌:
楚飞
类别:
半挂车
型号:
易燃液体（28立方）
报价:
暂无
"
宝骊 CPDS15-18 三支点蓄电池叉车,宝骊 CPDS15-18 三支点蓄电池叉车是宝骊生产制造的三支点蓄电池叉车。,"
品牌:
宝骊
类别:
电动叉车
型号:
CPDS15-18
报价:
暂无
"
中联重科 FD15Z 内燃平衡重式叉车,FD15Z 内燃平衡重式叉车产品性价比高， 可操作性更强、经济实用、维护成本低。液压系统高效节能，降低整车的燃油消耗。,"
品牌:
中联重科
类别:
内燃叉车
型号:
FD15Z
报价:
暂无
"
比亚迪 CQD16 1.6T座驾式前移车,CQD161.6T座驾式前移车充电快捷，搭载80V/270A电池，可满足长时间的操作需求；配置国家标准充电口，充电便捷省事，高效安全。,"
品牌:
比亚迪
类别:
其它种类叉车
型号:
CQD16
报价:
暂无
"
龙工 LG10ED 托盘堆垛车（经济款）,LG10ED托盘堆垛车（经济款）长臂手柄在行驶中更方便，更轻松实现转弯。设置紧急反向开关，大大提升行驶过程中的安全性。双门架采用复合门架（叉车槽钢和H型钢组合），坚固安全。系统中加装安全防爆阀，可以在液压软管失效情况下使货物不会快速下落，确保操作人员人身安全。采用由2个蓄电池以及卧式驱动轮构成的驱动系统。电控系统反应灵敏，操作自如，可靠性高，具有再生制动、反接制动及无级调速等功能。,"
动力方式:

品牌:
龙工
类别:
搬运车
型号:
LG10ED
"
林德 L14AP/L16AP 电动托盘堆垛车,L14AP/L16AP电动托盘堆垛车-根据人机工程原理设计的控制方式使得所有的操作都十分舒适；-林德数字控制LDC提供精确的控制；-三套独立的制动系统，其中包括了松开行驶开关的自动制动；-整体式的货叉架使得承载能力更高，视野更好；-维护方便、低维护成本。,"
品牌:
林德
类别:
堆垛机
型号:
L14AP/L16AP
报价:
暂无
"
晟通天力 Q5 厢式运输半挂车（95方）,Q5厢式运输半挂车（95方）质量标杆：经过严苛的强化路试、涨箱试验及多年市场验证，产品的高可靠性深受行业高端客户信赖；创新设计：集航空、高铁等前沿设计理念，研发了首款铝合金厢车，创建了铝车设计标准，是轻量化货车的开拓者；重量更轻：通过拓扑优化设计，采用全承载技术、空腔型材结构，较钢车轻3吨以上，比同类铝车轻1吨以上；油耗更省：新型大圆弧，首创超级小单胎，降风阻及综合节能技术，百公里节油超9%；。,"
品牌:
晟通天力
类别:
半挂车
型号:
Q5
报价:
暂无
"
海斯特 H3.5TX 电动平衡重式叉车,H5TX电动平衡重式叉车MONOTROLTM单一踏板控制前进、后退、加速，提高工作效率约30%；发动机尾气排放达到Tier2（欧2号）标准；采用全隔离式动力链设计，将发动机和传动系统与车架、驱动轴完全隔离，发动机的振动不会传输到门架、车架及驾驶室，有效防止发动机工作时的振动传递到门架、车体和驾驶室，降低了门架的振动，保护了货叉上的货物。同时由于降低了作业时的振动及噪音，大大减轻了驾驶员的疲劳程度；超宽门架，具有卓越的驾驶员向前视野，提高安全性能；功能强劲的控制面板，方面驾驶员监控叉车运行状况；发动机机油更换间隔长，达到500工作小时，降低叉车维护费用。。,"
品牌:
海斯特
类别:
电动叉车
型号:
H3.5TX
报价:
暂无
"
"林德 H60,H80 内燃叉车","H60,H80内燃叉车-人机功效，集中操纵杆，独有的双踏板系统给操作者提供了一个无疲劳的工作环境，操作者效率更高。-林德静压传动，无需离合器，变速箱，所有部件无机械磨损。-林德静压传动，可实现无级变速，松开行使踏板叉车自动制动，控制更精确。-连接于门架的林德抗扭支柱具有护顶架功能，保证了抗扭强度，缩小门架的扭转摆幅。","
品牌:
林德
类别:
内燃叉车
型号:
H60,H80
报价:
暂无
"
东方红 CCC系列 侧面叉车,CCC系列侧面叉车侧叉是一种新的机型，有如下优点：整车结构强健，驾驶舒服，便于维修；发动机性能可靠，动力强劲，用户可选配进口发动机；门架可以沿车身侧向伸出和收进，便于长形货物的装卸、堆垛和运输；货叉可以控制上5度下3度的倾角，能更好地满足装货、卸载的需要；豪华型多功能指针叉车组合仪表，便于驾驶员的操纵。,"
品牌:
东方红
类别:
其它种类叉车
型号:
CCC系列
报价:
暂无
"
永恒力 EJR 120n 站驾式电动托盘车,EJR120n新一代三相交流电技术创新的三相交流电技术在提供高校率性能的同时有效地降低运行成本：出色的高效率能量管理系统强大的加速能力行使过程中快速灵敏的转向在减速制动时能量回充系统更长的持续运行时间三相交流电结合最大容量高达250安时的电瓶，提供长时间持续运行的保证：在多班制情况下，还可以选择侧向更换电瓶来满足需要为需求量身定做。,"
动力方式:
电动
品牌:
永恒力
类别:
搬运车
型号:
EJR 120n
"
柳工 CLG2S015-WF3 托盘堆垛车,CLG2S015-WF3托盘堆垛车适用超小作业空间的电动堆高车，低耗、高可靠的创新设计，长手柄、偏置操作，方便安全。,"
品牌:
柳工
类别:
堆垛机
型号:
CLG2S015-WF3
报价:
暂无
"
内蒙古北方重工 中密度粉粒物料运输半挂车 ,内蒙古北方重工 中密度粉粒物料运输半挂车 是内蒙古北方重工生产制造的。,"
品牌:
内蒙古北方重工
类别:
半挂车
型号:
中密度粉粒物料运输半挂车
报价:
暂无
"
柳工 CPD30/35/38-ELM/H（NEW） 电动平衡重式叉车,搭载80V铅酸铁锂电池，零排放，无污染，低噪音，司机耳边噪音小于70 dB。,"
品牌:
柳工
类别:
电动叉车
型号:
CPD30/35/38-ELM/H（NEW）
报价:
暂无
"
靖江 8-10吨 内燃叉车,靖江 8-10吨 内燃叉车是靖江生产制造的内燃叉车。,"
品牌:
靖江
类别:
内燃叉车
型号:
8-10吨
报价:
暂无
"
一山重工 CPC40Y 越野叉车,CPC40Y越野叉车车身宽大，能承载不规则和宽大饿货物;离地间隙高，可以跨越场地上的障碍物;有四驱功能，可以在泥泞的场地工作。全液压柔性转向系统采用全液压转向系统，大大减少操作者的疲劳;采用横置油缸式转向机构，转向可靠、结构紧凑。舒适性人性化设计采用多功能组合方向机、欧式风格的仪表，并装有汽车点烟器;减震性能优良的座椅，配以安全带、侧置操纵杆，使操作方便、安全、灵活。通过性离地间隙大。,"
品牌:
一山重工
类别:
其它种类叉车
型号:
CPC40Y
报价:
暂无
"
诺力 ML0308/ML0311 机械搬运车,诺力 ML0308/ML0311 机械搬运车是诺力生产制造的动力方式为机械搬运车。,"
动力方式:

品牌:
诺力
类别:
搬运车
型号:
ML0308/ML0311
"
奥津 CTD两节门架（SEM） 半电动产品堆高车,CTD两节门架（SEM）半电动产品堆高车产品描述：采用整体冲压成型的钢板货叉，美观耐用;特殊轧制工艺制造的“C”型钢门架，坚固安全;油缸采用高精密耐磨珩磨管，进口密封件，一体式阀芯，方便折卸和维修;集成一体化的液压动力单元，性能更稳定、更可靠;车体采用全自动喷塑工艺，美观大方，永不褪色;高清液晶屏显示电池电量，并提醒操作者及时充电，延长电池使用寿命。,"
品牌:
奥津
类别:
堆垛机
型号:
CTD两节门架（SEM）
报价:
暂无
"
唐鸿重工 XT9201/XT9340 半挂车,唐鸿重工 XT9201/XT9340 半挂车是唐鸿重工生产制造的半挂车。,"
品牌:
唐鸿重工
类别:
半挂车
型号:
XT9201/XT9340
报价:
暂无
"
大连叉车 CPD25CB 蓄电叉车(直流2.5吨),大连叉车 CPD25CB 蓄电叉车(直流2.5吨)是大连叉车生产制造的蓄电叉车(直流2.5吨)。,"
品牌:
大连叉车
类别:
电动叉车
型号:
CPD25CB
报价:
暂无
"
大连叉车 CPCD100 平衡重式内燃叉车(8-10吨),大连叉车 CPCD100 平衡重式内燃叉车(8-10吨)是大连叉车生产制造的平衡重式内燃叉车(8-10吨)。,"
品牌:
大连叉车
类别:
内燃叉车
型号:
CPCD100
报价:
暂无
"
徐工 XC6-4517K 伸缩臂叉车,XC6-4517伸缩臂叉车配置意大利CARRARO免维护多片湿式制动桥，制动片浸润在液压油里散热性好，采用电控+机械操纵工作液压系统，操纵轻松自如，在降低了司机的工作强度的同时，满足易维护、故障率低的要求。,"
品牌:
徐工
类别:
其它种类叉车
型号:
XC6-4517K
报价:
暂无
"
西林 JFD8 电动高起升剪式搬运车,西林 JFD8 电动高起升剪式搬运车是西林生产制造的动力方式为电动电动高起升剪式搬运车。,"
动力方式:
电动
品牌:
西林
类别:
搬运车
型号:
JFD8
"
诺力 CY系列 前移式电动堆高车,"CY系列前移式电动堆高车美国进口的科蒂斯（Curtis）电控系统反应灵敏，操控自如，可靠性高，具有再生制动、反接制动及无级调速等功能。德国进口ZF驱动单元。整体立式安装，他励牵引电机，电磁制动器，原装进口减速箱及驱动轮，性能卓越，质量稳定可靠。新设计的前移式堆高车，载重范围从1000kg到1300kg,提升高度从8m到5m,可达到不同的使用需求。门架电池均达到环保要求。","
品牌:
诺力
类别:
堆垛机
型号:
CY系列
报价:
暂无
"
东风 粉粒物料运输 半挂车,产品说明粉粒物料运输半挂：根据用户需要可制成双桥式或三桥式，有效容积30-70立方米，可配东风、重汽、陕汽、解放等各种牵引车。,"
品牌:
东风
类别:
半挂车
型号:
粉粒物料运输
报价:
暂无
"
中联重科 FB35S 四支点蓄电池叉车,FB35S四支点蓄电池叉车主要部件采用进口品牌，控制单元采用双芯片控制，更安全，选用铸造转向桥，承载能力更好，使用寿命长。,"
品牌:
中联重科
类别:
电动叉车
型号:
FB35S
报价:
暂无
"
英轩重工 G120 内燃平衡重叉车,全液压助力制动系统，制动能力强劲；选用性能优良的大容量囊式蓄能器，紧急制动的可靠性高。,"
品牌:
英轩重工
类别:
内燃叉车
型号:
G120
报价:
暂无
"
丰田 RRE250 前移式叉车,丰田 RRE250 前移式叉车是丰田生产制造的前移式叉车。,"
品牌:
丰田
类别:
其它种类叉车
型号:
RRE250
报价:
暂无
"
金茂 CBYA 液压搬运车,CBYA液压搬运车液压缸体为优质钢焊接而成，柱塞杆、泵芯镀硬铬，耐磨、耐腐蚀。分油阀为整体结构，便于维修。脚踏开关板具备空载快速下降功能。,"
动力方式:

品牌:
金茂
类别:
搬运车
型号:
CBYA
"
三菱物捷仕 SBW 7/9 步行式 进口电动堆垛车,"SBW7/9适用场合：适合平整地面上的短途搬运及5米提升范围内的堆垛。产品特点：全日本进口,带支腿，适用于室内狭小通道堆垛货物，高效、经济的免维护三相交流驱动电机，结构紧凑且行驶灵活，拥有极小的转弯半径。","
品牌:
三菱物捷仕
类别:
堆垛机
型号:
SBW 7/9
报价:
暂无
"
中通汽车 ZTQ9370GGYQD 液压子站高压气体长管半挂车,中通汽车 ZTQ9370GGYQD 液压子站高压气体长管半挂车是中通汽车生产制造的液压子站高压气体长管半挂车。,"
品牌:
中通汽车
类别:
半挂车
型号:
ZTQ9370GGYQD
报价:
暂无
"
江淮重工 CPD25H 电动叉车,江淮重工 CPD25H 电动叉车是江淮重工生产制造的电动叉车。,"
品牌:
江淮重工
类别:
电动叉车
型号:
CPD25H
报价:
暂无
"
安徽合叉 CPC(D)20-CPC(D)35内燃平衡重式 柴油叉车,安徽合叉 CPC(D)20-CPC(D)35内燃平衡重式 柴油叉车是安徽合叉生产制造的柴油叉车。,"
品牌:
安徽合叉
类别:
内燃叉车
型号:
CPC(D)20-CPC(D)35内燃平衡重式
报价:
暂无
"
三菱 低位拣选车(1.0~2.0T) 多向前移式叉车,三菱 低位拣选车(1.0~2.0T) 多向前移式叉车是三菱生产制造的多向前移式叉车。,"
品牌:
三菱
类别:
其它种类叉车
型号:
低位拣选车(1.0~2.0T)
报价:
暂无
"
三菱 SBR系列(1.2~2.0T) 站驾式电动托盘搬运车,三菱 SBR系列(1.2~2.0T) 站驾式电动托盘搬运车是三菱生产制造的动力方式为电动站驾式电动托盘搬运车。,"
动力方式:
电动
品牌:
三菱
类别:
搬运车
型号:
SBR系列(1.2~2.0T)
"
西林 CDD1016BA/CDD1030BA 半电动推垛车,西林 CDD1016BA/CDD1030BA 半电动推垛车是西林生产制造的半电动推垛车。,"
品牌:
西林
类别:
堆垛机
型号:
CDD1016BA/CDD1030BA
报价:
暂无
"
粤工 SGG9380TL 半挂车,粤工 SGG9380TL 半挂车是粤工生产制造的半挂车。,"
品牌:
粤工
类别:
半挂车
型号:
SGG9380TL
报价:
暂无
"
永恒力 EKX 513/515 电动叉车,"EKX513/515Pioneerof3-phaseACtechnologyOver150,000Jungheinrich3-phaseACtrucksareinuseallovertheworld.Thisdepthofknowledgeisreflectedintoday’sdriveandcontroltechnology:。","
品牌:
永恒力
类别:
电动叉车
型号:
EKX 513/515
报价:
暂无
"
东方红 CPCD100 10吨内燃平衡重式叉车,CPCD10010吨内燃平衡重式叉车流畅的大圆弧流线曲面造型，整机外观豪华大方。设计低位大开放式踏板，方便司机上下车。采用国内知名军工企业生产的液力变速箱，增加油散热器和换档油压优先阀，既降低了整机噪音，又提高了传动系统的可靠性。,"
品牌:
东方红
类别:
内燃叉车
型号:
CPCD100
报价:
暂无
"
江淮重工 2T 电瓶牵引车 其它种类叉车,江淮重工 2T 电瓶牵引车 其它种类叉车是江淮重工生产制造的其它种类叉车。,"
品牌:
江淮重工
类别:
其它种类叉车
型号:
2T 电瓶牵引车
报价:
暂无
"
宝骊 CBD 蓄电池托盘搬运车,宝骊 CBD 蓄电池托盘搬运车是宝骊生产制造的动力方式为电动蓄电池托盘搬运车。,"
动力方式:
电动
品牌:
宝骊
类别:
搬运车
型号:
CBD
"
中方机械 ZFDG1.5A系列 全电动堆垛车,ZFDG5A系列全电动堆垛车清洁环保--具有现代工业产品设计感和流畅感的独特外观造型--高效节能的电液控制系统，无污染--采用再生制动，减少机械磨损--液压产品低噪音化舒适性--轻松自如的操纵，能使司机达到最佳舒适状态--速度模式选择功能先进性--采用国际同行业最新技术水平的全交流AC驱动控制系统--引进世界先进的电控系统，自主定制参数，实现功能优化。,"
品牌:
中方机械
类别:
堆垛机
型号:
ZFDG1.5A系列
报价:
暂无
"
湖北合力 运油半挂车27200kg ,湖北合力 运油半挂车27200kg 是湖北合力生产制造的。,"
品牌:
湖北合力
类别:
半挂车
型号:
运油半挂车27200kg
报价:
暂无
"
迪万伦 BR18S-7 前移式叉车,BR18S-7前移式叉车主要特点强大的交流供电生产力舒适的操作提高叉车性能。符合人体工程学设计的驾驶室。方便操作并帮助提高任何应用中的工作效率，从而提高了驾驶舒适度，继而直接提高生产力。-外观内饰设计的设置风格人性化-宽敞的操作室。-根据人体工程学设计定位的操作设备-通过门架和护顶架的高能见度。,"
品牌:
迪万伦
类别:
电动叉车
型号:
BR18S-7
报价:
暂无
"
台励福 FDL/FD40~50 内燃叉车,FDL/FD40~50内燃叉车本系列5-10吨柴油液力叉车，是引进国外先进技术生产的最新型叉车系列，采用宽视野门架、全液压转向、液力传动及新型L系列组合仪表盘，整车重心低、操作自如轻便灵活、安全可靠、外形美观大方、豪华舒适。前进后退各有高底速选择。,"
品牌:
台励福
类别:
内燃叉车
型号:
FDL/FD40~50
报价:
暂无
"
安徽合叉 7～9吨石材叉车 ,安徽合叉 7～9吨石材叉车 是安徽合叉生产制造的。,"
品牌:
安徽合叉
类别:
其它种类叉车
型号:
7～9吨石材叉车
报价:
暂无
"
海斯特 RP2.0N 乘驾式托盘车,RP0N乘驾式托盘车双承载轮设计允许叉车搬运更广范围的货物，能够适应不同的工作地面，使运搬作业更加流畅。SEM电机技术提供出色的速度控制、良好的加速性能和高启动扭矩。标准配置“防溜车”装置，能够有效防止滑坡现象，提高在斜坡上进行装卸操作的安全。驱动轮采用与汽车类似的安装方式，轮毂便于更换，降低维护成本。,"
动力方式:

品牌:
海斯特
类别:
搬运车
型号:
RP2.0N
"
恒叉 ES316 电动托盘堆垛车,恒叉 ES316 电动托盘堆垛车是恒叉生产制造的电动托盘堆垛车。,"
品牌:
恒叉
类别:
堆垛机
型号:
ES316
报价:
暂无
"
楚飞 三轴易燃液体/35.3立方 罐式运输半挂车,楚飞 三轴易燃液体/35.3立方 罐式运输半挂车是楚飞生产制造的罐式运输半挂车。,"
品牌:
楚飞
类别:
半挂车
型号:
三轴易燃液体/35.3立方
报价:
暂无
"
三菱物捷仕 RBC7/9/10 紧凑型拣选电瓶叉车,RBC7/9/10紧凑型拣选电瓶叉车适用场合：适用于室内进行低中位拣选作业。产品特点：可在各种工况进行室内仓储的拣选作业，且完全可以根据操作人员的驾驶习惯选择不同类型的驾驶室。是一款紧凑实用的经济型中低位拣选车，转弯半径小，室内操作自如。,"
品牌:
三菱物捷仕
类别:
电动叉车
型号:
RBC7/9/10
报价:
暂无
"
