名称,介绍,详情
约翰迪尔农机 2020A 四轮运输车,2020A四轮运输车产品特点：完成重大任务的必经之路ProGator系列产品更为节省劳力并且提高了性能。例如，五档同步变速器实现了行进间换档；新型液压盘式制动器即使在全负载状态下也可提供超强的制动能力；货箱液压动力提升。可选四轮驱动；双叶板簧式前后悬即使通过车辙时也保持舒适性。,"
行走方式:
四轮
品牌:
约翰迪尔农机
类别:
农用运输车
型号:
2020A
"
华勤机械 5T-28 收获处理机械,产品特点：华勤牌5T-28型谷子脱粒机，设计先进、结构紧凑、选用优质结构钢材。该机采用轴流式滚筒脱粒技术和可调风量清选技术，对谷粒、谷糠、谷秕、谷草的清选分离，具有分离清、损失小、脱净率高的优点，是科学院所研究实验谷子的理想机具，是农户脱粒的好帮手。,"
品牌:
华勤机械
类别:
玉米脱粒机
型号:
5T-28
报价:
暂无
"
英达 SC100 遥控边坡剪草机,SC100遥控边坡剪草机小型轻巧，产能大，75度边坡亦能稳定操作，履带设计在各种环境下如履平地，特强爬坡能力，适应不同地势工作。,"
品牌:
英达
类别:
除草机
型号:
SC100
报价:
暂无
"
东方红（一拖） 1JH-180 秸秆粉粹还田机,东方红（一拖） 1JH-180 秸秆粉粹还田机是东方红（一拖）生产制造的秸秆粉粹还田机。,"
品牌:
东方红（一拖）
类别:
秸秆粉粹还田机
型号:
1JH-180
报价:
暂无
"
五征 4UM-170 马铃薯收获机,4UM-170马铃薯收获机产品特点：采用欧洲技术，挖掘率高、伤薯率低；机架采用框架结构，使用寿命长；挖掘机构刀具采用特殊材料，耐磨性高。,"
品牌:
五征
类别:
马铃薯收获机
型号:
4UM-170
报价:
暂无
"
爱科 MF TD776 割晒机,MF TD776摊晒机可以帮助用户大面积的进行摊晒作业，从而加快牧草的干燥过程。在摊晒过程中牧草移动距离短，破碎损失小，含杂少，保证牧草的品质。,"
品牌:
爱科
类别:
割晒机
型号:
MF TD776
报价:
暂无
"
天人农机 TR1688八行 割台,TR1688八行割台产品介绍：工作效率高，工作时速可达12公里/小时果穗损失率小，果穗损失率低于2%适合倒伏玉米的收获作业TR系列玉米割台配装的超长圆弧形分禾器可以扶起倒伏玉米，还可选装边搅龙和卷轴来进一步提升倒伏玉米收割能力。拉茎方式采用多刀复合式摘穗切茎结构，摘穗时工作平稳，不易产生碎棒、断棒。,"
品牌:
天人农机
类别:
割台
型号:
TR1688八行
报价:
暂无
"
亚圣 4CS100 采茶机,亚圣 4CS100 采茶机是亚圣生产制造的采茶机。,"
品牌:
亚圣
类别:
采茶机
型号:
4CS100
报价:
暂无
"
约翰迪尔农机 7260 采棉机,产品特点：约翰迪尔7260牵引式摘棉机是为中小户经营的棉农和家庭农场设计的一种小型棉花收获机械。该机由一个牵引式的底盘和具有约翰迪尔棉花收获技术的PRO-12?采摘头组成。7260牵引式摘棉机具有以下结构和特点：。,"
品牌:
约翰迪尔农机
类别:
采棉机
型号:
7260
报价:
暂无
"
中联重机 4GQV-1 甘蔗收获机,4GQV-1甘蔗收获机高效作业配置国Ⅲ高压共轨发动机，动力强劲，性能可靠。加宽喂入口，适应宽窄行收获，效率更高。600mm宽输送通道、浮动变径通过，输送量更大。刀盘定高，可任意调整“宿根”置留状态，实现根刀入土切割，收获量更大。清选系统风机转速比例可调，清选效果更佳。可靠性采用负载敏感液压系统，自动控制流量分配，满足负载动态需求，节能可靠。,"
品牌:
中联重机
类别:
甘蔗收获机
型号:
4GQV-1
报价:
暂无
"
爱科 MF WR9960 牧草收获机,"麦赛福格森MF WR900系列自走式割草压扁机是爱科技术的一次突破性飞跃,全新机载监控终端来操作控制液压、发动机以及行驶系统。基于相同的研发平台,该系列的所有机型在主机架、监控终端、冷却装置等通用部件.上品质始终如一。无论是在专业苜蓿种植基地进行收割,还是大面积小麦、大麦、油菜等经济作物的割晒，MF WR9000系列都将助您完美作业。","
品牌:
爱科
类别:
牧草收获机
型号:
MF WR9960
报价:
暂无
"
库恩 RW 1600 包膜机,RW1600产品介绍:AUTOLOAD自动装载是一种新的创新型系统，它能使用装载臂自动捡拾草捆并将其放置到缠膜台上，而驾驶员无需执行任何操作。缠膜期间可以使用装载臂捡拾第二个草捆；草捆将被捡起到一半高度并固定在该高度。缠膜工作准备就绪时，将等待着的草捆自动装载到缠膜台上。驾驶员可以双手握在方向盘上，不必反复按下按钮装载草捆。对于追求更高作业性能和效率的客户来说，RW1600将会是很好的选择。,"
品牌:
库恩
类别:
包膜机
型号:
RW 1600
报价:
暂无
"
雷肯  犁耙,产品特点：后置式合墒器或前置式合墒器、单排或双排、700毫米或900毫米环径、30或45°环形分布，LEMKENLEMKEN可为您在任何条件提供适当的解决方案。由于没有单独的轮毂，威帕可通过增加或减少镇压环进行调整。镇压环形状、配置及特殊的连接方法最大程度上保证其可靠性、耐用性和最小的磨损。合墒器拉臂由高弹性回火钢制成，可防止由拖拉机造成的意外损坏。,"
品牌:
雷肯
类别:
犁耙
型号:

报价:
暂无
"
双天机械 1SZL-200 深耕机,"1SZL-200深耕机产品特点：1SZL型深松整地联合作业机，可对土壤进行深松,应用这种技术是打破多年浅耕形成的坚硬的犁底层，加厚松土层，改善土壤耕层结构，提高土壤的蓄水保墒能力和土地的透气性，增加地温，促进土壤熟化，提高土壤肥力，加速有效养分的积放过程。深层松土还能防止水土流失，使作物根系得到充分的发育和使作物茎叶茁壮，增强抗风和防倒伏能力，为农作物高产稳定奠定良好的基础。其特点是：可以深松、旋耕、镇压一次完成；节约动力，提高机具效率，减少拖拉机碾压次数，有利于保护土地。。","
品牌:
双天机械
类别:
深耕机
型号:
1SZL-200
报价:
暂无
"
天顺长城 成套 开沟铺管设备,天顺长城 成套 开沟铺管设备是天顺长城生产制造的开沟铺管设备。,"
品牌:
天顺长城
类别:
开沟机
型号:
成套
报价:
暂无
"
凯尔 1QL-2 起垄机,凯尔 1QL-2 起垄机是凯尔生产制造的起垄机。,"
品牌:
凯尔
类别:
起垄机
型号:
1QL-2
报价:
暂无
"
雄进农机 WJ1P-510 灭茬机,WJ1P-510灭茬机打浆作业后地表面平地效果优秀。平板下方独特设计的弹簧具备一定的埋茬功能。油压式设计可以将平板的角度进行调整，前进后退均可操作，简单方便。与打浆机连接轻松、简单、快捷。移动或仓储时可折叠，节省空间，方便管理。,"
品牌:
雄进农机
类别:
灭茬机
型号:
WJ1P-510
报价:
暂无
"
雄进农机 1GK-500 WJCB 打浆机,1GK-500WJCB5米超宽幅的作业宽度设计，是作业机的效率及拖拉机的节能得到了充分的利用。对折式的设计既方便了设备移动，也克服了三段折叠复杂的联动系统的脆肉性。使用3种特殊的刀片合理的组合，可完整解决其他作业机不能填补车轮印的问题。特殊的刀片组合也完善解决了漂浮物灭茬的问题。一次性完成打浆平地两种作业。,"
品牌:
雄进农机
类别:
打浆机
型号:
1GK-500 WJCB
报价:
暂无
"
豪丰机械 1JPD-200型 激光平地机,1JPD-200型激光平地机该机由河南豪丰公司与华南农业大学联合研制。其田间作业可自动完成凸高处刮土铲刮土、拖土斗集土、低洼处卸土等多项农艺，土地平整精度为2厘米，性能稳定可靠，油耗低，适应性广泛，易于调整和操作。用该机作业后，便于灌溉，可减少浇灌水电费50%，增加化肥利用率20%，促进粮食增产10%以上。,"
品牌:
豪丰机械
类别:
激光平地机
型号:
1JPD-200型
报价:
暂无
"
中联重机 1GTN-250 联合整地机,中联重机 1GTN-250 联合整地机是中联重机生产制造的联合整地机。,"
品牌:
中联重机
类别:
联合整地机
型号:
1GTN-250
报价:
暂无
"
久保田农机 2ZSY-4(宣传型号:IKP-4) 移栽机械,久保田农机 2ZSY-4(宣传型号:IKP-4) 移栽机械是久保田农机生产制造的移栽机械。,"
品牌:
久保田农机
类别:
移栽机械
型号:
2ZSY-4(宣传型号:IKP-4)
报价:
暂无
"
英达 GT510 绿篱修剪车,GT510绿篱修剪车一车多能，可以当安全防撞缓冲车用；可当锥筒收放车用，可换装雪铲除雪用，也可换装清洗装置清洗护栏。,"
品牌:
英达
类别:
修剪机
型号:
GT510
报价:
暂无
"
众荣农机 4T-2D 打秧机,众荣农机 4T-2D 打秧机是众荣农机生产制造的打秧机。,"
品牌:
众荣农机
类别:
打秧机
型号:
4T-2D
报价:
暂无
"
希森天成 4JM-360 杀秧机,4JM-360杀秧机本产品应用于马铃薯收获前的杀秧，可一次完成秧苗的切除与梳理分流作业。通过马铃薯机械杀秧，是马铃薯块茎的表皮充分木栓化，与茎秧分离更加容易，表皮的老化也可以显著减少收获该机操作方便、碎秧效果好，可靠性好，作业效率高，保证商品署品质，粉碎后的茎秧还田，可提高土壤肥力。其具体创新点有以下几个方面：。,"
品牌:
希森天成
类别:
杀秧机
型号:
4JM-360
报价:
暂无
"
沃得农机 3WPZ-500 喷雾剂,3WPZ-500喷雾剂高端的整机配置------更全、更强采用大容量500L药箱，大面积田块，可以进行高效连续植保作业。可选配进口发动机，更低油耗。采用可高速供水的吸水泵，500L的药箱约5分钟即可注满，作业期间可快速供水，高效连续作业。一机多用，收益更高，仅更换机体后部装置，即可实现施肥作业。人性化的整体结构-----更高效、更放心、更轻便。,"
品牌:
沃得农机
类别:
喷雾剂
型号:
3WPZ-500
报价:
暂无
"
三一重工 GAWRJDD0016SY01 启天消防无人机,近几年来无人机的高空侦查、地形测绘、高空灭火等功能逐步应用于消防领域，并成为消防战士的一枚出警利器。三一启天消防无人机致力于应急救援现场侦察、高层灭火，参与“公安部消防科研计划—消防用无人机体系研究”项目，通过消防、警用认证，已实现察打一体系统应用，并与消防车地空结合，联合出击。三一启天消防无人机，在高空侦查、高空灭火方面已实现察打一体，优势明显。无人机高空侦查，为救援指挥决策提供重要的现场信息。,"
品牌:
三一重工
类别:
无人机
型号:
GAWRJDD0016SY01
报价:
暂无
"
源泉机械  喷药机,"源泉自走式果园专用喷雾机是一种新型果树保护机械，具有小巧玲珑、移动方便、外形美观、施药效果好等特点。该产品是参考国内外先进果园施药设备，改进国内传统产品的缺点与不足，集众家所长，并经过国内多位知名果树专家指导，研制开发一款新型果园施药机械。源泉自走式果园专用喷雾机五大特点：1,、自动行走，无需人拉，只需掌握方向即可，轻轻松松喷药。","
品牌:
源泉机械
类别:
喷药机
型号:

报价:
暂无
"
顶呱呱  搬运车,独特的前轮差速转向系统的应用，使整车采用一体式大家结构，布局紧凑合理。全齿轮传动、四轮驱动、加高底盘设计。为挂接撒肥机和打药机预留动力输出端。配置新式14马力电启动水冷柴油机，启动性好，节油高效，马力强劲。机械式转向机稳定可靠鼓式轴刹车系统，刹车灵敏，安全可靠。网格式塑料铺底，结实耐水，更适合水田作业。配置四进一倒汽车变数箱、齿比绵密、稳定可靠。,"
品牌:
顶呱呱
类别:
田间搬运车
型号:

报价:
暂无
"
博远 3GP-160 果园机,3GP-160果园机3GP-160果园机自走式果园作业平台是一款全液压式小巧、灵活、转弯半径小的多功能作业平台，升降高度采用液压驱动，该机不仅用于摘果作业，还可用于疏花，疏果，套袋，整枝等多项作业。,"
品牌:
博远
类别:
果园机
型号:
3GP-160
报价:
暂无
"
常柴 WP/WPL 水泵,常柴 WP/WPL 水泵是常柴生产制造的水泵。,"
品牌:
常柴
类别:
水泵
型号:
WP/WPL
报价:
暂无
"
五征 7YS-3 喷灌机,7YS-3喷灌机独立式承载车架，装配2吨PE水桶，耐老化、腐蚀，。能够一次性完成田间三龚烟苗浇水灌溉作业，采用人工辅助和机械自动浇水两种形式，可实现对烟苗的定量或不定量浇水。随车配有大吸程汽油机水泵，可以满足不同条件下补水的需求；设备安装、操作方便。该机同时可用于田间植保用车，抗旱拉水一机多用。,"
品牌:
五征
类别:
喷灌机
型号:
7YS-3
报价:
暂无
"
洛阳路通 LT-1604-2 轮式四驱拖拉机,LT-1604-2轮式四驱拖拉机采用4×(2+1)×2组成式变速箱，16F+8R档位，速度匹配合理，操纵方便舒适。 双油缸强压入土提升器，提升力大，作业适应性好。,"
马力:
100-160马力拖拉机
驱动方式:
四轮驱动
品牌:
洛阳路通
类别:
拖拉机
"
沃得农机 锐龙履带式 联合收割机,锐龙履带式联合收割机整机外形结构紧凑，外形尺寸小，机动性好。发动机采用涡轮增压发动机，大马力、油耗低动力有名牌85/95马力的发动机选配。沃得零部件自制率达到80%以上，质量可靠，配件供应齐全等特点。采用割台输送器整体式结构，输送能力强，物料输送均匀;。,"
收割产品:

品牌:
沃得农机
类别:
收割机
型号:
锐龙履带式
"
久保田农机 4LBZ-172B(PRO888GM)(G4) 联合收割机,久保田农机 4LBZ-172B(PRO888GM)(G4) 联合收割机是久保田农机生产制造的联合收割机。,"
品牌:
久保田农机
类别:
联合收割机
型号:
4LBZ-172B(PRO888GM)(G4)
报价:
暂无
"
凯斯纽荷兰 DV90R 种植施肥机械,DV90R种植施肥机械配套拖拉机额定功率90-210马力真空风机排种系统，不锈钢种盘更换方便，可以播种玉米、大豆、甜菜、向日葵、高粱、芝麻、豆类、绿豆、棉花、西红柿等作物。不需间苗，带侧深施肥装置，使用维护方便。配有220升PVC肥箱，或800升不锈钢肥箱。可平播9垄。垄距为40-76厘米。种子株距：8-37厘米。一次性实现开沟、固床、播种、覆土、镇压全套过程。种距更均匀，工作更可靠。,"
播种行数:
7-11行
品牌:
凯斯纽荷兰
类别:
播种机
型号:
DV90R
"
沃得农机 SH系列 烘干机,SH系列烘干机优越性能电脑全自动控制特有的全自动控制系统，是目前与国际先进水平同步的粮食干燥控制系统。干燥过程动态控制，配合电阻式在线水分检测仪，确保粮食烘干精确安全。操作简单方便，人人都能轻松成为干燥专家。一机多用：能够烘干水稻、小麦、玉米、大豆等农作物，使用效率高。采用目前最先进的定速干燥方式，做到快速干燥，保证在低水分段的均匀降水，满足量大快速烘干需求。运行可靠。,"
品牌:
沃得农机
类别:
烘干机
型号:
SH系列
报价:
暂无
"
五征 1G-240V2F 旋耕机,1G-240V2F旋耕机产品特点：集旋耕、施肥、起垄为一体，采用旋耕破土的方式，双圆盘式成型结构配合型标准垄型成型器有效保证烟草高垄要求；施肥系统采用摩擦式同步驱动装置，由驱动轮与拖拉机后轮摩擦驱动，保证排肥量与拖拉机的前进速度同步，下肥均匀，并可随时断开动力；双搅龙式肥箱配合搅龙式新型结构排肥器保证了烟草施肥的准确性；。,"
耕幅:
2000-2500mm
刀轴数量:
双轴
品牌:
五征
类别:
旋耕机
"
中联重机 9YF-2200S 打捆机,9YF-2200S打捆机适应性广通过更换捡拾系统，可适应小麦、水稻、玉米秸秆的打捆作业。可靠性强中置式分级传动加强牵引架，大角度传动轴；浮动式粉碎捡拾器，可选装锤爪或甩刀结构；可选装筛网式喂入底板。配置优欧洲技术重D型打结器；进口轴承。,"
捡拾宽度:

品牌:
中联重机
类别:
打捆机
型号:
9YF-2200S
"
哈克农装 4YL-4 谷物收割机,4YL-4谷物收割机产品特点:单纵轴流结构，脱粒效果好。一机多用，玉米籽粒互换割台兼收小麦、水稻、大豆等作物，经济效率好。与久保田PRO100和凯斯4088相比，不大不小，用着正好。进口液压元件，全液压驱动、操纵方便、快捷、高效；可更换半履带驱动装置，适应性强。,"
行走方式:
自走轮式
喂入方式:
全喂入
喂入量:

收获幅宽:
2.2m-2.8m
"
常发 CF812 玉米收获机,CF812玉米收获机产品特点：采用国内领先、国际一流、常发独有的加长型纵向双轴流滚筒分离装置，与国内同类机型相比，具有更强的脱粒分离能力，可以实现多级脱粒、多级分离，对作物冲击量小，收获性能好，破碎率低，特别适合水稻的收获；采用国内领先的脱粒滚筒转速调节系统，多种转速可选，充分满足各种作物的脱粒作业要求；。,"
收获行数:

收获方式:
自走式
收获幅宽:

品牌:
常发
"
格兰 4300 割草机,产品特点：4300系列工作幅宽为8米、2米和6米，配有侧牵引杆和半自由行程打击齿或压扁辊。超级浮动双悬挂装置的作用可以减轻主机架的压力和冲击荷载，而且只有当撞到更小的障碍时刀杆才进行旋转；极大的灵活性:4300系列可根据用户需要配备翻板式宽幅铺条装置和侧传动铺条装置，以实现最大灵活度。,"
收割方式:

割幅宽度:

品牌:
格兰
类别:
割草机
"
爱科 MF SV415 指盘式搂草机,MFSV415独特的设计和可靠的品质，旨在为规模化的专业草场收获更高品质的牧草而打造。“V+Y"：作业形态可为V型或者Y型，可适应不同的作业需求；串联轴运输型机架配备大尺寸浮动轮胎，大直径搂草指盘配备独立的弹簧浮动，指盘梁倾角可独立调节使其拥有卓越的地面仿形能力，使得搂草机的作业能做到：干净且含杂低、高效且草铺规整。,"
搂幅宽度:
6m及以上
搂幅方向:

搂幅方式:

品牌:
爱科
"
美迪 9QZ-3000 青贮饲料收获机,美迪 9QZ-3000 青贮饲料收获机是美迪生产制造的行走方式为自走式青贮饲料收获机。,"
行走方式:
自走式
收割幅度:

品牌:
美迪
类别:
青贮饲料收获机
"
顶呱呱 1WG3.1 微耕机,1WG1微耕机产品介绍：微耕机是根据丘陵，山区田块小，高低不平的实际情况设计的，它吸取了国内外耕作机械之精华，具有技术先进，生产率高，体积小，操作灵活，易于维修的特点。特别是对近几年来各生产厂家的不足之处我们做了重大改革，能满足丘陵，山区广大用户对旱地，水田，大棚，果园等多种耕作项目的需求。,"
品牌:
顶呱呱
类别:
微耕机
型号:
1WG3.1
报价:
暂无
"
美诺 2306 深松机,产品特点：中机美诺2306全方位深松机适应于轻壤、中壤、重壤、粘土等多种土壤类型的耕作与中低产田改造。☆三点悬挂机构挂接方便；☆凿型铲翼式松土器，左右侧翼铲、铲尖、刀片均可单独更换，维修方便；☆前、后两组碎土辊用于破碎不同大小的土块，碎土效果好;☆一次完成多道作业工序，作业成本低。,"
工作铲数:

品牌:
美诺
类别:
深松机
型号:
2306
"
约翰迪尔农机 512复式整地机 整地机,512复式整地机整地机产品特点：标准配置，调整简单可以方便的为机器提供极大的深度设置范围带来极佳的可重复性Walk-Over?地轮提供了更多的支持和稳定性Walk-Over地轮提供了更多的支持和稳定性，可实现田间更平稳的操作。地轮位于耙片组之后，深松齿之前。这就使得车轮能够在经过耙地整平的地面运行，以实现更平稳的作业。,"
耕幅:

刀轴数量:

品牌:
约翰迪尔农机
类别:
整地机
"
五征 1G-240V2F 施肥机,1G-240V2F施肥机产品特点：集旋耕、施肥、起垄为一体，采用旋耕破土的方式，双圆盘式成型结构配合型标准垄型成型器有效保证烟草高垄要求；施肥系统采用摩擦式同步驱动装置，由驱动轮与拖拉机后轮摩擦驱动，保证排肥量与拖拉机的前进速度同步，下肥均匀，并可随时断开动力；双搅龙式肥箱配合搅龙式新型结构排肥器保证了烟草施肥的准确性；。,"
品牌:
五征
类别:
施肥机
型号:
1G-240V2F
报价:
暂无
"
徐工 XR730 水稻机,高精度成型、专业级材料强化、核心构件应力控制，高品质零部件淬炼形成。,"
插秧方式:

插秧行数:

品牌:
徐工
类别:
水稻插秧机
"
凯尔 3ZFS－2 田间管理机械,3ZFS－2田间管理机械产品特点：该机以中型轮式拖拉机为配套动力，跨行作业，是施肥机与中耕培土机的组合机型；适于甘蔗的苗期进行除草、施肥和培土作业，作业质量好，效率高。,"
品牌:
凯尔
类别:
培土机
型号:
3ZFS－2
报价:
暂无
"
美诺 1304 中耕机,1304中耕机产品特点：适用于马铃薯出苗前或苗期的中耕作业。具有破土、除草、筑垄等作用，同时兼有提高地温、保墒作用。培土宽度和深度可调；松土深度可调；松土铲易更换。,"
品牌:
美诺
类别:
中耕机
型号:
1304
报价:
暂无
"
时风 风云3号单排 三轮运输车,风云3号单排三轮运输车产品特点：l.汽车造型仪表板，豪华大气;仪表台、中控台、副仪表台与变速护罩采用无缝插接技术，使整个室内空间形成一个整体;三格栅中网设计，彰显豪华气派;行车灯采用LED照明，更加美观和节能;驾驶室空间更加宽敞，内部空间加大;座椅结构简洁，乘坐舒适;具体参数配置请咨询当地经销商;。,"
行走方式:
三轮
品牌:
时风
类别:
农用运输车
型号:
风云3号单排
"
