Arenaria aegaea Rech.f.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Caryophyllales







View Order Tree
opens in a new tab",Caryophyllaceae,Arenaria,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:150925-1
Begonia dosedlae Gilli,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Cucurbitales







View Order Tree
opens in a new tab",Begoniaceae,"Begonia







View in Tree of Life
opens in a new tab",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:896366-1
Campuloclinium macrocephalum (Less.) DC.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Campuloclinium,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:188196-1
Myoschilos oblongus Ruiz & Pav.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Santalales







View Order Tree
opens in a new tab",Santalaceae,Myoschilos,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:780459-1
Domingoa nodosa (Cogn.) Schltr.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asparagales







View Order Tree
opens in a new tab",Orchidaceae,Domingoa,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:83130-2
Oncosiphon sabulosus (Wolley-Dod) Källersjö,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Oncosiphon,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:945194-1
Leucostegia amplissima (Christ) C.W.Chen,Plantae,Streptophyta,Equisetopsida,Polypodiinae,"Polypodiales







View Order Tree
opens in a new tab",Hypodematiaceae,Leucostegia,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77254924-1
"Hypodematium brevipilosum Li Bing Zhang, X.P.Fan & X.F.Gao",Plantae,Streptophyta,Equisetopsida,Polypodiinae,"Polypodiales







View Order Tree
opens in a new tab",Hypodematiaceae,Hypodematium,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77215888-1
Hypodematium chrysolepis (Fée) X.P.Fan & Li Bing Zhang,Plantae,Streptophyta,Equisetopsida,Polypodiinae,"Polypodiales







View Order Tree
opens in a new tab",Hypodematiaceae,Hypodematium,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77222364-1
Saxifraga luizetiana Emb. & Maire,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Saxifragales







View Order Tree
opens in a new tab",Saxifragaceae,Saxifraga,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:794008-1
Pseudosasa nabeshimana (Koidz.) Koidz.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Poales







View Order Tree
opens in a new tab",Poaceae,Pseudosasa,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:418889-1
Caputia tomentosa (Haw.) B.Nord. & Pelser,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Caputia,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77123770-1
"Hypodematium boonkerdii Pongkai, Li Bing Zhang & Pollawatn",Plantae,Streptophyta,Equisetopsida,Polypodiinae,"Polypodiales







View Order Tree
opens in a new tab",Hypodematiaceae,Hypodematium,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77159853-1
Hypodematium fauriei (Kodama) Tagawa,Plantae,Streptophyta,Equisetopsida,Polypodiinae,"Polypodiales







View Order Tree
opens in a new tab",Hypodematiaceae,Hypodematium,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17399460-1
title,Kingdom,Phylum,Class,Subclass,Order,Family,Genus,原始链接
Hedyotis humilis Merr.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Gentianales







View Order Tree
opens in a new tab",Rubiaceae,"Hedyotis







View in Tree of Life
opens in a new tab",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:752557-1
Piper fanshawei Yunck.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Piperales







View Order Tree
opens in a new tab",Piperaceae,Piper,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:681376-1
Euphorbia whitei L.C.Wheeler,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Malpighiales







View Order Tree
opens in a new tab",Euphorbiaceae,Euphorbia,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:102084-2
Althaea villosa Blatt.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Malvales







View Order Tree
opens in a new tab",Malvaceae,Althaea,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:558923-1
Cephalophyllum rigidum L.Bolus,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Caryophyllales







View Order Tree
opens in a new tab",Aizoaceae,Cephalophyllum,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:360861-1
Euphorbia tomentulosa S.Watson,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Malpighiales







View Order Tree
opens in a new tab",Euphorbiaceae,Euphorbia,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:102038-2
Cattleya bicalhoi Van den Berg,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asparagales







View Order Tree
opens in a new tab",Orchidaceae,Cattleya,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60448067-2
Sedum heckelii Raym.-Hamet,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Saxifragales







View Order Tree
opens in a new tab",Crassulaceae,Sedum,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:275497-1
Tainia wrayana (Hook.f.) J.J.Sm.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asparagales







View Order Tree
opens in a new tab",Orchidaceae,Tainia,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:659820-1
Ziziphus rugosa Lam.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Rosales







View Order Tree
opens in a new tab",Rhamnaceae,Ziziphus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:719414-1
Ipomoea adenioides Schinz,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Solanales







View Order Tree
opens in a new tab",Convolvulaceae,Ipomoea,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:268350-1
Rytidosperma tenue (Petrie) Connor & Edgar,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Poales







View Order Tree
opens in a new tab",Poaceae,Rytidosperma,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:419835-1
Primula amoena M.Bieb.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Ericales







View Order Tree
opens in a new tab",Primulaceae,Primula,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:701544-1
Vicia orobus DC.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Fabales







View Order Tree
opens in a new tab",Fabaceae,Vicia,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:525007-1
Grindelia inuloides Willd.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Grindelia,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:314751-2
Dalbergia louisii Cronquist,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Fabales







View Order Tree
opens in a new tab",Fabaceae,Dalbergia,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:490304-1
Lamyropappus schakaptaricus (O.Fedtsch. & B.Fedtsch.) Knorring & Tamamsch.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Lamyropappus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:228617-1
Arenaria aegaea Rech.f.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Caryophyllales







View Order Tree
opens in a new tab",Caryophyllaceae,Arenaria,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:150925-1
Myoschilos oblongus Ruiz & Pav.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Santalales







View Order Tree
opens in a new tab",Santalaceae,Myoschilos,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:780459-1
Leptonychia kamerunensis Engl. & K.Krause,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Malvales







View Order Tree
opens in a new tab",Malvaceae,Leptonychia,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:824154-1
Saxifraga luizetiana Emb. & Maire,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Saxifragales







View Order Tree
opens in a new tab",Saxifragaceae,Saxifraga,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:794008-1
Salvia tigrina Hedge & Hub.-Mor.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Lamiales







View Order Tree
opens in a new tab",Lamiaceae,"Salvia







View in Tree of Life
opens in a new tab",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:457395-1
Domingoa nodosa (Cogn.) Schltr.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asparagales







View Order Tree
opens in a new tab",Orchidaceae,Domingoa,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:83130-2
Elatostema warburgii H.J.P.Winkl.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Rosales







View Order Tree
opens in a new tab",Urticaceae,Elatostema,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:852267-1
Epidendrum brachycorymbosum Hágsater & Dodson,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asparagales







View Order Tree
opens in a new tab",Orchidaceae,Epidendrum,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77099244-1
Oncosiphon sabulosus (Wolley-Dod) Källersjö,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Oncosiphon,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:945194-1
Pseudosasa nabeshimana (Koidz.) Koidz.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Poales







View Order Tree
opens in a new tab",Poaceae,Pseudosasa,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:418889-1
Campuloclinium macrocephalum (Less.) DC.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Campuloclinium,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:188196-1
Begonia dosedlae Gilli,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Cucurbitales







View Order Tree
opens in a new tab",Begoniaceae,"Begonia







View in Tree of Life
opens in a new tab",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:896366-1
Caputia tomentosa (Haw.) B.Nord. & Pelser,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Caputia,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77123770-1
"Hypodematium boonkerdii Pongkai, Li Bing Zhang & Pollawatn",Plantae,Streptophyta,Equisetopsida,Polypodiinae,"Polypodiales







View Order Tree
opens in a new tab",Hypodematiaceae,Hypodematium,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77159853-1
Verbascum cheiranthifolium Boiss.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Lamiales







View Order Tree
opens in a new tab",Scrophulariaceae,"Verbascum







View in Tree of Life
opens in a new tab",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:810917-1
Leucostegia amplissima (Christ) C.W.Chen,Plantae,Streptophyta,Equisetopsida,Polypodiinae,"Polypodiales







View Order Tree
opens in a new tab",Hypodematiaceae,Leucostegia,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77254924-1
Magnolia changhungtana Noot.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Magnoliales







View Order Tree
opens in a new tab",Magnoliaceae,Magnolia,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77097493-1
Hypodematium chrysolepis (Fée) X.P.Fan & Li Bing Zhang,Plantae,Streptophyta,Equisetopsida,Polypodiinae,"Polypodiales







View Order Tree
opens in a new tab",Hypodematiaceae,Hypodematium,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77222364-1
"Hypodematium confertivillosum J.X.Li, F.Q.Zhou & X.J.Li",Plantae,Streptophyta,Equisetopsida,Polypodiinae,"Polypodiales







View Order Tree
opens in a new tab",Hypodematiaceae,Hypodematium,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77174973-1
Hypodematium fauriei (Kodama) Tagawa,Plantae,Streptophyta,Equisetopsida,Polypodiinae,"Polypodiales







View Order Tree
opens in a new tab",Hypodematiaceae,Hypodematium,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17399460-1
Podocoma blanchetiana Baker,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Podocoma,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:238932-1
Hypodematium glabrius (Copel.) Holttum,Plantae,Streptophyta,Equisetopsida,Polypodiinae,"Polypodiales







View Order Tree
opens in a new tab",Hypodematiaceae,Hypodematium,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17534150-1
"Hypodematium eglandulosum X.P.Fan, Liang Zhang & Li Bing Zhang",Plantae,Streptophyta,Equisetopsida,Polypodiinae,"Polypodiales







View Order Tree
opens in a new tab",Hypodematiaceae,Hypodematium,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77222363-1
Hypodematium glandulosopilosum (Tagawa) Ohwi,Plantae,Streptophyta,Equisetopsida,Polypodiinae,"Polypodiales







View Order Tree
opens in a new tab",Hypodematiaceae,Hypodematium,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17399490-1
Hypodematium glandulosum Ching ex K.H.Shing,Plantae,Streptophyta,Equisetopsida,Polypodiinae,"Polypodiales







View Order Tree
opens in a new tab",Hypodematiaceae,Hypodematium,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60456435-2
Hypodematium fordii (Baker) Ching,Plantae,Streptophyta,Equisetopsida,Polypodiinae,"Polypodiales







View Order Tree
opens in a new tab",Hypodematiaceae,Hypodematium,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17399480-1
Leucostegia immersa C.Presl,Plantae,Streptophyta,Equisetopsida,Polypodiinae,"Polypodiales







View Order Tree
opens in a new tab",Hypodematiaceae,Leucostegia,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17133970-1
"Hypodematium brevipilosum Li Bing Zhang, X.P.Fan & X.F.Gao",Plantae,Streptophyta,Equisetopsida,Polypodiinae,"Polypodiales







View Order Tree
opens in a new tab",Hypodematiaceae,Hypodematium,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77215888-1
Hypodematium daochengense K.H.Shing,Plantae,Streptophyta,Equisetopsida,Polypodiinae,"Polypodiales







View Order Tree
opens in a new tab",Hypodematiaceae,Hypodematium,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17561360-1
Matelea hirtelliflora McDonnell & Fishbein,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Gentianales







View Order Tree
opens in a new tab",Apocynaceae,Matelea,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77160810-1
Hypodematium crenatum (Forssk.) Kuhn,Plantae,Streptophyta,Equisetopsida,Polypodiinae,"Polypodiales







View Order Tree
opens in a new tab",Hypodematiaceae,Hypodematium,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17126060-1
Leucostegia pallida (Mett.) Copel.,Plantae,Streptophyta,Equisetopsida,Polypodiinae,"Polypodiales







View Order Tree
opens in a new tab",Hypodematiaceae,Leucostegia,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17338240-1
"Hypodematium parvisorum Li Bing Zhang, X.P.Fan & X.F.Gao",Plantae,Streptophyta,Equisetopsida,Polypodiinae,"Polypodiales







View Order Tree
opens in a new tab",Hypodematiaceae,Hypodematium,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77215889-1
Hypodematium delicatulum Rakotondr. & A.R.Sm.,Plantae,Streptophyta,Equisetopsida,Polypodiinae,"Polypodiales







View Order Tree
opens in a new tab",Hypodematiaceae,Hypodematium,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77159771-1
Hypodematium phegopteroideum Kuhn,Plantae,Streptophyta,Equisetopsida,Polypodiinae,"Polypodiales







View Order Tree
opens in a new tab",Hypodematiaceae,Hypodematium,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17126100-1
Hypodematium squamulosopilosum Ching,Plantae,Streptophyta,Equisetopsida,Polypodiinae,"Polypodiales







View Order Tree
opens in a new tab",Hypodematiaceae,Hypodematium,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17550830-1
Didymochlaena alpina Li Bing Zhang & H.Shang,Plantae,Streptophyta,Equisetopsida,Polypodiinae,"Polypodiales







View Order Tree
opens in a new tab",Didymochlaenaceae,Didymochlaena,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:3303801-4
Hypodematium villosum F.G.Wang & F.W.Xing,Plantae,Streptophyta,Equisetopsida,Polypodiinae,"Polypodiales







View Order Tree
opens in a new tab",Hypodematiaceae,Hypodematium,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77104621-1
Didymochlaena amazonica Li Bing Zhang & H.Shang,Plantae,Streptophyta,Equisetopsida,Polypodiinae,"Polypodiales







View Order Tree
opens in a new tab",Didymochlaenaceae,Didymochlaena,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:3303783-4
Didymochlaena comorensis Li Bing Zhang & H.Shang,Plantae,Streptophyta,Equisetopsida,Polypodiinae,"Polypodiales







View Order Tree
opens in a new tab",Didymochlaenaceae,Didymochlaena,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:3303789-4
Didymochlaena cameroonensis Li Bing Zhang & H.Shang,Plantae,Streptophyta,Equisetopsida,Polypodiinae,"Polypodiales







View Order Tree
opens in a new tab",Didymochlaenaceae,Didymochlaena,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:3303779-4
Hypodematium sinense K.Iwats.,Plantae,Streptophyta,Equisetopsida,Polypodiinae,"Polypodiales







View Order Tree
opens in a new tab",Hypodematiaceae,Hypodematium,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17441120-1
Didymochlaena bipinnatipartita (Bonap.) Li Bing Zhang & H.Shang,Plantae,Streptophyta,Equisetopsida,Polypodiinae,"Polypodiales







View Order Tree
opens in a new tab",Didymochlaenaceae,Didymochlaena,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77211761-1
"Hypodematium truncatum Li Bing Zhang, X.P.Fan & X.F.Gao",Plantae,Streptophyta,Equisetopsida,Polypodiinae,"Polypodiales







View Order Tree
opens in a new tab",Hypodematiaceae,Hypodematium,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77215891-1
Didymochlaena deltoidea Li Bing Zhang & H.Shang,Plantae,Streptophyta,Equisetopsida,Polypodiinae,"Polypodiales







View Order Tree
opens in a new tab",Didymochlaenaceae,Didymochlaena,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77211762-1
"Hypodematium subglabrum Li Bing Zhang, X.P.Fan & X.F.Gao",Plantae,Streptophyta,Equisetopsida,Polypodiinae,"Polypodiales







View Order Tree
opens in a new tab",Hypodematiaceae,Hypodematium,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77215890-1
Hypodematium glabrum Ching ex K.H.Shing,Plantae,Streptophyta,Equisetopsida,Polypodiinae,"Polypodiales







View Order Tree
opens in a new tab",Hypodematiaceae,Hypodematium,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60456434-2
Didymochlaena cubensis Li Bing Zhang & H.Shang,Plantae,Streptophyta,Equisetopsida,Polypodiinae,"Polypodiales







View Order Tree
opens in a new tab",Didymochlaenaceae,Didymochlaena,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:3303781-4
Didymochlaena attenuata (Bonap.) Li Bing Zhang & H.Shang,Plantae,Streptophyta,Equisetopsida,Polypodiinae,"Polypodiales







View Order Tree
opens in a new tab",Didymochlaenaceae,Didymochlaena,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77211760-1
Louisiella elephantipes (Nees ex Trin.) Zuloaga,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Poales







View Order Tree
opens in a new tab",Poaceae,Louisiella,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77147487-1
Didymochlaena madagascariensis Li Bing Zhang & H.Shang,Plantae,Streptophyta,Equisetopsida,Polypodiinae,"Polypodiales







View Order Tree
opens in a new tab",Didymochlaenaceae,Didymochlaena,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77211763-1
"Hypodematium ryukyuense Li Bing Zhang, X.P.Fan & X.F.Gao",Plantae,Streptophyta,Equisetopsida,Polypodiinae,"Polypodiales







View Order Tree
opens in a new tab",Hypodematiaceae,Hypodematium,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77211090-1
Didymochlaena dimidiata Kunze,Plantae,Streptophyta,Equisetopsida,Polypodiinae,"Polypodiales







View Order Tree
opens in a new tab",Didymochlaenaceae,Didymochlaena,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17084740-1
Didymochlaena mesoamericana Li Bing Zhang & H.Shang,Plantae,Streptophyta,Equisetopsida,Polypodiinae,"Polypodiales







View Order Tree
opens in a new tab",Didymochlaenaceae,Didymochlaena,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:3303812-4
Didymochlaena punctata Li Bing Zhang & H.Shang,Plantae,Streptophyta,Equisetopsida,Polypodiinae,"Polypodiales







View Order Tree
opens in a new tab",Didymochlaenaceae,Didymochlaena,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77215569-1
Didymochlaena sinuosa Desv.,Plantae,Streptophyta,Equisetopsida,Polypodiinae,"Polypodiales







View Order Tree
opens in a new tab",Didymochlaenaceae,Didymochlaena,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17084770-1
Didymochlaena microphylla (Bonap.) C.Chr.,Plantae,Streptophyta,Equisetopsida,Polypodiinae,"Polypodiales







View Order Tree
opens in a new tab",Didymochlaenaceae,Didymochlaena,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17320140-1
Didymochlaena solomonensis Li Bing Zhang & H.Shang,Plantae,Streptophyta,Equisetopsida,Polypodiinae,"Polypodiales







View Order Tree
opens in a new tab",Didymochlaenaceae,Didymochlaena,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77215568-1
