title,Kingdom,Phylum,Class,Subclass,Order,Family,Genus,Species,原始链接
Calycadenia pauciflora A.Gray,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Calycadenia,"Calycadenia pauciflora


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:188134-1
Armatocereus cartwrightianus Backeb.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Caryophyllales







View Order Tree
opens in a new tab",Cactaceae,Armatocereus,"Armatocereus cartwrightianus


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:128877-1
Calorezia nutans (Less.) Panero,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Calorezia,"Calorezia nutans


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77084937-1
Armatocereus rauhii Backeb.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Caryophyllales







View Order Tree
opens in a new tab",Cactaceae,Armatocereus,"Armatocereus rauhii


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:19750-2
Camptacra robusta A.R.Bean,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Camptacra,"Camptacra robusta


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77211797-1
Campuloclinium alternifolium Gardner,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Campuloclinium,"Campuloclinium alternifolium


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:188180-1
Calycadenia multiglandulosa DC.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Calycadenia,"Calycadenia multiglandulosa


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:188132-1
Campovassouria barbosae H.Rob.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Campovassouria,"Campovassouria barbosae


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60445123-2
Camptacra gracilis (Benth.) Lander,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Camptacra,"Camptacra gracilis


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:944817-1
Armatocereus laetus (Kunth) Backeb.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Caryophyllales







View Order Tree
opens in a new tab",Cactaceae,Armatocereus,"Armatocereus laetus







View in Tree of Life
opens in a new tab


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:19746-2
Camptacra perdita A.R.Bean,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Camptacra,"Camptacra perdita


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77211796-1
Calycoseris wrightii A.Gray,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Calycoseris,"Calycoseris wrightii







View in Tree of Life
opens in a new tab


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:328776-2
Armatocereus matucanensis Backeb.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Caryophyllales







View Order Tree
opens in a new tab",Cactaceae,Armatocereus,"Armatocereus matucanensis


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:19747-2
Calycadenia mollis A.Gray,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Calycadenia,"Calycadenia mollis


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:188131-1
× Pseudinium aschersonianum (Brügger & Killias) P.F.Hunt,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asparagales







View Order Tree
opens in a new tab",Orchidaceae,× Pseudinium,"× Pseudinium aschersonianum


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:655100-1
Campuloclinium arenarium Gardner,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Campuloclinium,"Campuloclinium arenarium


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:188181-1
Calycadenia fremontii A.Gray,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Calycadenia,"Calycadenia fremontii


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:188127-1
Calycadenia villosa DC.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Calycadenia,"Calycadenia villosa


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:188141-1
Campuloclinium hatschbachii H.Rob.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Campuloclinium,"Campuloclinium hatschbachii


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60445124-2
Campuloclinium burchellii (Baker) R.M.King & H.Rob.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Campuloclinium,"Campuloclinium burchellii


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:44162-2
Calorezia prenanthoides (Less.) Panero,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Calorezia,"Calorezia prenanthoides







View in Tree of Life
opens in a new tab


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77084938-1
Campuloclinium eiteniorum R.M.King & H.Rob.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Campuloclinium,"Campuloclinium eiteniorum


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:44166-2
Campuloclinium chlorolepis (Baker) R.M.King & H.Rob.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Campuloclinium,"Campuloclinium chlorolepis


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:44164-2
Campovassouria cruciata (Vell.) R.M.King & H.Rob.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Campovassouria,"Campovassouria cruciata


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:44112-2
Calycadenia micrantha R.L.Carr & G.D.Carr,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Calycadenia,"Calycadenia micrantha


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60436352-2
Campuloclinium irwinii R.M.King & H.Rob.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Campuloclinium,"Campuloclinium irwinii


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:293922-2
Campuloclinium parvulum (Glaz. ex B.L.Rob.) R.M.King & H.Rob.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Campuloclinium,"Campuloclinium parvulum


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:44171-2
Campuloclinium campuloclinioides (Baker) R.M.King & H.Rob.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Campuloclinium,"Campuloclinium campuloclinioides


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:44163-2
Campuloclinium hickenii (Cabrera & Vittet) R.M.King & H.Rob.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Campuloclinium,"Campuloclinium hickenii


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:44167-2
Campuloclinium hirsutum Gardner,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Campuloclinium,"Campuloclinium hirsutum


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:188193-1
Campuloclinium scabrum (Klatt) J.Calvo & Roque,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Campuloclinium,"Campuloclinium scabrum


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77194910-1
Campuloclinium megacephalum (Baker) R.M.King & H.Rob.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Campuloclinium,"Campuloclinium megacephalum


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:44170-2
Campuloclinium riedelii (Baker) R.M.King & H.Rob.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Campuloclinium,"Campuloclinium riedelii


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:44174-2
Cancrinia chrysocephala Kar. & Kir.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Cancrinia,"Cancrinia chrysocephala


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:188247-1
Cancrinia discoidea (Ledeb.) Poljakov ex Tzvelev,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Cancrinia,"Cancrinia discoidea







View in Tree of Life
opens in a new tab


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:188248-1
Caputia medley-woodii (Hutch.) B.Nord. & Pelser,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Caputia,"Caputia medley-woodii


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77123769-1
Cancrinia krasnoborovii Khanm.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Cancrinia,"Cancrinia krasnoborovii


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:901655-1
Canadanthus modestus (Lindl.) G.L.Nesom,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Canadanthus,"Canadanthus modestus


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:981706-1
Cancrinia lasiocarpa C.Winkl.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Cancrinia,"Cancrinia lasiocarpa


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:188256-1
Cancrinia maximowiczii C.Winkl.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Cancrinia,"Cancrinia maximowiczii


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:188258-1
Campuloclinium macrocephalum (Less.) DC.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Campuloclinium,"Campuloclinium macrocephalum







View in Tree of Life
opens in a new tab


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:188196-1
Caputia pyramidata (DC.) B.Nord. & Pelser,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Caputia,"Caputia pyramidata


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77123775-1
Caputia oribiensis (van Jaarsv.) J.C.Manning,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Caputia,"Caputia oribiensis


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77131580-1
Cancriniella krascheninnikovii (Rubtzov) Tzvelev,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Cancriniella,"Cancriniella krascheninnikovii


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:188277-1
Caputia scaposa (DC.) B.Nord. & Pelser,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Caputia,"Caputia scaposa


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77123771-1
Campuloclinium purpurascens (Baker) R.M.King & H.Rob.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Campuloclinium,"Campuloclinium purpurascens


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:44173-2
Carlquistia muirii (A.Gray) B.G.Baldwin,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Carlquistia,"Carlquistia muirii


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1012647-1
Caucasalia pontica (K.Koch) Greuter,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Caucasalia,"Caucasalia pontica


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60442187-2
Carminatia balsana Hinojosa,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Carminatia,"Carminatia balsana


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:3302590-4
Caucasalia macrophylla (M.Bieb.) B.Nord.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Caucasalia,"Caucasalia macrophylla


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:995835-1
Carminatia alvarezii Rzed. & Calderón,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Carminatia,"Carminatia alvarezii


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60458406-2
Caputia tomentosa (Haw.) B.Nord. & Pelser,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Caputia,"Caputia tomentosa


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77123770-1
Caucasalia similiflora (Kolak.) B.Nord.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Caucasalia,"Caucasalia similiflora


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:995837-1
Carminatia recondita McVaugh,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Carminatia,"Carminatia recondita


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:47643-2
Geosiris australiensis B.Gray & Y.W.Low,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asparagales







View Order Tree
opens in a new tab",Iridaceae,Geosiris,"Geosiris australiensis







View in Tree of Life
opens in a new tab


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77164635-1
Carminatia papagayana B.L.Turner,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Carminatia,"Carminatia papagayana


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60451536-2
Carminatia tenuiflora DC.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Carminatia,"Carminatia tenuiflora


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:189328-1
Geosiris albiflora Goldblatt & J.C.Manning,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asparagales







View Order Tree
opens in a new tab",Iridaceae,Geosiris,"Geosiris albiflora


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77122936-1
Elissarrhena solimoesana (Moldenke) Wei Wang & R.Ortiz,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Ranunculales







View Order Tree
opens in a new tab",Menispermaceae,Elissarrhena,"Elissarrhena solimoesana


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77199693-1
Monteiroa catharinensis Krapov.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Malvales







View Order Tree
opens in a new tab",Malvaceae,Monteiroa,"Monteiroa catharinensis


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:164049-2
Geosiris aphylla Baill.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asparagales







View Order Tree
opens in a new tab",Iridaceae,Geosiris,"Geosiris aphylla


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:437226-1
Monteiroa dusenii (Ekman) Krapov.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Malvales







View Order Tree
opens in a new tab",Malvaceae,Monteiroa,"Monteiroa dusenii


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:164050-2
Elissarrhena longipes Miers,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Ranunculales







View Order Tree
opens in a new tab",Menispermaceae,Elissarrhena,"Elissarrhena longipes


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:580797-1
Monteiroa bullata (Ekman) Krapov.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Malvales







View Order Tree
opens in a new tab",Malvaceae,Monteiroa,"Monteiroa bullata


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:164048-2
Monteiroa hatschbachii Krapov.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Malvales







View Order Tree
opens in a new tab",Malvaceae,Monteiroa,"Monteiroa hatschbachii


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:329534-2
Monteiroa glomerata (Hook. & Arn.) Krapov.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Malvales







View Order Tree
opens in a new tab",Malvaceae,Monteiroa,"Monteiroa glomerata


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:164051-2
Gerardiina kundelungensis Mielcarek,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Lamiales







View Order Tree
opens in a new tab",Orobanchaceae,Gerardiina,"Gerardiina kundelungensis


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:935048-1
Caucasalia parviflora (M.Bieb.) B.Nord.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Caucasalia,"Caucasalia parviflora


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:995838-1
Monteiroa triangularifolia Krapov.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Malvales







View Order Tree
opens in a new tab",Malvaceae,Monteiroa,"Monteiroa triangularifolia


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:164055-2
Monteiroa ptarmicifolia (A.St.-Hil. & Naudin) Krapov.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Malvales







View Order Tree
opens in a new tab",Malvaceae,Monteiroa,"Monteiroa ptarmicifolia


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:164053-2
Monteiroa smithii Krapov.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Malvales







View Order Tree
opens in a new tab",Malvaceae,Monteiroa,"Monteiroa smithii


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:164054-2
Monteiroa rubra Grings,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Malvales







View Order Tree
opens in a new tab",Malvaceae,Monteiroa,"Monteiroa rubra


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77205020-1
Monteiroa leitei Monteiro,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Malvales







View Order Tree
opens in a new tab",Malvaceae,Monteiroa,"Monteiroa leitei


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:164052-2
Monteiroa reitzii Krapov.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Malvales







View Order Tree
opens in a new tab",Malvaceae,Monteiroa,"Monteiroa reitzii


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:329535-2
Gerardiina angolensis Engl.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Lamiales







View Order Tree
opens in a new tab",Orobanchaceae,Gerardiina,"Gerardiina angolensis


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:803343-1
Thunbergianthus ruwenzoriensis R.D.Good,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Lamiales







View Order Tree
opens in a new tab",Orobanchaceae,Thunbergianthus,"Thunbergianthus ruwenzoriensis


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:810316-1
Thunbergianthus quintasii Engl.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Lamiales







View Order Tree
opens in a new tab",Orobanchaceae,Thunbergianthus,"Thunbergianthus quintasii


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:810315-1
Parianella lanceolata (Trin.) F.M.Ferreira & R.P.Oliveira,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Poales







View Order Tree
opens in a new tab",Poaceae,Parianella,"Parianella lanceolata







View in Tree of Life
opens in a new tab


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77125533-1
Amphiasma benguellense (Hiern) Bremek.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Gentianales







View Order Tree
opens in a new tab",Rubiaceae,Amphiasma,"Amphiasma benguellense


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:743188-1
Colleteria seminervis (Urb. & Ekman) David W.Taylor,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Gentianales







View Order Tree
opens in a new tab",Rubiaceae,Colleteria,"Colleteria seminervis


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1140600-2
Amphiasma divaricatum (Engl.) Bremek.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Gentianales







View Order Tree
opens in a new tab",Rubiaceae,Amphiasma,"Amphiasma divaricatum


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:743189-1
Parianella capixaba F.M.Ferreira & R.P.Oliveira,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Poales







View Order Tree
opens in a new tab",Poaceae,Parianella,"Parianella capixaba


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77309830-1
Amphiasma luzuloides (K.Schum.) Bremek.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Gentianales







View Order Tree
opens in a new tab",Rubiaceae,Amphiasma,"Amphiasma luzuloides


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:743190-1
Amphiasma merenskyanum Bremek.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Gentianales







View Order Tree
opens in a new tab",Rubiaceae,Amphiasma,"Amphiasma merenskyanum


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:743191-1
Colleteria exserta (DC.) David W.Taylor,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Gentianales







View Order Tree
opens in a new tab",Rubiaceae,Colleteria,"Colleteria exserta


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60426502-2
Amphiasma redheadii Bremek.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Gentianales







View Order Tree
opens in a new tab",Rubiaceae,Amphiasma,"Amphiasma redheadii


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:743193-1
Amphiasma micranthum (Chiov.) Bremek.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Gentianales







View Order Tree
opens in a new tab",Rubiaceae,Amphiasma,"Amphiasma micranthum


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:743192-1
Amphiasma robijnsii Bremek.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Gentianales







View Order Tree
opens in a new tab",Rubiaceae,Amphiasma,"Amphiasma robijnsii


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:743194-1
Leptothyrsa sprucei Benth. & Hook.f.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Sapindales







View Order Tree
opens in a new tab",Rutaceae,Leptothyrsa,"Leptothyrsa sprucei


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:774108-1
Parianella carvalhoi (R.P.Oliveira & Longhi-Wagner) F.M.Ferreira & R.P.Oliveira,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Poales







View Order Tree
opens in a new tab",Poaceae,Parianella,"Parianella carvalhoi


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77125534-1
Toechima dasyrrhache Radlk.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Sapindales







View Order Tree
opens in a new tab",Sapindaceae,Toechima,"Toechima dasyrrhache


",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:785480-1
