title,name,detail,link
Campuloclinium hickenii (Cabrera & Vittet) R.M.King & H.Rob.,Native to:,Argentina Northwest,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:44167-2
Campuloclinium hirsutum Gardner,Native to:,"Brazil Southeast, 
          
          Brazil West-Central",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:188193-1
Campuloclinium scabrum (Klatt) J.Calvo & Roque,Native to:,Brazil South,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77194910-1
Campuloclinium megacephalum (Baker) R.M.King & H.Rob.,Native to:,"Brazil South, 
          
          Brazil Southeast, 
          
          Brazil West-Central, 
          
          Paraguay",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:44170-2
Campuloclinium riedelii (Baker) R.M.King & H.Rob.,Native to:,"Brazil Southeast, 
          
          Brazil West-Central, 
          
          Paraguay",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:44174-2
Cancrinia chrysocephala Kar. & Kir.,Native to:,"Kazakhstan, 
          
          Xinjiang",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:188247-1
Cancrinia discoidea (Ledeb.) Poljakov ex Tzvelev,Native to:,"China North-Central, 
          
          Inner Mongolia, 
          
          Kazakhstan, 
          
          Mongolia, 
          
          Tibet, 
          
          Xinjiang",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:188248-1
Caputia medley-woodii (Hutch.) B.Nord. & Pelser,Native to:,"KwaZulu-Natal, 
          
          Northern Provinces, 
          
          Swaziland",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77123769-1
Cancrinia krasnoborovii Khanm.,Native to:,"Mongolia, 
          
          Tuva",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:901655-1
Canadanthus modestus (Lindl.) G.L.Nesom,Native to:,"Alaska, 
          
          Alberta, 
          
          British Columbia, 
          
          Idaho, 
          
          Manitoba, 
          
          Michigan, 
          
          Minnesota, 
          
          Montana, 
          
          New Brunswick, 
          
          North Dakota, 
          
          Ontario, 
          
          Oregon, 
          
          Saskatchewan, 
          
          Washington, 
          
          Yukon",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:981706-1
Cancrinia lasiocarpa C.Winkl.,Native to:,"China North-Central, 
          
          Inner Mongolia, 
          
          Tibet",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:188256-1
Cancrinia maximowiczii C.Winkl.,Native to:,"China North-Central, 
          
          China South-Central, 
          
          Inner Mongolia, 
          
          Qinghai, 
          
          Xinjiang",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:188258-1
Campuloclinium macrocephalum (Less.) DC.,Native to:,"Argentina Northeast, 
          
          Argentina Northwest, 
          
          Bolivia, 
          
          Brazil North, 
          
          Brazil Northeast, 
          
          Brazil South, 
          
          Brazil Southeast, 
          
          Brazil West-Central, 
          
          Colombia, 
          
          Costa Rica, 
          
          Guatemala, 
          
          Honduras, 
          
          Mexico Gulf, 
          
          Mexico Northeast, 
          
          Mexico Southeast, 
          
          Paraguay, 
          
          Uruguay, 
          
          Venezuela",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:188196-1
Campuloclinium macrocephalum (Less.) DC.,Introduced into:,"Free State, 
          
          KwaZulu-Natal, 
          
          Northern Provinces",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:188196-1
Caputia pyramidata (DC.) B.Nord. & Pelser,Native to:,Cape Provinces,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77123775-1
Caputia oribiensis (van Jaarsv.) J.C.Manning,Native to:,KwaZulu-Natal,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77131580-1
Caputia scaposa (DC.) B.Nord. & Pelser,Native to:,Cape Provinces,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77123771-1
Cancriniella krascheninnikovii (Rubtzov) Tzvelev,Native to:,Kazakhstan,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:188277-1
Campuloclinium purpurascens (Baker) R.M.King & H.Rob.,Native to:,"Argentina Northeast, 
          
          Argentina Northwest, 
          
          Brazil South, 
          
          Brazil Southeast, 
          
          Paraguay",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:44173-2
Carlquistia muirii (A.Gray) B.G.Baldwin,Native to:,California,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1012647-1
Caucasalia pontica (K.Koch) Greuter,Native to:,"North Caucasus, 
          
          Transcaucasus",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60442187-2
Carminatia balsana Hinojosa,Native to:,Mexico Southwest,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:3302590-4
Caucasalia macrophylla (M.Bieb.) B.Nord.,Native to:,"North Caucasus, 
          
          Transcaucasus, 
          
          Turkey",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:995835-1
Carminatia alvarezii Rzed. & Calderón,Native to:,"Mexico Central, 
          
          Mexico Northeast, 
          
          Mexico Southwest",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60458406-2
Caputia tomentosa (Haw.) B.Nord. & Pelser,Native to:,Cape Provinces,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77123770-1
Caputia tomentosa (Haw.) B.Nord. & Pelser,Introduced into:,Myanmar,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77123770-1
Caucasalia similiflora (Kolak.) B.Nord.,Native to:,Transcaucasus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:995837-1
Carminatia recondita McVaugh,Native to:,"El Salvador, 
          
          Guatemala, 
          
          Honduras, 
          
          Mexico Central, 
          
          Mexico Gulf, 
          
          Mexico Northeast, 
          
          Mexico Northwest, 
          
          Mexico Southeast, 
          
          Mexico Southwest",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:47643-2
Geosiris australiensis B.Gray & Y.W.Low,Native to:,Queensland,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77164635-1
Carminatia papagayana B.L.Turner,Native to:,Mexico Southwest,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60451536-2
Carminatia tenuiflora DC.,Native to:,"Arizona, 
          
          Guatemala, 
          
          Mexico Central, 
          
          Mexico Gulf, 
          
          Mexico Northeast, 
          
          Mexico Northwest, 
          
          Mexico Southeast, 
          
          Mexico Southwest, 
          
          New Mexico, 
          
          Texas",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:189328-1
Geosiris albiflora Goldblatt & J.C.Manning,Native to:,Comoros,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77122936-1
Elissarrhena solimoesana (Moldenke) Wei Wang & R.Ortiz,Native to:,"Brazil North, 
          
          Colombia, 
          
          Ecuador, 
          
          Peru",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77199693-1
Monteiroa catharinensis Krapov.,Native to:,Brazil South,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:164049-2
Geosiris aphylla Baill.,Native to:,Madagascar,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:437226-1
Monteiroa dusenii (Ekman) Krapov.,Native to:,Brazil South,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:164050-2
Monteiroa bullata (Ekman) Krapov.,Native to:,Brazil South,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:164048-2
Elissarrhena longipes Miers,Native to:,"Bolivia, 
          
          Brazil North, 
          
          Brazil West-Central, 
          
          Colombia, 
          
          Ecuador, 
          
          Guyana, 
          
          Peru",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:580797-1
Monteiroa hatschbachii Krapov.,Native to:,Brazil South,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:329534-2
Monteiroa glomerata (Hook. & Arn.) Krapov.,Native to:,"Argentina Northeast, 
          
          Brazil South, 
          
          Uruguay",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:164051-2
Gerardiina kundelungensis Mielcarek,Native to:,Zaïre,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:935048-1
Caucasalia parviflora (M.Bieb.) B.Nord.,Native to:,"North Caucasus, 
          
          Transcaucasus",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:995838-1
Monteiroa triangularifolia Krapov.,Native to:,Brazil South,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:164055-2
Monteiroa ptarmicifolia (A.St.-Hil. & Naudin) Krapov.,Native to:,Brazil South,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:164053-2
Monteiroa smithii Krapov.,Native to:,Brazil South,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:164054-2
Monteiroa rubra Grings,Native to:,Brazil South,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77205020-1
Monteiroa leitei Monteiro,Native to:,Brazil Southeast,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:164052-2
Monteiroa reitzii Krapov.,Native to:,Brazil South,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:329535-2
"Hypodematium brevipilosum Li Bing Zhang, X.P.Fan & X.F.Gao",Native to:,China South-Central,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77215888-1
Gerardiina angolensis Engl.,Native to:,"Angola, 
          
          Burundi, 
          
          Malawi, 
          
          Mozambique, 
          
          Northern Provinces, 
          
          Swaziland, 
          
          Tanzania, 
          
          Zambia, 
          
          Zaïre, 
          
          Zimbabwe",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:803343-1
"Hypodematium boonkerdii Pongkai, Li Bing Zhang & Pollawatn",Native to:,Thailand,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77159853-1
Leucostegia amplissima (Christ) C.W.Chen,Native to:,"Borneo, 
          
          Malaya, 
          
          Maluku, 
          
          New Guinea, 
          
          Philippines, 
          
          Sulawesi, 
          
          Taiwan",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77254924-1
Hypodematium chrysolepis (Fée) X.P.Fan & Li Bing Zhang,Native to:,Cape Verde,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77222364-1
Thunbergianthus ruwenzoriensis R.D.Good,Native to:,"Burundi, 
          
          Rwanda, 
          
          Uganda, 
          
          Zaïre",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:810316-1
Hypodematium daochengense K.H.Shing,Native to:,China South-Central,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17561360-1
"Hypodematium confertivillosum J.X.Li, F.Q.Zhou & X.J.Li",Native to:,China North-Central,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77174973-1
"Hypodematium eglandulosum X.P.Fan, Liang Zhang & Li Bing Zhang",Native to:,"China South-Central, 
          
          China Southeast, 
          
          Laos, 
          
          Vietnam",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77222363-1
Hypodematium fauriei (Kodama) Tagawa,Native to:,Japan,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17399460-1
Leucostegia immersa C.Presl,Native to:,"Assam, 
          
          Borneo, 
          
          Cambodia, 
          
          China South-Central, 
          
          China Southeast, 
          
          East Himalaya, 
          
          India, 
          
          Jawa, 
          
          Laos, 
          
          Lesser Sunda Is., 
          
          Malaya, 
          
          Maluku, 
          
          Myanmar, 
          
          Nepal, 
          
          New Guinea, 
          
          Philippines, 
          
          Sri Lanka, 
          
          Sulawesi, 
          
          Sumatera, 
          
          Taiwan, 
          
          Thailand, 
          
          Tibet, 
          
          Vietnam, 
          
          West Himalaya",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17133970-1
Leucostegia pallida (Mett.) Copel.,Native to:,"Bismarck Archipelago, 
          
          Borneo, 
          
          Caroline Is., 
          
          Fiji, 
          
          Malaya, 
          
          Maluku, 
          
          New Guinea, 
          
          Philippines, 
          
          Samoa, 
          
          Society Is., 
          
          Solomon Is., 
          
          Sulawesi, 
          
          Sumatera, 
          
          Tubuai Is., 
          
          Vanuatu",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17338240-1
Hypodematium glabrius (Copel.) Holttum,Native to:,"Borneo, 
          
          Malaya",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17534150-1
Hypodematium glandulosopilosum (Tagawa) Ohwi,Native to:,"China Southeast, 
          
          Japan, 
          
          Korea, 
          
          Thailand",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17399490-1
Hypodematium fordii (Baker) Ching,Native to:,"China South-Central, 
          
          China Southeast",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17399480-1
Hypodematium glandulosum Ching ex K.H.Shing,Native to:,"China South-Central, 
          
          China Southeast",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60456435-2
Hypodematium crenatum (Forssk.) Kuhn,Native to:,"Afghanistan, 
          
          Angola, 
          
          Assam, 
          
          China North-Central, 
          
          China South-Central, 
          
          China Southeast, 
          
          East Himalaya, 
          
          Ethiopia, 
          
          India, 
          
          Kenya, 
          
          Madagascar, 
          
          Mauritius, 
          
          Myanmar, 
          
          Nepal, 
          
          New Guinea, 
          
          Northern Provinces, 
          
          Oman, 
          
          Pakistan, 
          
          Philippines, 
          
          Réunion, 
          
          Saudi Arabia, 
          
          Socotra, 
          
          Sri Lanka, 
          
          Sudan, 
          
          Sulawesi, 
          
          Sumatera, 
          
          Taiwan, 
          
          Thailand, 
          
          Tibet, 
          
          Vietnam, 
          
          West Himalaya, 
          
          Yemen, 
          
          Zambia, 
          
          Zaïre",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17126060-1
"Hypodematium parvisorum Li Bing Zhang, X.P.Fan & X.F.Gao",Native to:,China South-Central,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77215889-1
"Hypodematium ryukyuense Li Bing Zhang, X.P.Fan & X.F.Gao",Native to:,Nansei-shoto,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77211090-1
Hypodematium delicatulum Rakotondr. & A.R.Sm.,Native to:,Madagascar,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77159771-1
"Hypodematium shingii Li Bing Zhang, X.P.Fan & X.F.Gao",Native to:,"China South-Central, 
          
          Taiwan, 
          
          Thailand",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77215766-1
Hypodematium sinense K.Iwats.,Native to:,China North-Central,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17441120-1
Thunbergianthus quintasii Engl.,Native to:,Gulf of Guinea Is.,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:810315-1
"Hypodematium subglabrum Li Bing Zhang, X.P.Fan & X.F.Gao",Native to:,China South-Central,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77215890-1
Hypodematium gracile Ching,Native to:,"China North-Central, 
          
          China Southeast",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17549240-1
Parianella lanceolata (Trin.) F.M.Ferreira & R.P.Oliveira,Native to:,Brazil Northeast,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77125533-1
Hypodematium phegopteroideum Kuhn,Native to:,Lesser Sunda Is.,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17126100-1
Hypodematium glabrum Ching ex K.H.Shing,Native to:,China South-Central,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60456434-2
Amphiasma benguellense (Hiern) Bremek.,Native to:,"Angola, 
          
          Namibia",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:743188-1
Colleteria seminervis (Urb. & Ekman) David W.Taylor,Native to:,"Dominican Republic, 
          
          Haiti, 
          
          Puerto Rico",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1140600-2
Hypodematium squamulosopilosum Ching,Native to:,"China North-Central, 
          
          China South-Central, 
          
          China Southeast",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17550830-1
"Hypodematium truncatum Li Bing Zhang, X.P.Fan & X.F.Gao",Native to:,China South-Central,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77215891-1
Amphiasma divaricatum (Engl.) Bremek.,Native to:,Namibia,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:743189-1
Parianella capixaba F.M.Ferreira & R.P.Oliveira,Native to:,Brazil Southeast,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77309830-1
Hypodematium villosum F.G.Wang & F.W.Xing,Native to:,China Southeast,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77104621-1
Amphiasma luzuloides (K.Schum.) Bremek.,Native to:,"Malawi, 
          
          Tanzania",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:743190-1
Amphiasma merenskyanum Bremek.,Native to:,"Angola, 
          
          Namibia",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:743191-1
Colleteria exserta (DC.) David W.Taylor,Native to:,"Cuba, 
          
          Dominican Republic, 
          
          Haiti",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60426502-2
Amphiasma redheadii Bremek.,Native to:,Zambia,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:743193-1
Amphiasma micranthum (Chiov.) Bremek.,Native to:,Angola,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:743192-1
Amphiasma robijnsii Bremek.,Native to:,Zaïre,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:743194-1
Leptothyrsa sprucei Benth. & Hook.f.,Native to:,"Brazil North, 
          
          Colombia, 
          
          Peru, 
          
          Venezuela",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:774108-1
Parianella carvalhoi (R.P.Oliveira & Longhi-Wagner) F.M.Ferreira & R.P.Oliveira,Native to:,Brazil Northeast,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77125534-1
Toechima dasyrrhache Radlk.,Native to:,"New South Wales, 
          
          Queensland",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:785480-1
Eremolaena rotundifolia (F.Gérard) Danguy,Native to:,Madagascar,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:167655-1
Toechima daemelianum (F.Muell.) Radlk.,Native to:,"New Guinea, 
          
          Queensland",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:785479-1
Toechima erythrocarpum (F.Muell.) Radlk.,Native to:,"New Guinea, 
          
          Queensland",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:785481-1
Eremolaena darainensis Nusb. & Lowry,Native to:,Madagascar,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77144432-1
Toechima monticola S.T.Reynolds,Native to:,Queensland,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:928840-1
Toechima pterocarpum S.T.Reynolds,Native to:,Queensland,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:928841-1
Eremolaena humblotiana Baill.,Native to:,Madagascar,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:167654-1
Toechima tenax (Benth.) Radlk.,Native to:,"New South Wales, 
          
          Queensland",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:785488-1
Geocaulon lividum (Richardson) Fernald,Native to:,"Alaska, 
          
          Alberta, 
          
          British Columbia, 
          
          Idaho, 
          
          Labrador, 
          
          Maine, 
          
          Manitoba, 
          
          Michigan, 
          
          Minnesota, 
          
          Montana, 
          
          New Brunswick, 
          
          New Hampshire, 
          
          New York, 
          
          Newfoundland, 
          
          Northwest Territorie, 
          
          Nova Scotia, 
          
          Nunavut, 
          
          Ontario, 
          
          Québec, 
          
          Saskatchewan, 
          
          Vermont, 
          
          Washington, 
          
          Wisconsin, 
          
          Yukon",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:108804-2
Rehderodendron kwangtungense Chun,Native to:,"China South-Central, 
          
          China Southeast",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:826663-1
Rehderodendron indochinense H.L.Li,Native to:,"China South-Central, 
          
          Vietnam",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:826662-1
Rehderodendron kweichowense Hu,Native to:,"China South-Central, 
          
          China Southeast, 
          
          Vietnam",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:826664-1
"Rehderodendron macrophyllum (C.Y.Wu & K.M.Feng) W.Y.Zhao, P.W.Fritsch & W.B.Liao",Native to:,China South-Central,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77211768-1
Rehderodendron macrocarpum Hu,Native to:,"China South-Central, 
          
          China Southeast, 
          
          Vietnam",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:826665-1
Rehderodendron membranifolium C.Y.Wu,Native to:,China South-Central,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:928643-1
"Rehderodendron truongsonense P.W.Fritsch, W.B.Liao & W.Y.Zhao",Native to:,Vietnam,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77201861-1
"Rehderodendron burmanicum (W.W.Sm. & Farrer) W.Y.Zhao, P.W.Fritsch & W.B.Liao",Native to:,"Bangladesh, 
          
          Myanmar",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77211767-1
Rehderodendron conostyle C.Y.Wu,Native to:,China South-Central,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:928642-1
Rehderodendron microcarpum K.M.Feng,Native to:,"China South-Central, 
          
          Myanmar",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:928641-1
