title,name,detail,link
Didymochlaena truncatula (Sw.) J.Sm.,Native to:,"Argentina Northeast, 
          
          Belize, 
          
          Bolivia, 
          
          Borneo, 
          
          Brazil North, 
          
          Brazil Northeast, 
          
          Brazil South, 
          
          Brazil Southeast, 
          
          Cameroon, 
          
          Colombia, 
          
          Costa Rica, 
          
          Cuba, 
          
          Dominican Republic, 
          
          Ecuador, 
          
          French Guiana, 
          
          Guatemala, 
          
          Gulf of Guinea Is., 
          
          Guyana, 
          
          Haiti, 
          
          Honduras, 
          
          Jawa, 
          
          Maluku, 
          
          Mexico Central, 
          
          Mexico Gulf, 
          
          Mexico Southeast, 
          
          Mexico Southwest, 
          
          Nicaragua, 
          
          Nigeria, 
          
          Panamá, 
          
          Paraguay, 
          
          Peru, 
          
          Sulawesi, 
          
          Sumatera, 
          
          Suriname, 
          
          Trinidad-Tobago, 
          
          Uruguay, 
          
          Venezuela",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17084790-1
Didymochlaena philippensis Li Bing Zhang & H.Shang,Native to:,Philippines,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77215567-1
"Hypodematium boonkerdii Pongkai, Li Bing Zhang & Pollawatn",Native to:,Thailand,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77159853-1
Hypodematium chrysolepis (Fée) X.P.Fan & Li Bing Zhang,Native to:,Cape Verde,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77222364-1
"Hypodematium brevipilosum Li Bing Zhang, X.P.Fan & X.F.Gao",Native to:,China South-Central,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77215888-1
"Hypodematium confertivillosum J.X.Li, F.Q.Zhou & X.J.Li",Native to:,China North-Central,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77174973-1
Hypodematium daochengense K.H.Shing,Native to:,China South-Central,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17561360-1
Hypodematium crenatum (Forssk.) Kuhn,Native to:,"Afghanistan, 
          
          Angola, 
          
          Assam, 
          
          China North-Central, 
          
          China South-Central, 
          
          China Southeast, 
          
          East Himalaya, 
          
          Ethiopia, 
          
          India, 
          
          Kenya, 
          
          Madagascar, 
          
          Mauritius, 
          
          Myanmar, 
          
          Nepal, 
          
          New Guinea, 
          
          Northern Provinces, 
          
          Oman, 
          
          Pakistan, 
          
          Philippines, 
          
          Réunion, 
          
          Saudi Arabia, 
          
          Socotra, 
          
          Sri Lanka, 
          
          Sudan, 
          
          Sulawesi, 
          
          Sumatera, 
          
          Taiwan, 
          
          Thailand, 
          
          Tibet, 
          
          Vietnam, 
          
          West Himalaya, 
          
          Yemen, 
          
          Zambia, 
          
          Zaïre",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17126060-1
Hypodematium delicatulum Rakotondr. & A.R.Sm.,Native to:,Madagascar,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77159771-1
"Hypodematium eglandulosum X.P.Fan, Liang Zhang & Li Bing Zhang",Native to:,"China South-Central, 
          
          China Southeast, 
          
          Laos, 
          
          Vietnam",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77222363-1
Hypodematium fordii (Baker) Ching,Native to:,"China South-Central, 
          
          China Southeast",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17399480-1
Hypodematium glabrius (Copel.) Holttum,Native to:,"Borneo, 
          
          Malaya",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17534150-1
Hypodematium glandulosopilosum (Tagawa) Ohwi,Native to:,"China Southeast, 
          
          Japan, 
          
          Korea, 
          
          Thailand",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17399490-1
Hypodematium glabrum Ching ex K.H.Shing,Native to:,China South-Central,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60456434-2
Hypodematium glandulosum Ching ex K.H.Shing,Native to:,"China South-Central, 
          
          China Southeast",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60456435-2
Hypodematium fauriei (Kodama) Tagawa,Native to:,Japan,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17399460-1
Hypodematium gracile Ching,Native to:,"China North-Central, 
          
          China Southeast",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17549240-1
"Hypodematium parvisorum Li Bing Zhang, X.P.Fan & X.F.Gao",Native to:,China South-Central,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77215889-1
Hypodematium phegopteroideum Kuhn,Native to:,Lesser Sunda Is.,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17126100-1
"Hypodematium ryukyuense Li Bing Zhang, X.P.Fan & X.F.Gao",Native to:,Nansei-shoto,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77211090-1
Hypodematium squamulosopilosum Ching,Native to:,"China North-Central, 
          
          China South-Central, 
          
          China Southeast",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17550830-1
Hypodematium sinense K.Iwats.,Native to:,China North-Central,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17441120-1
"Hypodematium subglabrum Li Bing Zhang, X.P.Fan & X.F.Gao",Native to:,China South-Central,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77215890-1
"Hypodematium truncatum Li Bing Zhang, X.P.Fan & X.F.Gao",Native to:,China South-Central,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77215891-1
"Hypodematium shingii Li Bing Zhang, X.P.Fan & X.F.Gao",Native to:,"China South-Central, 
          
          Taiwan, 
          
          Thailand",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77215766-1
Leucostegia immersa C.Presl,Native to:,"Assam, 
          
          Borneo, 
          
          Cambodia, 
          
          China South-Central, 
          
          China Southeast, 
          
          East Himalaya, 
          
          India, 
          
          Jawa, 
          
          Laos, 
          
          Lesser Sunda Is., 
          
          Malaya, 
          
          Maluku, 
          
          Myanmar, 
          
          Nepal, 
          
          New Guinea, 
          
          Philippines, 
          
          Sri Lanka, 
          
          Sulawesi, 
          
          Sumatera, 
          
          Taiwan, 
          
          Thailand, 
          
          Tibet, 
          
          Vietnam, 
          
          West Himalaya",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17133970-1
Leucostegia pallida (Mett.) Copel.,Native to:,"Bismarck Archipelago, 
          
          Borneo, 
          
          Caroline Is., 
          
          Fiji, 
          
          Malaya, 
          
          Maluku, 
          
          New Guinea, 
          
          Philippines, 
          
          Samoa, 
          
          Society Is., 
          
          Solomon Is., 
          
          Sulawesi, 
          
          Sumatera, 
          
          Tubuai Is., 
          
          Vanuatu",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17338240-1
Hypodematium villosum F.G.Wang & F.W.Xing,Native to:,China Southeast,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77104621-1
Leucostegia amplissima (Christ) C.W.Chen,Native to:,"Borneo, 
          
          Malaya, 
          
          Maluku, 
          
          New Guinea, 
          
          Philippines, 
          
          Sulawesi, 
          
          Taiwan",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77254924-1
