城市,项目,得分,平均分,排名
,平台基础设施,43.0,52.0,156
,运营基础设施,60.0,65.3,144
,数字技术创新,50.0,58.6,164
,数字产业化,44.0,55.0,176
,产业数字化,62.0,65.1,128
,公共服务,37.5,50.4,181
,智慧城市与数字乡村,46.0,54.4,164
,数字生活,42.0,48.9,161
,数据开放共享,52.0,57.9,166
,政务信息化,45.0,51.2,145
,服务效能,42.0,52.2,186
,数据要素市场,44.0,49.6,162
,数据政策环境,37.0,48.6,177
,网络安全保护,35.0,42.0,150
城市,项目,得分,平均分,排名
孝感,,,,
,信息基础设施,48.0,58.0,199
,平台基础设施,52.0,52.0,99
,运营基础设施,50.0,65.3,162
,数字技术创新,47.0,58.6,179
,数字产业化,47.0,55.0,138
,产业数字化,61.0,65.1,136
,公共服务,37.5,50.4,176
,智慧城市与数字乡村,47.0,54.4,149
,数字生活,44.0,48.9,140
,数据开放共享,52.0,57.9,165
,政务信息化,45.0,51.2,141
,服务效能,42.0,52.2,170
,数据要素市场,44.0,49.6,158
,数据政策环境,44.0,48.6,141
,网络安全保护,30.0,42.0,183
城市,项目,得分,平均分,排名
荆州,,,,
,信息基础设施,50.0,58.0,175
,平台基础设施,48.0,52.0,124
,运营基础设施,50.0,65.3,175
,数字技术创新,51.0,58.6,155
,数字产业化,44.0,55.0,175
,产业数字化,64.0,65.1,106
,公共服务,37.5,50.4,180
,智慧城市与数字乡村,50.0,54.4,141
,数字生活,44.0,48.9,146
,数据开放共享,49.0,57.9,179
,政务信息化,43.8,51.2,151
,服务效能,42.0,52.2,185
,数据要素市场,48.0,49.6,135
,数据政策环境,47.0,48.6,134
,网络安全保护,32.5,42.0,171
城市,项目,得分,平均分,排名
黄冈,,,,
,信息基础设施,46.0,58.0,215
,平台基础设施,36.0,52.0,207
,运营基础设施,50.0,65.3,178
,数字技术创新,47.0,58.6,183
,数字产业化,38.0,55.0,219
,产业数字化,64.0,65.1,107
,公共服务,37.5,50.4,183
,智慧城市与数字乡村,43.0,54.4,182
,数字生活,36.0,48.9,191
,数据开放共享,53.0,57.9,157
,政务信息化,47.5,51.2,126
,服务效能,42.0,52.2,189
,数据要素市场,40.0,49.6,186
,数据政策环境,37.0,48.6,181
,网络安全保护,30.0,42.0,192
城市,项目,得分,平均分,排名
城市,项目,得分,平均分,排名
咸宁,,,,
,信息基础设施,54.0,58.0,132
,平台基础设施,37.0,52.0,193
,运营基础设施,50.0,65.3,163
,数字技术创新,37.0,58.6,231
,数字产业化,41.0,55.0,193
,产业数字化,60.0,65.1,147
,公共服务,30.0,50.4,213
,智慧城市与数字乡村,36.0,54.4,210
,数字生活,36.0,48.9,180
,数据开放共享,42.0,57.9,214
,政务信息化,37.5,51.2,203
,服务效能,42.0,52.2,171
,数据要素市场,41.0,49.6,168
,数据政策环境,30.0,48.6,214
,网络安全保护,25.0,42.0,225
城市,项目,得分,平均分,排名
随州,,,,
,信息基础设施,50.0,58.0,165
,平台基础设施,28.0,52.0,235
,运营基础设施,50.0,65.3,167
,数字技术创新,44.0,58.6,193
,数字产业化,49.0,55.0,126
,产业数字化,55.0,65.1,215
,公共服务,37.5,50.4,177
,智慧城市与数字乡村,43.0,54.4,173
,数字生活,36.0,48.9,182
,数据开放共享,50.0,57.9,168
,政务信息化,36.3,51.2,217
,服务效能,38.0,52.2,222
,数据要素市场,38.0,49.6,188
,数据政策环境,38.0,48.6,170
,网络安全保护,32.5,42.0,164
