标题,价格,评论,店名,详情页
爱心东东2023新款12+512G超薄十核安卓超清4K全面屏5G全网通娱乐办公二合一游戏网课第三星种电脑 流光银丨12+256G丨12英寸+定制原装鼠标键盘,1080.00,10万+,超时空电脑办公专营店,https://item.jd.com/10058741790194.html
联想（Lenovo）小新Pad 2024 轻薄机身 学测练丰富资源 高刷护眼 杜比全景声11英寸学习机 6+128灰色,799.00,5000+,联想京东自营旗舰店,https://item.jd.com/100078945886.html
MAXHUB V6领效会议平板新锐55/65英寸教学视频会议一体机 会议投屏触摸智慧屏 V6新锐版55吋【4K超清安卓11.0】,3799.00,1万+,云视通办公专营店,https://item.jd.com/10032915598267.html
爱心东东HUWIMA PadPro 2023新款骁龙888平板电脑16G+512G超高清4K全面屏二合一 深空蓝（七仓速发+双频5G全网通+强劲十核） 16+128G（分期免息+定制皮套键盘套装）,880.00,2万+,移晟电脑整机专营店,https://item.jd.com/10075331837106.html
华为平板电脑 MatePad 2023标准版 11.5英寸 120Hz护眼全面屏 HarmonyOS 3 学习娱乐8+128GB冰霜银,1699.00,10万+,华为京东自营官方旗舰店,https://item.jd.com/100058148818.html
华为HUAWEI MatePad 11英寸2023款 120Hz高刷护眼 鸿蒙HarmonyOS 移动办公娱乐电脑8GB+256GB WIFI曜石黑,2499.00,20万+,华为京东自营官方旗舰店,https://item.jd.com/100056011446.html
荣耀平板X8 Pro 11.5英寸 120Hz高刷2k护眼屏 多屏协同 娱乐影音办公学习平板电脑Pad 6+128GB WIFI 星空灰,999.00,5万+,荣耀京东自营旗舰店,https://item.jd.com/100061961341.html
小米平板6Pro(xiaomiPad) 11英寸 骁龙8+强芯 144Hz高刷护眼 2.8K超清 8+256GB 移动办公娱乐电脑 远山蓝,2649.00,10万+,小米京东自营旗舰店,https://item.jd.com/100056375405.html
微软Surface Pro 9 二合一平板电脑 i7/16G/512G,12988.00,2万+,微软京东自营官方旗舰店,https://item.jd.com/100042227579.html
华为平板电脑 MatePad 2023标准版 11.5英寸 120Hz护眼全面屏 HarmonyOS 3 学习娱乐8+128GB深空灰,1699.00,10万+,华为京东自营官方旗舰店,https://item.jd.com/100062559761.html
OPPO Pad平板 11英寸 2.5K 120Hz高刷护眼屏 骁龙870 8GB+128GB 耀夜黑 娱乐游戏 学生学习教育 办公电脑,1499.00,5万+,OPPO京东自营官方旗舰店,https://item.jd.com/100032575409.html
OPPO Pad Air2平板 11.4英寸 2.4K高清大屏 8000mAh 6GB+128GB深空灰 旗舰护眼体验办公学习娱乐游戏电脑,1199.00,1000+,OPPO京东自营官方旗舰店,https://item.jd.com/100074464269.html
vivo Pad Air 11.5英寸2.8K 144Hz超感原色屏 高通骁龙870 一碰互传 8G+128G 移动办公娱乐电脑 自在蓝,1459.00,2万+,vivo京东自营官方旗舰店,https://item.jd.com/100063261383.html
华为HUAWEI MatePad SE 2023 10.4英寸2K护眼全面屏 影音娱乐办公学习平板电脑6+128GB WiFi（海岛蓝）,1199.00,10万+,华为京东自营官方旗舰店,https://item.jd.com/100042807754.html
微软Surface Pro 9 二合一平板电脑 i5/8G/256G,6988.00,2万+,微软京东自营官方旗舰店,https://item.jd.com/100042227571.html
爱心东东HUWIMA PadPro 2023新款骁龙888平板电脑16G+512G超高清4K全面屏二合一 陶瓷白（七仓速发+双频5G全网通+强劲十核） 16+256G（分期免息+定制皮套键盘套装）,1080.00,2万+,移晟电脑整机专营店,https://item.jd.com/10075331837103.html
荣耀平板8 6+128GB WIFI版 曙光蓝 12英寸护眼全面屏 多屏协同 商务办公影音娱乐网课学习电脑Pad,999.00,20万+,荣耀京东自营旗舰店,https://item.jd.com/100028614703.html
Apple【教育优惠】iPad 10.2英寸平板电脑 2021款（64GB WLAN版/学习办公娱乐游戏/MK2K3CH/A）深空灰色,2439.00,200万+,Apple产品京东自营旗舰店,https://item.jd.com/100027743464.html
爱心东东HUWIMA PadPro 2023新款骁龙888平板电脑16G+512G超高清4K全面屏二合一 陶瓷白（七仓速发+双频5G全网通+强劲十核） 16+512G（分期免息+定制皮套键盘套装）,1280.00,2万+,移晟电脑整机专营店,https://item.jd.com/10075331837104.html
联想拯救者Y700 8.8英寸电竞平板骁龙8+Gen1 2.5K 144Hz DCI-P3色域游戏视野双X轴线性马达12+256GB WIFI灰,2399.00,5万+,联想京东自营旗舰店,https://item.jd.com/100063189475.html
